time,open,close,high,low,volume,turnover
1603324800,34.5,37.608,40,27.652,617.58659013,23414.78062949732
1603411200,37.638,41.834,42.599,36.533,1003.19861891,40076.65299264342
1603497600,41.826,39.053,42.314,38.571,167.13452421,6717.56073485647
1603584000,39.369,38.453,40.906,38.163,150.3030396,5936.67655188972
1603670400,38.218,35.923,38.979,33.502,220.77580339,8107.88069914006
1603756800,36.03,34.869,38.641,34.447,306.14139776,11129.8477642595
1603843200,34.718,32.402,35.418,32,485.10303367,16249.16305937742
1603929600,32.454,29.386,33.076,28.487,428.9397028,13073.35697068442
1604016000,29.195,31.238,33.423,28.008,498.41684576,15284.37488025858
1604102400,31.159,30.071,32.789,29.591,390.20280035,12021.26924752595
1604188800,29.745,30.595,34.13,28.438,443.54545925,13349.87025643722
1604275200,30.727,29.756,35,29.256,742.33414145,23561.37072454328
1604361600,29.548,28.284,29.974,27.42,553.6674556,15640.95969853924
1604448000,28.197,27.771,29.53,26.013,564.94787682,15518.77974241448
1604534400,27.763,30.997,32.308,26,1426.81802041,42352.46481081903
1604620800,30.997,38.2,41.02,30.973,1691.51948844,62140.93069573491
1604707200,38.361,44.557,51.681,38.361,2506.64319523,110473.95191696749
1604793600,44.361,53.42,54.468,42.935,1473.4376832,72001.7980398539
1604880000,53.439,55.506,59.998,49.643,2179.35900945,119198.97530617154
1604966400,55.713,67.061,70.526,52.9,3157.13067359,194203.94985322878
1605052800,67.213,54.38,68.865,53.61,3185.45224681,187024.22293088672
1605139200,54.454,51.8,59.902,50.423,1656.26336897,89118.41264253843
1605225600,51.541,63.192,66.34,51.32,1674.06724572,101146.31609803582
1605312000,63.205,67.098,70.51,57.053,2228.89459982,144631.84972145926
1605398400,66.938,63.901,71.2,58.981,1414.20477812,92952.49041590089
1605484800,63.814,72.984,74.236,61.385,1424.95937616,99394.33642925762
1605571200,72.984,78.9,79.849,69,1348.03540634,99090.82895778714
1605657600,79.335,75.438,79.849,67.351,1785.30692633,132243.28892142814
1605744000,75.163,75.714,81.025,70.246,1287.50273866,97964.12987906905
1605830400,75.983,74.773,82.507,74.5,2482.25536326,191663.00417443375
1605916800,74.872,70.362,82.8,68.003,2274.7660523,166118.37318970029
1606003200,70.102,68.498,74.779,59.702,2248.76138131,155151.19054652918
1606089600,69.016,72.523,73.998,66.048,1476.48111498,103386.76293504974
1606176000,72.189,66.857,75.466,66.051,3829.08514559,273208.87205654483
1606262400,66.856,61.842,67.498,59.04,1425.54064869,92222.17440713555
1606348800,61.842,64.117,64.872,48.88,2732.66564766,158125.71605180703
1606435200,64.185,60.8,68.785,56.45,1850.12699363,117133.82814543012
1606521600,60.8,63.861,66.051,58.954,757.86532448,47802.71014957455
1606608000,64.242,68.453,69.615,61.782,1884.57668913,127523.06976541476
1606694400,68.501,75.877,79.55,68.501,4364.61018067,326614.41488807063
1606780800,75.87,74.41,78.989,69.302,3039.18069243,229836.49847584553
1606867200,74.41,86.957,90.438,72.07,5714.0446987,482973.31132959575
1606953600,86.957,91.384,94.481,82.907,2424.88031752,214106.63179709616
1607040000,91.607,80.966,92.951,78.633,2633.18051551,227702.90673935846
1607126400,80.966,92.499,92.499,79.759,6375.69378673,559663.19271425196
1607212800,92.5,88.326,92.5,84.959,1787.19020722,157123.28613767949
1607299200,88.326,90.97,94.358,87,9143.34959552,839481.67118953981
1607385600,90.591,79.893,91.097,78,3249.09554596,278426.87842454025
1607472000,79.942,82.914,86,75,5588.0432819,453789.7291634985
1607558400,82.585,76.501,82.957,76,2456.17018985,192103.25342032686
1607644800,76.933,74.693,78.517,70.346,2463.42996442,183381.87609919333
1607731200,74.516,77.308,85.428,74.198,2516.92048635,198572.10005940215
1607817600,77.488,83.684,84.736,76.933,1440.3467851,118445.26083991611
1607904000,83.47,86.712,91.681,79.575,3231.77800947,276880.90651479213
1607990400,86.806,88,91.049,84.599,3016.85589667,263837.0664825305
1608076800,88.375,87.368,89.473,80,3436.69918668,294679.6061528945
1608163200,87.439,85.253,90,82,2926.80404206,252424.83237833664
1608249600,84.489,90,90,82.652,1495.90539156,128464.34024426433
1608336000,90,88.753,96.203,88.197,1644.46831326,151077.13939900962
1608422400,88.734,85.416,89.595,83.889,1314.90614052,114174.69375737721
1608508800,85.428,80.797,87.754,76.933,1165.78376126,94820.66647849812
1608595200,81.262,84.647,86.085,75.968,952.67977847,76864.70327265523
1608681600,84.498,75.51,84.647,68.502,1528.34074969,117048.41401383149
1608768000,75.619,80.36,80.36,71.475,1116.69300077,84546.89642871969
1608854400,80.408,79.42,81.7,76.058,1266.88980529,99595.90755818059
1608940800,79.575,74.819,80.009,74.122,906.59248724,69232.41267022987
1609027200,75.1,76.779,81.666,72.633,1931.91014798,150331.67557750584
1609113600,76.655,81.812,91.363,76.228,3165.70168911,261679.92854820163
1609200000,81.733,78.067,82.79,75.19,1298.25190058,100682.86570590833
1609286400,78.146,81.232,85.724,77.195,1256.14120191,103013.54068645524
1609372800,81.107,88.197,89.677,78.372,1772.95193257,149526.91726278562
1609459200,88.324,90.7,90.7,84.999,1263.69376103,111336.94902800894
1609545600,90.7,85.485,91.836,82.581,2391.49415255,205871.82076083431
1609632000,85.484,93.026,94.5,81.231,4481.48954344,396453.27624088922
1609718400,93.079,114.199,115,85.587,7468.4750722,755987.47751578043
1609804800,113.922,119.044,130,98.504,7015.86418663,801305.68050234401
1609891200,119.795,115,120.173,108.036,6201.98813056,711324.87117367538
1609977600,115.493,114.184,128.128,95.344,6110.10064813,724547.53929565496
1610064000,114.222,110.255,118.77,100,2784.3519817,304780.85878876043
1610150400,110.334,117.274,119.177,106,2544.36918439,292635.47205022649
1610236800,118.011,126.833,147.142,106.711,10613.25525388,1319893.6701062081
1610323200,126.828,114.165,127.006,94.261,6641.6646803,721484.6506946178
1610409600,114.08,127.403,135.464,109.215,9942.85807355,1235217.81077554441
1610496000,127.314,146.568,147.709,120.271,10986.76046609,1473204.33763215438
1610582400,146.683,147.372,154.693,139.414,3807.58526138,555125.98109725789
1610668800,147.367,166.562,167,139.712,7430.33927673,1157657.44070168883
1610755200,166.554,181.5,203.468,166.554,11536.23840464,2155597.04840844892
1610841600,181.5,186.43,199,174.624,6586.66006312,1253459.28865479593
1610928000,186.43,200,200,180.754,5859.10589432,1116239.27103472089
1611014400,200,185.779,209.758,184.395,6832.75057455,1359247.52690354627
1611100800,186.398,196.802,200.206,171.362,7589.44036617,1424373.86272679633
1611187200,197.062,160.006,198.803,154.661,10219.46632567,1762673.96333496968
1611273600,160.198,190.169,198.901,147.289,8595.16291318,1553280.56507662584
1611360000,189.996,213.597,219.997,185.749,5904.6191495,1204188.79766833363
1611446400,212.77,264.217,288.28,212.5,15517.03420775,3909742.16323071034
1611532800,264.657,247.598,284.486,238.56,13373.42916999,3471422.72428966386
1611619200,247.553,277.066,288.05,240.432,11074.27755442,2944330.53029106295
1611705600,277.69,285.695,298.61,255.6,14965.86110644,4165671.55466723611
1611792000,285.924,296.374,309.083,274.989,7178.2887762,2087356.86500108538
1611878400,297.423,287.237,308.75,271.72,8225.01537569,2395366.44224947652
1611964800,287.704,315.785,322.932,282.005,7790.16990387,2373047.95399217447
1612051200,315,299.634,318.334,292.875,5465.01246124,1666110.83472802859
1612137600,299.349,295.457,306.666,282.627,5724.09322713,1690524.10325055453
1612224000,295.457,302.716,306.797,286,5220.36687381,1544018.84862953432
1612310400,302.472,385.017,387.258,300.455,11655.82233397,3949513.76140462708
1612396800,383.815,468.292,520.97,383.815,44959.12729282,20202628.99737712296
1612483200,467.509,505.76,542,465,18252.97247416,9138731.07490430108
1612569600,504.667,473.464,510,440,15585.62213172,7383240.41434267484
1612656000,473.68,471.178,481.689,390.926,9154.05618192,4033276.36934783409
1612742400,471.325,489.397,530,464.084,12813.59551421,6370596.21210399025
1612828800,489.465,488.002,509.857,472.221,10796.67910369,5299705.0705157086
1612915200,488.001,521.548,576.756,487.777,17548.0051313,9284312.55658361107
1613001600,521.64,516.44,541.022,507.5,7520.73517052,3942498.18212739993
1613088000,516.402,528.021,543.713,500,6404.74535598,3341455.34462230425
1613174400,527.911,495.393,542.899,484.481,6635.1135917,3374264.94380559603
1613260800,494.035,468.066,509.127,460.563,5302.00847857,2555783.41049452443
1613347200,468.059,455.889,497,384.238,11173.17467461,5044351.91869944276
1613433600,456.682,433.27,478.168,421.267,6471.9682798,2899232.79562271541
1613520000,433.27,450.564,467.818,398.119,7845.4074449,3392957.8054956198
1613606400,450.613,442.254,478.692,434.983,5671.93849606,2603350.85322044225
