time,open,close,high,low,volume,turnover
1776084000,93.644,93.936,93.956,93.644,665.1432,62394.2863526
1776084300,94.031,94.107,94.21,93.978,333.8888,31420.1640399
1776084600,94.102,94.573,94.574,94.102,3074.9123,290403.5642552
1776084900,94.532,94.425,94.671,94.346,898.7501,84972.4515583
1776085200,94.433,94.74,94.932,94.368,958.264,90674.7025371
1776085500,94.723,94.564,94.737,94.35,551.363,52118.3188923
1776085800,94.529,94.769,95,94.529,672.3078,63685.3599225
1776086100,94.782,94.705,94.949,94.607,497.777,47149.4336339
1776086400,94.703,94.624,94.717,94.607,250.1823,23683.9232353
1776086700,94.667,94.24,94.667,94.07,403.444,38018.5688629
1776087000,94.265,93.863,94.328,93.746,2028.8816,190672.9100665
1776087300,93.717,93.64,93.797,93.49,2050.0409,191926.9710487
1776087600,93.642,93.984,94.251,93.642,892.7391,83895.3277218
1776087900,94.018,95.04,95.04,93.937,3828.5942,362471.5295469
1776088200,95.11,94.613,95.189,94.148,1328.7752,125674.3806359
1776088500,94.708,94.875,94.993,94.551,350.1877,33203.4950266
1776088800,94.854,94.59,95.031,94.42,751.6034,71144.9930704
1776089100,94.536,94.268,94.623,94.09,713.5678,67346.9238773
1776089400,94.275,94.15,94.465,94.108,83.2403,7848.5732331
1776089700,94.171,94.258,94.419,94,859.4046,80956.0154337
1776090000,94.357,94.368,94.444,94,821.0298,77381.6619421
1776090300,94.328,94.295,94.38,94.184,11.9266,1124.2891214
1776090600,94.295,94.631,94.631,94.236,178.6021,16889.7866397
1776090900,94.677,94.692,94.718,94.481,494.8712,46827.7274829
1776091200,94.651,94.88,95,94.53,680.6945,64476.4907994
1776091500,94.86,94.843,95.14,94.757,334.7109,31786.2761559
1776091800,94.801,94.857,94.886,94.489,661.9967,62665.0662406
1776092100,94.92,95.286,95.345,94.781,346.4041,32860.2915015
1776092400,95.292,94.579,95.292,94.579,311.5779,29596.6117126
1776092700,94.68,94.607,94.741,94.457,239.135,22632.8510443
1776093000,94.619,94.682,94.844,94.55,201.8726,19117.2082061
1776093300,94.735,94.733,94.949,94.623,335.541,31799.9459218
1776093600,94.74,94.5,94.868,94.477,204.1971,19336.1945999
1776093900,94.458,94.33,94.631,94.33,290.9156,27485.4235092
1776094200,94.289,93.933,94.289,93.677,261.2104,24517.6076431
1776094500,93.981,94.074,94.185,93.973,1034.4018,97265.8423763
1776094800,94.05,94.082,94.216,93.981,866.0637,81486.6219021
1776095100,94.015,94.074,94.147,93.939,1011.8502,95137.5698657
1776095400,94.104,94.168,94.299,94,845.9968,79564.805151
1776095700,94.164,94.331,94.332,94.128,505.0239,47597.9842282
1776096000,94.343,94.017,94.414,94.014,587.7556,55353.8879602
1776096300,94.001,94.183,94.314,93.767,1707.5883,160515.6603357
1776096600,94.182,94.205,94.244,94.016,745.8567,70215.2897836
1776096900,94.221,94.25,94.328,94,674.1376,63499.1525088
1776097200,94.272,94.443,94.443,94.026,958.7771,90290.453656
1776097500,94.443,94.644,94.674,94.331,3508.47,331507.698138
1776097800,94.69,94.721,94.935,94.66,1006.1407,95398.6602256
1776098100,94.714,94.769,95.066,94.54,373.4632,35414.262453
1776098400,94.776,94.904,95.034,94.579,303.6922,28769.625118
1776098700,94.857,94.77,95.049,94.732,699.5477,66359.4276676
1776099000,94.778,94.667,95.012,94.552,763.6364,72378.9410281
1776099300,94.688,94.919,94.931,94.688,578.4868,54845.5095672
1776099600,94.873,94.825,94.927,94.721,510.7648,48432.3400889
1776099900,94.796,94.979,94.979,94.585,258.9707,24527.4633893
1776100200,95.049,94.864,95.175,94.828,510.3723,48454.6003543
1776100500,94.877,94.936,94.979,94.805,472.1938,44808.2964168
1776100800,94.876,94.966,95,94.721,444.4095,42166.1037604
1776101100,94.967,95.26,95.26,94.967,475.962,45258.4973535
1776101400,95.245,95.477,95.743,95.245,501.3273,47885.6869946
1776101700,95.533,95.376,95.533,95.324,591.9153,56484.6778054
1776102000,95.385,95.111,95.385,95.079,479.9068,45701.4402462
1776102300,95.109,94.887,95.223,94.833,464.3976,44174.6039338
1776102600,94.904,94.758,94.931,94.541,446.2219,42250.3482421
1776102900,94.668,94.593,94.74,94.565,689.6747,65285.7899844
1776103200,94.58,94.619,94.899,94.562,252.9679,23958.4066224
1776103500,94.64,94.61,94.765,94.55,354.5934,33546.5817715
1776103800,94.573,94.751,94.764,94.47,207.3522,19625.6902141
1776104100,94.746,95.007,95.01,94.668,825.3207,78213.9591039
1776104400,94.98,94.64,95.047,94.568,512.2017,48543.8346751
1776104700,94.642,94.774,94.785,94.542,1103.5911,104505.5029399
1776105000,94.771,95.194,95.208,94.751,678.8458,64489.0075071
1776105300,95.216,95.198,95.298,95.103,778.3498,74112.3043038
1776105600,95.185,95.246,95.336,95.141,163.594,15582.3898747
1776105900,95.212,95.265,95.461,95.212,675.4104,64397.8403262
1776106200,95.283,95.465,95.465,95.199,414.8087,39541.3895151
1776106500,95.449,95.623,95.624,95.449,350.4575,33489.5089911
1776106800,95.62,95.431,95.742,95.349,1011.8477,96689.1786306
1776107100,95.444,95.568,95.616,95.436,776.6653,74184.8983455
1776107400,95.551,95.442,95.58,95.244,1020.3611,97374.2863662
1776107700,95.499,95.88,95.968,95.492,439.4932,42062.0006927
1776108000,95.847,96.011,96.155,95.785,396.6114,38038.6022695
1776108300,95.935,95.845,96.035,95.764,241.6493,23175.2837729
1776108600,95.833,96.105,96.281,95.816,1448.261,139177.0538906
1776108900,96.097,96.191,96.207,95.816,1214.894,116634.476791
1776109200,96.19,96.082,96.233,96.037,215.6003,20718.5047398
1776109500,96.082,96.337,96.409,96.082,842.1884,81067.286596
1776109800,96.454,96.846,96.914,96.454,495.5195,47909.9280843
1776110100,96.863,96.791,96.974,96.701,968.1991,93745.2715757
1776110400,96.779,96.614,96.848,96.484,638.8817,61758.8499062
1776110700,96.573,96.674,96.719,96.493,140.3315,13559.299665
1776111000,96.658,96.586,96.719,96.511,33.0681,3194.8209845
1776111300,96.535,96.431,96.583,96.401,526.2195,50778.825963
1776111600,96.445,96.12,96.491,96.103,710.3231,68449.829206
1776111900,96.14,96.453,96.634,96.112,428.5467,41297.7362161
1776112200,96.394,96.531,96.531,96.314,10.1959,982.5122274
1776112500,96.402,96.23,96.545,96.213,482.6876,46486.2053388
1776112800,96.214,96.652,96.652,96.214,347.4771,33502.6542268
1776113100,96.644,96.648,96.812,96.501,607.5319,58741.3212244
1776113400,96.715,96.474,96.715,96.432,7.561,729.6225831
1776113700,96.473,96.542,96.625,96.473,3.8729,374.0107741
1776114000,96.381,96.235,96.414,96.208,13.4423,1294.2033929
1776114300,96.188,96.642,96.66,96.188,423.3091,40862.9526219
1776114600,96.651,96.466,96.757,96.466,902.5453,87236.2474596
1776114900,96.43,96.553,96.616,96.4,1462.3354,141171.8783234
1776115200,96.528,96.639,96.639,96.424,1619.8697,156366.5353992
1776115500,96.58,96.637,96.714,96.425,1684.0783,162663.7099796
1776115800,96.704,96.884,96.974,96.56,1686.2479,163143.6349951
1776116100,96.854,96.819,96.934,96.675,1821.0271,176311.0380447
1776116400,96.882,96.989,96.99,96.667,1747.4132,169295.1569236
1776116700,96.966,97.303,97.391,96.966,1867.2889,181289.7714643
1776117000,97.388,97.342,97.432,97.238,2010.7714,195759.1906219
1776117300,97.4,97.299,97.432,97.232,2002.3982,194921.1852535
1776117600,97.298,97.595,97.606,97.164,2806.0508,273056.5839039
1776117900,97.611,98.133,98.675,97.611,1574.9043,154543.6050811
1776118200,98.2,99.015,99.246,98.2,1189.2753,117336.2069539
1776118500,99.089,100.524,100.554,99.076,917.2511,91548.6544967
1776118800,100.452,100.763,101.211,100.452,994.2405,100384.1176146
