time,open,close,high,low,volume,turnover
1744848000,0.6106,0.6188,0.6239,0.6089,9438331.74856586,5812367.555802864384
1744891200,0.6191,0.6167,0.6298,0.61,5922529.67283711,3674104.504927931492
1744934400,0.6169,0.6163,0.6185,0.6105,3004851.90985855,1846773.977440107265
1744977600,0.6162,0.6277,0.632,0.6135,5377241.86,3348836.433519
1745020800,0.6276,0.6272,0.6349,0.6262,3321837.88176799,2092874.914907167653
1745064000,0.6272,0.6279,0.6317,0.6189,5157055.55,3232199.128499
1745107200,0.628,0.615,0.6347,0.6121,6576679.58854829,4119808.80551697099
1745150400,0.6149,0.6199,0.6258,0.6098,4658323.43482162,2875056.904204773632
1745193600,0.6203,0.6389,0.649,0.6201,9736773.00222006,6230185.685087741046
1745236800,0.6389,0.6243,0.6506,0.616,11959577.7699557,7526085.57192832461
1745280000,0.6243,0.6404,0.6437,0.6155,6461985.9935944,4074435.594472154287
1745323200,0.6406,0.6792,0.685,0.6369,14988620.6403337,9920625.165067128415
1745366400,0.6792,0.7014,0.7108,0.6776,6054680.43991335,4204316.44685118903
1745409600,0.7014,0.6978,0.7181,0.6841,7620034.22,5355338.058547
1745452800,0.6977,0.6873,0.6997,0.6702,4048362.87135838,2767040.491252394059
1745496000,0.6875,0.7218,0.7458,0.6849,21903453.73213269,15858774.977975378774
1745539200,0.7218,0.721,0.7258,0.7019,5045982.13882107,3610990.995803698828
1745582400,0.7212,0.7135,0.733,0.7054,14358713.34638569,10315789.336378272085
1745625600,0.7134,0.7075,0.7343,0.705,7190292.31176005,5188308.39069941341
1745668800,0.7075,0.7069,0.713,0.6995,7032596.94113158,4975820.961027040835
1745712000,0.7069,0.6968,0.7177,0.692,5327980.3,3739602.233342
1745755200,0.6969,0.7032,0.7169,0.6908,8508332.75305206,5974826.956118908816
1745798400,0.7033,0.7225,0.7289,0.6822,11469223.88773421,8122937.783264058344
1745841600,0.7225,0.7055,0.7231,0.6845,11487328.45,8028016.504824
1745884800,0.7058,0.7143,0.717,0.6972,9852018.2,6972206.675307
1745928000,0.7144,0.6958,0.7179,0.6883,11484039.06919804,8111826.95126081134
