time,open,close,high,low,volume,turnover
1562198400,0.088,0.079,0.089999,0.078127,34081.24497502,2809.523283427361
1562284800,0.079,0.076627,0.0825,0.076302,61018.35258499,4822.165347119875
1562371200,0.08097,0.080198,0.08097,0.076002,42602.16519987,3361.33529514249937
1562457600,0.077301,0.079074,0.0804,0.076011,63554.97437432,4981.276184006128
1562544000,0.079074,0.080363,0.093999,0.078269,433878.17278164,34930.62309690713432
1562630400,0.080363,0.078076,0.081454,0.075,311904.24257248,24590.67477489911623
1562716800,0.078076,0.072504,0.087001,0.069665,557429.91971542,42429.86373119201493
1562803200,0.073424,0.065073,0.073558,0.06245,422799.34751496,27833.22864314506994
1562889600,0.065322,0.069791,0.075863,0.063471,438548.18472463,29859.49015159425029
1562976000,0.069791,0.067012,0.075863,0.040995,633835.6511,43115.5827324325
1563062400,0.067012,0.059324,0.085,0.03,412846.79498249,25915.17069135842703
1563148800,0.058645,0.058979,0.075,0.052001,432210.84329492,25612.8944140796
1563235200,0.059387,0.051877,0.06066,0.050681,525446.47454401,29486.82099693399994
1563321600,0.051782,0.054886,0.058163,0.046168,477241.41325599,25581.25807245507889
1563408000,0.05527,0.058394,0.060999,0.053265,586299.32204481,33745.23514628227104
1563494400,0.058363,0.060001,0.067,0.056122,386144.70533641,22810.22134311264
1563580800,0.060202,0.062387,0.066999,0.059935,457677.75076456,28464.79055995857596
1563667200,0.062245,0.061428,0.066999,0.059387,411752.62623738,25353.80317133761544
1563753600,0.061469,0.059795,0.065,0.054,476568.32589027,28606.35995637543879
1563840000,0.060155,0.055665,0.061151,0.055306,512076.90018747,29307.80824508476715
1563926400,0.055314,0.05829,0.063499,0.054,246804.71584099,13989.16264281511961
1564012800,0.058262,0.058736,0.08,0.055,356128.44893012,21478.5856796387276
1564099200,0.058535,0.062263,0.074,0.056983,459403.7316011,27816.46223044945096
1564185600,0.062262,0.059718,0.064545,0.057285,569222.09375627,34362.57265037884715
1564272000,0.059617,0.059331,0.059928,0.056689,404824.82550878,23894.65827157530454
1564358400,0.05963,0.060558,0.06231,0.058164,394351.20846742,23813.71195024166681
1564444800,0.060558,0.059725,0.06102,0.055796,440436.7496,26453.2504736505
1564531200,0.059935,0.060209,0.062976,0.058993,314974.24381331,18949.18046563556324
1564617600,0.060424,0.058809,0.061611,0.058,395689.64574633,23281.91425415954539
1564704000,0.058798,0.057959,0.059895,0.056754,305770.98773148,17759.32012522469524
1564790400,0.057947,0.057891,0.05896,0.056754,225431.82528717,13014.8960728947565
1564876800,0.057891,0.0563,0.062665,0.056122,324421.53224535,18547.73038809129442
1564963200,0.0563,0.056407,0.058031,0.05,378773.59621248,21521.99906760248992
1565049600,0.056181,0.053826,0.062,0.053265,393703.70535476,21791.11757766076248
1565136000,0.053622,0.052117,0.062,0.051277,404426.12086884,21719.3205652621925
1565222400,0.0521,0.052471,0.053509,0.05,409062.24523011,21243.16557797455153
1565308800,0.052779,0.048,0.052779,0.046175,649011.4859,32328.332207684
1565395200,0.048086,0.051853,0.054499,0.04617,936256.53647166,47706.61733747896747
1565481600,0.051853,0.055083,0.061959,0.049936,619278.45732035,33359.38972332736598
1565568000,0.055083,0.053335,0.055083,0.052565,417479.22222217,22292.32868443644475
1565654400,0.053335,0.052818,0.05334,0.050077,425336.64755988,21942.18672936038664
1565740800,0.052972,0.046884,0.0535,0.046744,619433.40576878,31339.81632076136423
1565827200,0.047031,0.047591,0.0545,0.045074,706184.01276216,33482.16239203212
1565913600,0.047318,0.046663,0.047441,0.044327,280637.68157873,12907.45318331475556
1566000000,0.046735,0.047552,0.048006,0.031,442529.6427858,20471.6693866614578
1566086400,0.047788,0.050544,0.051004,0.046745,476926.01562308,23352.52961801101272
1566172800,0.050548,0.050281,0.051011,0.049518,447954.38751825,22473.14581696071611
1566259200,0.050281,0.049455,0.050986,0.048359,420467.30480467,20801.89580438437106
1566345600,0.049614,0.047866,0.049844,0.046367,294138.76761462,14045.619986921218
1566432000,0.04814,0.0495,0.051623,0.047,191371.80240259,9461.25590858486931
1566518400,0.0495,0.049501,0.050975,0.048984,106883.50144032,5295.18377553383726
1566604800,0.049844,0.050328,0.051399,0.048438,63678.66324867,3188.80565762679487
1566691200,0.050609,0.05,0.052999,0.048504,250408.48060704,12785.10910998293544
1566777600,0.049969,0.0497,0.050692,0.048589,46392.58871182,2308.97092821205298
1566864000,0.049705,0.049754,0.050003,0.048,84545.39540998,4141.87543150660264
1566950400,0.049763,0.04605,0.050151,0.045085,590049.55360146,29098.84458115368857
1567036800,0.045829,0.044399,0.045829,0.043232,251766.5547,11121.6546273337
1567123200,0.044173,0.044797,0.045564,0.043759,29295.5318,1308.9421052724
1567209600,0.044434,0.045252,0.048,0.043935,134081.10046541,6128.71514327170061
1567296000,0.044859,0.044207,0.045185,0.043847,103900.6008,4625.3158956873
1567382400,0.04414,0.044968,0.048,0.043432,255031.95709755,11453.77964846458455
1567468800,0.045285,0.04646,0.04995,0.044,110646.7661,5103.338463876
1567555200,0.04647,0.045315,0.046607,0.044987,730123.4257,33641.7589493307
1567641600,0.04513,0.044534,0.045285,0.043764,107203.81615149,4755.38767695311869
1567728000,0.044402,0.044094,0.045051,0.0406,271666.3466,11916.9995206597
1567814400,0.044203,0.04575,0.046441,0.043557,192486.94707727,8688.97052090503359
1567900800,0.045989,0.046423,0.047499,0.043847,449785.35157223,21057.29497534230769
1567987200,0.046693,0.046973,0.047346,0.045285,320272.13149286,14936.1282923599545
1568073600,0.046977,0.046459,0.047994,0.045783,285743.344,13395.9306033852
1568160000,0.04632,0.044941,0.046928,0.04435,80292.85408676,3633.0939291887494
1568246400,0.045051,0.045516,0.046286,0.044248,78362.7613,3567.5534579205
1568332800,0.045079,0.045799,0.045799,0.044857,170179.5348,7682.1103717305
1568419200,0.045694,0.046338,0.160204,0.044774,711244.62963897,36852.87257455578147
1568505600,0.046335,0.046658,0.047946,0.046004,110545.94482917,5132.7486607461229
1568592000,0.046658,0.047,0.047935,0.045754,259323.98080028,12097.9111391239963
1568678400,0.047,0.048852,0.053999,0.0465,1042905.7929624,52307.1692830953848
1568764800,0.048906,0.05289,0.089,0.04867,1269871.34062008,68108.89498908186996
1568851200,0.052893,0.052595,0.054488,0.048663,1038935.3174371,52592.25742376535706
1568937600,0.05215,0.052584,0.052584,0.050344,374539.43195509,19178.08280489355879
