time,open,close,high,low,volume,turnover
1561075200,1,3.1696,5,1,859831.85701718,2598707.944016179325
1561161600,3.1819,2.1515,3.1846,1.8322,1028111.65208143,2426163.141617777335
1561248000,2.1516,1.8672,2.1931,1.7752,918986.08312271,1813546.720835263668
1561334400,1.8589,1.3876,1.9741,1.2921,597065.46680355,1010555.313211072813
1561420800,1.3877,1.5226,1.8996,1.3039,157074.61874771,247732.428235215046
1561507200,1.5408,1.5921,1.8773,1.4866,153248.21699884,254620.860481712382
1561593600,1.5921,1.4173,1.595,1.3727,90827.22900672,132719.33489731121
1561680000,1.4264,1.4489,1.5744,1.3789,87088.37616284,128107.991939541508
1561766400,1.4489,1.5051,1.5461,1.4144,71630.68626192,104797.309246985488
1561852800,1.5081,1.445,1.576,1.4,68686.99595945,101688.82308286774
1561939200,1.4455,1.3469,1.46,1.25,83982.19924878,113653.223513670076
1562025600,1.3488,1.1343,1.3638,1.0318,125536.0441143,146421.773809947108
1562112000,1.1487,1.0928,1.1785,1.0688,87929.5869,98655.06921039
1562198400,1.1071,1.0024,1.1325,0.9848,88971.3658,93042.24460866
1562284800,1.0092,1.1229,1.1749,0.95,171684.0264,184775.6632514
1562371200,1.1255,1.0326,1.1289,1.0228,96366.99059208,102235.480934930734
1562457600,1.0302,1.0696,1.1014,1.0259,67813.24510482,71451.561288690146
1562544000,1.0703,1.0506,1.0771,1.0318,58370.0334,60996.93301829
1562630400,1.0475,1.0411,1.0807,1.0214,37223.5276,38894.79731396
1562716800,1.0423,1.0275,1.1135,0.956,87846.85452964,91648.121238173272
1562803200,1.0271,0.8595,1.049,0.8456,173689.6456,162706.32638092
1562889600,0.8589,0.8839,0.9367,0.8023,181654.47379279,159263.188905566642
1562976000,0.8971,0.9396,1.03,0.869,151077.31863371,141445.398374069414
1563062400,0.9388,0.8213,1.0255,0.8027,117921.57990734,107936.27584661458
1563148800,0.8193,0.8064,0.845,0.7377,116511.72848952,93221.145261154304
1563235200,0.8062,0.6449,0.8148,0.6335,117682.6416,84072.27023359
1563321600,0.6479,0.6723,0.84,0.6096,118614.01307146,81259.22837379389
1563408000,0.6764,0.6935,0.7041,0.6404,89854.58988204,60621.723412615228
1563494400,0.6934,0.6674,0.6954,0.6521,34938.5845248,23297.81030342584
1563580800,0.6674,0.708,0.7486,0.6635,44005.6643,31456.510709
1563667200,0.7099,0.6937,0.7124,0.66,66903.393,46093.24533777
1563753600,0.6934,0.6414,0.701,0.6327,68554.44496615,46012.666512595287
1563840000,0.6424,0.5791,0.6453,0.5654,77973.91020748,47238.444250820628
1563926400,0.5701,0.6055,0.6084,0.5588,44441.0398,25989.87336585
1564012800,0.5978,0.6111,0.6121,0.5834,31008.03607698,18485.563689088502
1564099200,0.6099,0.6536,0.7417,0.5957,121936.26995422,80738.721232514261
1564185600,0.6536,0.5795,0.6657,0.5742,82339.30670589,50544.647918338149
1564272000,0.5761,0.5739,0.5971,0.5588,77358.1454,45062.20941658
1564358400,0.5742,0.5716,0.5921,0.5557,61391.6589,35351.49234875
1564444800,0.5725,0.5679,0.5875,0.5538,53565.85214065,30441.284432591625
1564531200,0.5676,0.5663,0.5766,0.5588,43903.8052184,24917.98864070584
1564617600,0.5654,0.558,0.5669,0.5099,75329.385,40449.26052453
1564704000,0.5575,0.8081,0.8866,0.5542,371817.63235986,287393.369643790863
1564790400,0.8005,0.7447,0.8564,0.7393,87038.24005179,68136.05223266429
1564876800,0.745,0.7043,0.7595,0.6934,67162.55647785,47898.262974079224
1564963200,0.7071,0.7938,0.8093,0.6761,80504.84274633,57689.814331690341
1565049600,0.7944,0.7011,0.8,0.6927,37838.44976187,28195.405489589067
1565136000,0.7066,0.6886,0.73,0.6801,41468.84594039,28992.429797139189
1565222400,0.6911,0.7265,0.7722,0.6576,92650.74942097,65950.254387026216
1565308800,0.7263,0.8076,0.8371,0.6916,152523.95564415,116117.205176898846
1565395200,0.8034,0.8072,0.8638,0.7623,129823.79804002,105544.652355326278
1565481600,0.8076,0.8258,0.88,0.8071,62596.91974774,52498.006116979232
1565568000,0.8185,0.8062,0.822,0.7668,61987.51544874,49347.628853049738
1565654400,0.8034,0.8057,0.8403,0.782,52205.71423299,42116.346848887411
1565740800,0.8036,0.7173,0.8507,0.3401,119589.32365179,92140.770373822712
1565827200,0.7199,0.7087,0.7741,0.6407,120860.51552245,86052.307967357392
1565913600,0.708,0.6793,0.73,0.6791,45490.59533077,31747.622625200921
1566000000,0.6786,0.6848,0.714,0.6675,44230.4322,30429.92994659
1566086400,0.6829,0.6754,0.6937,0.6656,34061.9419,23082.73806033
1566172800,0.6769,0.6539,0.6771,0.6509,39112.13616916,25951.424643368696
1566259200,0.6553,0.6259,0.6965,0.6035,129215.0982,83268.47228045
1566345600,0.626,0.5691,0.6291,0.56,58404.89431939,33730.424377239664
1566432000,0.5674,0.5727,0.5897,0.5347,34015.85657393,19398.541844195352
1566518400,0.5689,0.5727,0.588,0.5485,13876.4088,7900.98223849
1566604800,0.5765,0.5776,0.5776,0.5452,2122.4962,1195.29319205
1566691200,0.5767,0.538,0.5809,0.5331,9854.2813,5527.00080144
1566777600,0.5408,0.5204,0.5582,0.5204,26249.34893507,14229.491617774752
1566864000,0.5229,0.5231,0.5494,0.5077,42531.53251317,22789.446272400072
1566950400,0.5247,0.4357,0.5331,0.4273,85839.11051957,42814.852328218401
1567036800,0.437,0.4009,0.4455,0.3943,45005.82104221,19007.282490477891
1567123200,0.401,0.4181,0.4233,0.4,24769.49959561,10199.662343779661
1567209600,0.4187,0.4094,0.4351,0.3965,27457.17161983,11388.904986043476
1567296000,0.4077,0.3886,0.4165,0.3788,27921.73228573,10973.506685124788
1567382400,0.3904,0.3921,0.3927,0.3741,66951.7994,25733.56751247
1567468800,0.3924,0.3694,0.4029,0.3648,60965.95361427,23083.043588635212
1567555200,0.3652,0.3468,0.3745,0.3437,20326.4792,7298.65260463
1567641600,0.3487,0.3895,0.3937,0.338,68354.2953,25028.58772162
1567728000,0.3895,0.3444,0.419,0.342,82903.2622,31107.15851507
1567814400,0.3469,0.3683,0.3852,0.3394,65760.71643619,23557.293866219443
1567900800,0.372,0.3851,0.3851,0.3519,23744.8565,8666.25547824
1567987200,0.3851,0.367,0.39,0.3519,49552.1628,18194.07925392
1568073600,0.3679,0.3675,0.3941,0.3629,37347.98172033,14052.886488495421
1568160000,0.3658,0.344,0.3715,0.3418,30939.76867096,10920.707072637252
1568246400,0.3491,0.3183,0.3491,0.31,50563.1713,16585.85496119
1568332800,0.3236,0.3162,0.345,0.3123,40862.5218,13547.87637888
1568419200,0.3179,0.3224,0.324,0.3112,10919.5175,3459.63734292
1568505600,0.3236,0.3298,0.3398,0.3204,18141.3661,5975.87830547
1568592000,0.3339,0.321,0.335,0.3144,22517.787,7247.05175428
1568678400,0.3232,0.32,0.3339,0.3105,26614.1229769,8614.62403650713
1568764800,0.3194,0.3428,0.3592,0.3143,84980.10779262,29049.017616301428
1568851200,0.3387,0.3221,0.3387,0.3088,46799.3955,14883.85631752
1568937600,0.3222,0.318,0.3289,0.3137,28445.7646,9131.9852005
1569024000,0.3219,0.3143,0.3253,0.3143,15361.17987258,4895.300106328828
1569110400,0.3142,0.2994,0.3198,0.2959,47082.8424546,14551.06790774748
1569196800,0.2993,0.2675,0.2993,0.2675,129914.5132,36681.90148525
1569283200,0.2683,0.1935,0.2815,0.1788,342255.23,75977.48474066
1569369600,0.1947,0.2081,0.2184,0.1927,95049.63394079,19471.529272157656
1569456000,0.204,0.1902,0.2058,0.1665,159237.78986195,29249.388954934646
1569542400,0.1894,0.1885,0.1975,0.1776,63063.0114,11727.78747213
1569628800,0.1878,0.2035,0.2069,0.1875,43787.78620129,8716.302196488325
1569715200,0.2024,0.2244,0.2408,0.1975,94499.01367641,21114.820495798405
1569801600,0.2256,0.2504,0.2616,0.2139,84239.44862121,19896.250880464035
1569888000,0.2489,0.2329,0.263,0.2268,101290.56001242,24178.154547549942
1569974400,0.2296,0.2316,0.2391,0.2213,69148.79634574,15990.638447779034
1570060800,0.2326,0.23,0.2392,0.2229,38543.4383423,8864.55611643933
1570147200,0.23,0.2283,0.2351,0.2231,60535.7345,13899.72075642
1570233600,0.2277,0.2234,0.2309,0.22,54552.0596,12257.50746595
1570320000,0.2247,0.2118,0.226,0.2103,181272.2219,39160.31084837
1570406400,0.2117,0.2184,0.223,0.2049,144780.81209247,31126.769206708671
1570492800,0.2179,0.2261,0.2327,0.2134,95724.7568,21141.16693567
1570579200,0.2254,0.2392,0.258,0.2254,176710.06225841,41696.719471198584
1570665600,0.2375,0.2537,0.2677,0.232,275158.67246932,68145.439278959652
1570752000,0.2535,0.2511,0.276,0.2511,400954.08862077,105597.281173027362
1570838400,0.2529,0.2561,0.2602,0.2434,156671.51304287,39280.709747157225
1570924800,0.2546,0.25,0.2677,0.2464,231901.10055368,59419.59203770324
1571011200,0.2495,0.2668,0.2676,0.2475,174536.83992124,44977.481013129208
1571097600,0.2678,0.2481,0.2733,0.2444,219993.98690395,56450.54234344224
1571184000,0.2474,0.2286,0.2489,0.2233,372690.34669465,87174.611660964775
1571270400,0.2285,0.2369,0.2392,0.2284,200937.4383,46811.77206036
1571356800,0.2377,0.2256,0.2385,0.2184,253165.13848868,57272.661552648936
1571443200,0.226,0.2233,0.2295,0.2215,253788.5909,57277.81329712
1571529600,0.2233,0.2234,0.2258,0.2112,277582.5021,61063.68325055
1571616000,0.2235,0.2264,0.23,0.223,134286.524,30381.71375911
1571702400,0.2259,0.2185,0.2267,0.2178,31095.977,6905.88545687
1571788800,0.2176,0.2003,0.2178,0.1968,133698.6957,27397.57468123
1571875200,0.2002,0.2012,0.2057,0.1987,45941.9263,9247.68612791
