time,open,close,high,low,volume,turnover
1770926400,0.091,0.0902,0.091,0.0899,5726.4951,517.88227852
1770930000,0.0903,0.0903,0.0907,0.0902,28651.3979,2592.70827616
1770933600,0.0902,0.0909,0.0909,0.0899,7143.1404,646.5232764
1770937200,0.091,0.0918,0.0919,0.091,71778.0592,6582.40977536
1770940800,0.0918,0.0913,0.0923,0.0911,236525.7135,21718.58479205
1770944400,0.0912,0.0911,0.0915,0.091,22942.6641,2093.21014587
1770948000,0.0912,0.0913,0.0913,0.091,40605.2343,3697.09184067
1770951600,0.0913,0.0911,0.0915,0.0909,14354.3278,1312.44813329
1770955200,0.0909,0.0905,0.0911,0.0905,17835.7848,1620.05067001
1770958800,0.0906,0.0903,0.0906,0.0901,50120.1586,4530.43715806
1770962400,0.0902,0.0906,0.0906,0.0897,50775.9385,4575.47574245
1770966000,0.0906,0.0907,0.0911,0.0906,65840.1421,5978.12133323
1770969600,0.0906,0.0913,0.0915,0.0906,31492.5969,2869.64175855
1770973200,0.0913,0.0912,0.0913,0.091,30028.2639,2737.72647112
1770976800,0.0912,0.0912,0.0913,0.091,62330.46,5679.6899692
1770980400,0.0912,0.0913,0.0913,0.091,23856.2967,2173.28621022
1770984000,0.0912,0.0914,0.0916,0.091,35946.7889,3281.02075871
1770987600,0.0915,0.0917,0.0922,0.0912,60461.7895,5543.88319286
1770991200,0.0917,0.0918,0.0925,0.0913,125672.5448,11552.06583589
1770994800,0.0921,0.0934,0.0946,0.0918,427332.2638,39933.43826914
1770998400,0.0935,0.0948,0.0951,0.0931,115105.9896,10824.91172375
1771002000,0.0949,0.0944,0.095,0.094,114745.1623,10840.78796328
1771005600,0.0943,0.0943,0.0945,0.094,70622.8129,6652.65855265
1771009200,0.0944,0.0942,0.0947,0.0941,137691.3622,13008.627431
1771012800,0.0941,0.0944,0.0946,0.0939,29704.4303,2799.32263925
1771016400,0.0946,0.0948,0.0952,0.0946,240461.4216,22824.48350611
1771020000,0.0949,0.0942,0.0949,0.0941,72298.687,6822.16291036
1771023600,0.0943,0.094,0.0943,0.0939,56350.0691,5300.25082837
1771027200,0.0941,0.0955,0.0957,0.0939,153658.5057,14655.86202074
1771030800,0.0954,0.0955,0.096,0.0954,84735.5989,8109.77584211
1771034400,0.0955,0.0958,0.096,0.0954,185312.0663,17752.74847216
1771038000,0.0957,0.0962,0.0963,0.0957,417540.0436,40130.18455655
1771041600,0.0962,0.0963,0.0965,0.0958,96498.176,9275.0728402
1771045200,0.096,0.0961,0.0965,0.0959,23392.9049,2248.53258943
1771048800,0.0961,0.0961,0.0963,0.0961,38608.9461,3714.32183834
1771052400,0.0961,0.0963,0.0963,0.096,77652.8129,7464.60631063
1771056000,0.0962,0.0976,0.0976,0.0962,216132.3344,20993.66795374
1771059600,0.0977,0.0976,0.098,0.0973,54402.1058,5319.67578945
1771063200,0.0975,0.0974,0.0975,0.0972,55221.0615,5378.23677239
1771066800,0.0975,0.0982,0.0987,0.0974,88790.7817,8712.33247144
1771070400,0.0983,0.0984,0.0989,0.0982,28184.0481,2779.81735178
1771074000,0.0982,0.0973,0.0983,0.0971,108669.6316,10592.34026939
1771077600,0.0973,0.0988,0.099,0.0971,74458.1307,7282.29152291
1771081200,0.0988,0.0985,0.0988,0.098,110713.1943,10887.07778506
1771084800,0.0986,0.099,0.0992,0.0979,55665.8259,5473.57020579
1771088400,0.0991,0.0992,0.0998,0.099,41310.1255,4102.29983753
1771092000,0.0991,0.0997,0.1001,0.0991,62495.7346,6232.9535152
1771095600,0.0997,0.1004,0.1011,0.0993,219437.4646,21939.91055761
1771099200,0.1005,0.0998,0.1008,0.0994,181792.1289,18182.25763707
1771102800,0.0998,0.1001,0.1009,0.0996,160089.044,16057.97179655
1771106400,0.1,0.1004,0.1008,0.0999,128174.5203,12867.44791729
1771110000,0.1003,0.0997,0.1004,0.0996,50958.2902,5094.84346683
