time,open,close,high,low,volume,turnover
1775134800,0.1034,0.1027,0.104,0.102,776521.4862,79887.71117167
1775136600,0.1028,0.1044,0.1045,0.102,450410.1965,46535.40007916
1775138400,0.1044,0.1068,0.1078,0.1041,828865.3154,87848.75029733
1775140200,0.1068,0.1072,0.1087,0.1063,1133106.3817,122061.06742232
1775142000,0.107,0.1056,0.1074,0.1054,799691.4593,84874.15782823
1775143800,0.1056,0.1095,0.1097,0.1055,642976.097,69149.22415063
1775145600,0.1093,0.1068,0.1099,0.1059,876569.4986,94377.98706448
1775147400,0.1069,0.1069,0.1083,0.1064,609565.0738,65264.93606796
1775149200,0.1069,0.1077,0.1084,0.1066,599484.159,64347.4289723
1775151000,0.1076,0.107,0.1079,0.1064,423643.1098,45396.57090819
1775152800,0.107,0.1082,0.1087,0.1069,524581.1353,56520.93297474
1775154600,0.1082,0.1089,0.1107,0.1081,709381.1873,77521.198689
1775156400,0.109,0.1086,0.1091,0.1077,417071.6428,45203.62010745
1775158200,0.1086,0.1068,0.1089,0.1067,539953.0432,58362.13739282
1775160000,0.1066,0.1057,0.1072,0.1053,665921.1344,70750.98634927
1775161800,0.1057,0.1056,0.1063,0.1054,502275.9406,53163.15919705
1775163600,0.1057,0.1047,0.1061,0.1041,591141.4883,62046.51752322
1775165400,0.1047,0.1066,0.1067,0.1047,281462.0419,29750.13280304
1775167200,0.1065,0.106,0.1073,0.1057,427805.6636,45588.70685827
1775169000,0.106,0.107,0.1077,0.106,482078.5013,51658.45764295
1775170800,0.1071,0.1069,0.1078,0.1065,361623.6751,38735.61613431
1775172600,0.1069,0.1064,0.1075,0.106,194113.4164,20730.07221527
1775174400,0.1065,0.1081,0.1086,0.1065,445167.3482,47814.97146388
1775176200,0.1081,0.1106,0.1107,0.1079,393598.053,42894.73273301
1775178000,0.1105,0.1101,0.1124,0.1099,1451911.6674,161415.01476867
1775179800,0.1101,0.1104,0.1109,0.1082,754373.7399,82887.01974501
1775181600,0.1105,0.1128,0.1138,0.1102,746988.5668,83829.06402519
1775183400,0.1128,0.111,0.1129,0.1106,604178.5094,67429.08700379
1775185200,0.1108,0.114,0.1144,0.1105,479979.7889,54029.1894771
1775187000,0.114,0.1143,0.1156,0.1136,747104.9156,85548.66144223
1775188800,0.1143,0.1159,0.1165,0.1139,795683.4744,91820.9314556
1775190600,0.1159,0.1172,0.1188,0.1153,1025847.8553,120202.29263667
1775192400,0.1172,0.1164,0.1178,0.1161,617231.0641,72226.33819627
1775194200,0.1163,0.1177,0.1184,0.116,817918.8469,96052.71340869
1775196000,0.1175,0.1198,0.1202,0.1175,874395.3133,104080.17387981
