time,open,close,high,low,volume,turnover
1758672000,1.58,2.3042,2.5,1.58,2607632.78,6040251.63231
1758758400,2.3049,1.8749,2.384,1.79,12294676.12,24289153.350587
1758844800,1.875,2.0262,2.164,1.724,14503195.17,27755356.24409
1758931200,2.023,1.9198,2.2186,1.8894,8942875.11,17947113.315776
1759017600,1.9207,1.8542,1.9664,1.7009,8287313.23,15088278.906884
1759104000,1.8537,1.8974,1.9963,1.7779,9036896.7,17052653.975161
1759190400,1.8969,1.6199,1.9762,1.5073,11769050.26,19880899.001538
1759276800,1.62,1.638,1.7369,1.51,8736815.83,14285843.007041
1759363200,1.6385,1.7955,1.8688,1.6158,8715234.52,15338565.728556
1759449600,1.7952,2.0778,2.15,1.7724,11110345.56,21623992.278983
1759536000,2.0806,2.0621,2.276,1.9511,8719449.87,18269964.878228
1759622400,2.062,1.8686,2.1062,1.7516,10305452.96,19585682.616636
1759708800,1.8686,2.0628,2.221,1.828,16078330.29,32935611.762335
1759795200,2.0637,2.045,2.1908,1.9477,8934658.77,18372476.166289
1759881600,2.0475,1.9287,2.1095,1.9008,7492892.83,14980044.419588
1759968000,1.9288,1.6818,1.9293,1.56,7484931.2,13106269.11083
1760054400,1.6822,1.325,1.846,0.9572,18960865.12452869,30093300.430143379712
1760140800,1.3224,1.2013,1.4132,1.1552,12548974.64,16200215.237774
1760227200,1.2008,1.4831,1.5355,1.16,12762735.8,17637297.944905
1760313600,1.4829,1.4514,1.595,1.3514,11657853.57,17091786.759812
1760400000,1.4504,1.5028,1.5279,1.3013,9609350.12144215,13576315.042509778265
1760486400,1.5033,1.283,1.5375,1.2631,7594318.58,10691755.691277
1760572800,1.2834,1.2569,1.3638,1.2008,9528058.9953791,12302678.9310443075
1760659200,1.2576,1.1575,1.2883,1.0203,12604603.45,14054357.598976
1760745600,1.1589,1.1751,1.2361,1.1247,6350141.90824469,7477921.675023409645
1760832000,1.1768,1.2005,1.2408,1.1178,5866684.97,6952571.245149
1760918400,1.1976,1.1593,1.2594,1.1206,4806775.09278679,5678044.507282479993
1761004800,1.1575,1.0418,1.1922,1.0237,6457215.95,7194173.884569
1761091200,1.0405,0.9544,1.0625,0.9301,9948730.71,9869953.121415
1761177600,0.9561,1.1059,1.1239,0.9496,7198083.11,7538477.07382
1761264000,1.104,1.119,1.1521,1.0484,4762132.93,5284104.506503
1761350400,1.1176,1.1398,1.1591,1.0916,3489012.28,3924298.469784
1761436800,1.1394,1.1497,1.2202,1.1193,4724766.01,5497310.21214
1761523200,1.1486,1.082,1.1685,1.041,5096323.67,5614700.703115
1761609600,1.0805,1.0743,1.1564,1.0384,6422792.4,6989280.424018
1761696000,1.0726,1.0244,1.0939,0.9887,6975575.83,7376251.474887
1761782400,1.0239,0.9228,1.0501,0.8539,8202536.44,7670117.342098
1761868800,0.9223,0.9938,1.0132,0.915,6659760.56,6448218.142486
1761955200,0.9928,0.9664,1.031,0.9524,3041978.39,2988403.273528
1762041600,0.9664,1.2263,1.283,0.9063,24819239.82859387,28954188.711280436711
1762128000,1.2267,0.9134,1.2595,0.847,18376274.88,18805034.608812
1762214400,0.9134,0.9748,0.9997,0.817,16745185.79,15183184.458644
1762300800,0.9749,1.0704,1.126,0.9306,12283931.83,12722165.475217
1762387200,1.0704,1.0176,1.1713,0.9843,10954855.62,11584251.647549
1762473600,1.0172,1.1413,1.1676,0.9726,8238856.78,8773849.580065
1762560000,1.1411,1.0394,1.151,1.0083,3906414.18,4148510.756913
1762646400,1.0395,1.1028,1.131,1.0097,3752427.88,4065645.144066
1762732800,1.1022,1.0897,1.1742,1.0473,4529882.82,5031075.672954
1762819200,1.089,1.0822,1.155,1.0528,6499569.31,7138641.889074
1762905600,1.0826,1.1115,1.2099,1.0763,9829997.56,11191506.946272
1762992000,1.1108,1.0712,1.1513,1.0141,6563052.51,7144054.7091
1763078400,1.0718,1.1035,1.1231,0.9924,7133285.58,7569267.157507
1763164800,1.1052,1.1247,1.16,1.1019,3233827.53,3657778.838079
1763251200,1.1248,1.28,1.2849,1.109,7886884.94,9531903.191797
1763337600,1.28,1.1801,1.303,1.1368,6267938.12,7626484.808122
1763424000,1.1806,1.3796,1.3993,1.1754,7376966.97447497,9753237.628985642339
1763510400,1.3809,1.3639,1.4063,1.2561,5124660.17,6783475.890679
1763596800,1.3628,1.1956,1.38,1.1491,7274053.34,9012147.41325
1763683200,1.1954,1.216,1.2542,1.1107,7387891.96,8839194.898787
1763769600,1.216,1.157,1.2293,1.145,2762976.98,3267938.933814
1763856000,1.1567,1.1173,1.2215,1.068,4430994.39,5026083.426588
1763942400,1.117,1.171,1.1715,1.089,3170197,3586723.310628
1764028800,1.1711,1.1743,1.2047,1.1068,2537856.1,2955132.126553
1764115200,1.1748,1.1079,1.1874,1.0597,4196096.04,4641688.626771
1764201600,1.1075,1.0919,1.1606,1.0747,1918264.23,2105717.412997
1764288000,1.0918,1.0931,1.1269,1.0616,2348981.3,2570698.155539
1764374400,1.0937,1.0462,1.1118,1.03,2338585.26,2483089.944058
1764460800,1.0463,1.0531,1.0863,1.0285,1188291.7,1261927.865735
1764547200,1.0529,0.9542,1.0579,0.8828,6319741.83,6024721.506774
1764633600,0.954,1.0116,1.0381,0.9533,3188989.27,3177945.635228
1764720000,1.0118,1.0643,1.0853,1.0065,2211335.46,2344358.836385
1764806400,1.0647,1.024,1.0827,1.0214,1706523.03,1794152.122751
1764892800,1.0241,1.0153,1.0614,0.9924,1741016.55,1774881.983487
1764979200,1.0144,0.973,1.0151,0.9631,1368922.72,1351665.714119
1765065600,0.9733,0.9135,0.9853,0.8951,2319020.94315306,2173903.650153505978
1765152000,0.9132,0.9467,0.983,0.909,1923300.26,1835679.725627
1765238400,0.9469,0.9648,0.99,0.9246,1692371.23,1613399.747219
1765324800,0.964,0.9504,0.9856,0.9438,1919377.57,1847025.957818
