time,open,close,high,low,volume,turnover
1770926400,0.7193,0.7039,0.7202,0.7016,45356.07,32211.946316
1770930000,0.7041,0.6938,0.7067,0.6929,55318.92,38629.393609
1770933600,0.6947,0.7131,0.7143,0.6929,50861.91,35826.969221
1770937200,0.7136,0.7145,0.7267,0.7108,52693.1,37975.966265
1770940800,0.715,0.7177,0.7177,0.7099,16938.2,12084.27182
1770944400,0.7167,0.722,0.738,0.7167,118307.81,86479.591371
1770948000,0.7228,0.7161,0.7257,0.707,71360.6,51093.309307
1770951600,0.7166,0.7146,0.7166,0.7106,15473.17,11045.294492
1770955200,0.7147,0.712,0.7148,0.7067,17744.89,12600.699204
1770958800,0.7102,0.7042,0.7112,0.7021,18310.68,12945.761258
1770962400,0.7047,0.7074,0.7078,0.6982,107863.77,75609.211248
1770966000,0.7074,0.7163,0.7182,0.7048,52446.95,37350.827853
1770969600,0.7159,0.709,0.72,0.709,34179.11,24442.984059
1770973200,0.71,0.7092,0.711,0.7056,6789.7,4805.966588
1770976800,0.7096,0.7163,0.7168,0.7094,28648.6,20437.614592
1770980400,0.7159,0.715,0.7184,0.7113,12643.53,9030.156903
1770984000,0.715,0.7136,0.7176,0.7115,9356.9,6684.227903
1770987600,0.7142,0.7163,0.7265,0.7081,70827.83,50675.035406
1770991200,0.7167,0.7102,0.7208,0.708,55263.69,39507.388419
1770994800,0.7104,0.726,0.7336,0.7095,171103.47,123819.45024
1770998400,0.726,0.7371,0.7539,0.7224,442711.14,325739.081843
1771002000,0.7371,0.7431,0.7444,0.7293,102024.78,75222.524136
1771005600,0.7437,0.7336,0.746,0.732,40717.96,29967.94485
1771009200,0.7344,0.7285,0.7368,0.7274,66258.83,48504.299388
1771012800,0.7286,0.729,0.7321,0.7262,25905.83,18889.437768
1771016400,0.7296,0.7278,0.7297,0.7238,23451.91,17055.374027
1771020000,0.728,0.7276,0.7289,0.7221,29117.61,21121.095926
1771023600,0.729,0.7267,0.7324,0.7264,54581.87,39792.769431
1771027200,0.7264,0.7299,0.7373,0.7238,112513.92,82231.343247
1771030800,0.7296,0.7313,0.7331,0.726,34070.73,24842.006941
1771034400,0.7318,0.7204,0.7329,0.7194,49711.16,36146.194136
1771038000,0.7199,0.711,0.721,0.7098,97195.93,69464.621345
1771041600,0.7109,0.7168,0.7171,0.706,32440.82,23065.693833
1771045200,0.7162,0.7121,0.7221,0.7115,43372.32,31140.377414
1771048800,0.712,0.7087,0.7133,0.7077,35359.07,25131.921248
1771052400,0.7104,0.7136,0.7157,0.7104,31910.24,22776.507117
1771056000,0.714,0.7171,0.719,0.7137,32707.84,23433.252169
1771059600,0.7166,0.7119,0.7166,0.7086,33944.13,24133.94661
1771063200,0.7123,0.7164,0.7206,0.7103,28721.68,20535.932045
1771066800,0.7167,0.7213,0.725,0.7151,48813.55,35170.328251
1771070400,0.7205,0.7113,0.7213,0.7107,58726.17,41959.337944
1771074000,0.7116,0.7215,0.7225,0.711,44522.84,31887.600616
1771077600,0.7213,0.7285,0.7315,0.715,77900.87,56209.221834
1771081200,0.7286,0.7237,0.7341,0.7194,67161.24,48781.926076
1771084800,0.7238,0.7256,0.7295,0.7214,37852.47,27454.372545
1771088400,0.7263,0.7276,0.7297,0.7248,22235.28,16170.982712
1771092000,0.7277,0.7319,0.7385,0.7257,102956.01,75598.880196
1771095600,0.7318,0.7324,0.7367,0.7262,66838.14,48843.464125
1771099200,0.7323,0.7316,0.7345,0.7233,32262.54,23478.030807
1771102800,0.7318,0.7342,0.7362,0.7259,32516.39,23832.410264
1771106400,0.7325,0.7308,0.7375,0.7303,19680.79,14446.715598
1771110000,0.7308,0.7339,0.7396,0.7283,35852.23,26337.198212
1771113600,0.7336,0.7244,0.7364,0.7209,112944.91,82285.350005
1771117200,0.7239,0.7309,0.7312,0.7168,109501.1,78935.928048
1771120800,0.7305,0.7322,0.7367,0.7264,53375.16,39083.032472
1771124400,0.7332,0.7393,0.7414,0.7258,111054.14,81851.21462
1771128000,0.739,0.7349,0.7452,0.7309,59355.05,43797.475068
1771131600,0.7354,0.7329,0.7374,0.7318,27108.94,19921.86213
1771135200,0.7325,0.737,0.7392,0.7325,14683.41,10794.313822
1771138800,0.7371,0.7311,0.7376,0.7292,47225.91,34602.179922
1771142400,0.7316,0.7262,0.7359,0.7188,108784.79,78811.569103
1771146000,0.7262,0.7365,0.7385,0.7245,152485.19,111486.913548
1771149600,0.7358,0.7373,0.7425,0.7285,78957.37,58021.881447
1771153200,0.738,0.7327,0.7417,0.7325,165270.33,122192.24506
1771156800,0.7342,0.7234,0.7346,0.7229,82824.46,60347.243059
1771160400,0.7238,0.7151,0.736,0.7104,249805.59,181127.111714
1771164000,0.7145,0.7223,0.7238,0.7096,54119.3,38751.510712
1771167600,0.7225,0.7186,0.725,0.7127,210167.18,150721.002466
1771171200,0.7188,0.723,0.7234,0.7128,30027.48,21509.348031
1771174800,0.7233,0.7251,0.7289,0.7168,59339.51,42860.812082
1771178400,0.7238,0.7199,0.7256,0.7165,24712.21,17831.36882
1771182000,0.7217,0.7167,0.7266,0.7155,21702.81,15638.707523
1771185600,0.7163,0.7232,0.7267,0.7131,15497.88,11177.450187
1771189200,0.7248,0.7235,0.7312,0.7231,17551.01,12767.780963
1771192800,0.7235,0.7336,0.7348,0.7212,28165.46,20513.715901
1771196400,0.733,0.7307,0.7333,0.7246,102368.47,74628.970325
