time,open,close,high,low,volume,turnover
1775134800,0.6635,0.6618,0.6654,0.6613,58725.42,38960.472068
1775136600,0.6616,0.6614,0.6623,0.6561,102584,67583.456728
1775138400,0.6612,0.6612,0.6631,0.6598,47260.71,31246.009967
1775140200,0.6618,0.6667,0.6681,0.6618,72373.76,48188.846592
1775142000,0.6662,0.6624,0.6662,0.6621,27604.85,18329.553075
1775143800,0.6621,0.662,0.6624,0.6606,11622.72,7692.67034
1775145600,0.662,0.6616,0.6625,0.6616,11700.17,7744.495995
1775147400,0.6618,0.6595,0.664,0.6588,19544.01,12921.528662
1775149200,0.6592,0.662,0.6628,0.6587,14452.67,9559.851395
1775151000,0.6615,0.6551,0.6616,0.6517,70825.04,46525.406955
1775152800,0.6551,0.6565,0.6572,0.6544,28238.83,18516.588024
1775154600,0.6569,0.6582,0.6592,0.656,27579.76,18146.50217
1775156400,0.6583,0.6606,0.661,0.6583,20123.64,13278.896811
1775158200,0.6606,0.6606,0.6613,0.6599,3691.74,2438.625513
1775160000,0.6603,0.6624,0.6625,0.6601,6998.79,4632.176879
1775161800,0.6623,0.6635,0.6637,0.662,11801.98,7820.828426
1775163600,0.6634,0.6655,0.6655,0.663,17221.28,11434.064966
1775165400,0.6656,0.6661,0.6673,0.6649,18860.52,12566.026143
1775167200,0.6668,0.663,0.668,0.6615,40743.4,27117.799361
1775169000,0.6636,0.6602,0.6636,0.6602,26161.67,17326.371722
1775170800,0.6603,0.6615,0.6615,0.6603,19594.27,12947.771303
1775172600,0.6622,0.6619,0.6624,0.6612,20737.76,13725.391745
1775174400,0.6618,0.6631,0.6637,0.6611,41261.63,27324.739738
1775176200,0.6629,0.6624,0.6633,0.662,5403.9,3580.031143
1775178000,0.6624,0.6647,0.6648,0.6624,4991.18,3309.694779
1775179800,0.6646,0.665,0.6658,0.663,18128.85,12050.763426
1775181600,0.6643,0.664,0.6657,0.6639,6569.86,4367.588296
1775183400,0.6634,0.6656,0.6656,0.6634,19385.33,12872.381745
1775185200,0.6652,0.6665,0.6674,0.6652,9417.17,6274.332371
1775187000,0.6667,0.6663,0.6667,0.666,12763.04,8503.877053
1775188800,0.6663,0.6661,0.6676,0.6659,6547.49,4363.99242
1775190600,0.6651,0.6644,0.6652,0.6642,20098.88,13362.636729
1775192400,0.6643,0.6638,0.6647,0.6632,6069.2,4029.983416
1775194200,0.6646,0.6639,0.6655,0.6639,5770.74,3837.292793
1775196000,0.6643,0.6624,0.6663,0.6616,24849.45,16504.340658
1775197800,0.6622,0.6634,0.6642,0.6621,9432.06,6257.58975
1775199600,0.664,0.6639,0.6642,0.6627,7408.64,4915.018526
1775201400,0.6641,0.6651,0.6662,0.6638,18586.93,12353.272035
1775203200,0.665,0.6627,0.6654,0.6622,21925.34,14558.662493
