time,open,close,high,low,volume,turnover
1744588800,0.04846,0.05047,0.05058,0.04805,129764.0647,6438.699524094
1744632000,0.05022,0.04967,0.05081,0.04907,34952.6483,1740.870713619
1744675200,0.04965,0.04998,0.05052,0.04908,9580.6174,480.628632872
1744718400,0.04997,0.04852,0.05053,0.04852,9718.9414,486.546056144
1744761600,0.04858,0.04844,0.04947,0.04796,13750.0213,675.219264801
1744804800,0.04908,0.04852,0.04927,0.04393,276787.222,13094.660082414
1744848000,0.04847,0.04882,0.04951,0.04796,5857.0744,287.665205202
1744891200,0.04901,0.04957,0.0498,0.04805,25512.4547,1249.561682322
1744934400,0.04947,0.05148,0.05148,0.04897,19346.5249,974.140414705
1744977600,0.05172,0.05267,0.05276,0.0513,46930.6692,2432.97954388
1745020800,0.05278,0.05438,0.05488,0.05278,16406.1813,881.516544605
1745064000,0.05446,0.05543,0.05637,0.05368,19474.5615,1076.76317953
1745107200,0.05546,0.05512,0.0578,0.05478,78816.3313,4456.799202855
1745150400,0.05528,0.0568,0.0568,0.05524,6960.6468,388.86053906
1745193600,0.05702,0.05659,0.0576,0.05611,75995.75,4341.682099046
1745236800,0.05659,0.05659,0.05736,0.05604,58821.6244,3350.844029843
1745280000,0.05616,0.05688,0.05702,0.05568,45384.2027,2551.071893247
1745323200,0.05691,0.05974,0.06007,0.05691,49347.1173,2888.785250278
1745366400,0.06038,0.06159,0.06159,0.05971,68356.8197,4172.999634649
1745409600,0.0615,0.06061,0.06212,0.05975,21836.047,1337.906087115
1745452800,0.06108,0.06021,0.06108,0.05903,38136.6612,2286.702361529
1745496000,0.06028,0.0617,0.0622,0.05959,72836.7169,4466.862908311
1745539200,0.06112,0.0636,0.06362,0.0604,27602.0479,1710.961596098
1745582400,0.0635,0.06218,0.06365,0.0617,40838.5994,2560.069581751
1745625600,0.06216,0.0617,0.0635,0.0617,8852.4671,557.419743851
1745668800,0.06235,0.06326,0.06326,0.0621,39397.7633,2467.409121955
1745712000,0.06253,0.06101,0.06253,0.06051,41426.8061,2539.035395038
1745755200,0.06051,0.05979,0.06061,0.05953,30067.2383,1812.731943016
1745798400,0.0604,0.06285,0.06322,0.05897,78540.299,4764.982250093
1745841600,0.0623,0.06222,0.06261,0.06001,36819.066,2263.224506846
1745884800,0.06235,0.06105,0.06297,0.06105,51520.8329,3198.922656591
1745928000,0.06063,0.05933,0.06147,0.05903,12748.328,774.329731097
1745971200,0.05971,0.0626,0.06278,0.05949,29407.8155,1802.3454827
1746014400,0.06181,0.06109,0.06181,0.0596,47262.6179,2845.118392518
1746057600,0.06159,0.06408,0.06444,0.06111,267573.3454,16844.688420844
1746100800,0.06399,0.063,0.0641,0.063,61871.0669,3923.565818079
1746144000,0.06336,0.06192,0.06365,0.0617,132854.2203,8249.998168759
1746187200,0.0618,0.06236,0.0627,0.0618,46206.2985,2884.853786772
1746230400,0.06181,0.06037,0.06265,0.06011,147583.6236,9119.252731023
1746273600,0.06047,0.05683,0.06078,0.05661,99002.3085,5769.504025711
1746316800,0.0565,0.05382,0.0565,0.05231,190220.4988,10229.226767618
1746360000,0.05372,0.05302,0.05401,0.0528,92586.109,4960.73399628
1746403200,0.05272,0.05178,0.05438,0.05165,120337.4584,6391.786556267
1746446400,0.05141,0.05326,0.05369,0.05136,118403.7677,6225.091877556
1746489600,0.05337,0.05065,0.05354,0.05065,118322.229,6247.176821823
1746532800,0.05067,0.052,0.052,0.04972,41216.7176,2097.964121704
1746576000,0.05212,0.0526,0.05341,0.05194,41052.5065,2169.346051929
1746619200,0.05251,0.04927,0.05252,0.04895,204137.9476,10134.737980068
1746662400,0.04917,0.05332,0.05383,0.04904,228755.1657,11951.699770787
1746705600,0.05325,0.05631,0.0565,0.05325,217780.4805,11934.734917121
