time,open,close,high,low,volume,turnover
1636588800,1.015,1.6891,1.792,1.015,2575049.86161142,3986521.817087085071
1636675200,1.6968,1.359,1.7018,1.297,1688784.3094173,2395319.586685461552
1636761600,1.3615,1.2881,1.3938,1.27,382716.53339328,509200.300095414034
1636848000,1.2939,1.3378,1.3842,1.2742,374753.67800573,498712.622988134253
1636934400,1.3396,1.219,1.4235,1.205,385522.69862902,492620.910026677833
1637020800,1.2189,1.075,1.2189,1.0061,209580.64562932,234437.315679708733
1637107200,1.0747,1.0789,1.116,1.024,127669.64889254,136627.621441085842
1637193600,1.0789,0.9431,1.1107,0.9178,262883.03019646,266515.101473213453
1637280000,0.9433,1.0103,1.0326,0.918,116767.31723337,116374.300065797959
1637366400,1.0103,1.0399,1.0552,0.9721,272653.55942236,279089.283565019213
1637452800,1.0399,1.0573,1.0994,1.0019,250506.10451683,266511.982946843615
1637539200,1.0575,0.9786,1.0576,0.9592,131881.55157616,130734.611301454986
1637625600,0.976,1.0245,1.0468,0.9697,191059.12871556,195279.359174489674
1637712000,1.024,1.0342,1.08,0.9879,319395.73440169,327863.317851122216
1637798400,1.036,1.04,1.0618,1,195870.52019585,202102.002502646473
1637884800,1.0402,1.2217,1.2847,1.0127,1667989.29816735,1905121.797406124946
1637971200,1.2218,1.2049,1.4732,1.176,1257909.01234388,1632110.016346818086
1638057600,1.205,1.1199,1.2403,1.03,326142.77616147,367149.383192304317
1638144000,1.1203,1.1109,1.2018,1.0692,515624.74132325,587796.561921494768
1638230400,1.1116,1.128,1.2194,1.0816,352951.1654166,405720.665615170191
1638316800,1.1245,1.1172,1.1828,1.0923,241925.08789793,276072.520683213819
1638403200,1.1172,1.0532,1.1228,1.0372,137254.47302317,147329.096270093227
1638489600,1.0539,0.9987,1.1008,0.958,217970.90110351,225464.567124356558
1638576000,0.9987,0.7723,1.0036,0.65,334209.82350342,267419.295897492937
1638662400,0.7746,0.7101,0.784,0.675,102442.168147,74717.883039965234
1638748800,0.7112,0.7259,0.7391,0.6315,201842.51528047,139034.58080090926
1638835200,0.7251,0.7149,0.7577,0.7059,180079.35177769,131792.406408153626
1638921600,0.7163,0.7491,0.788,0.675,408187.18334938,305962.374555479156
1639008000,0.7513,0.6937,0.8072,0.6901,642470.27682212,487546.558568280175
1639094400,0.698,0.6595,0.7257,0.6595,254470.81539755,178019.029599442794
1639180800,0.6646,0.7028,0.7028,0.65,59070.25338638,40515.381979951814
1639267200,0.7003,0.7099,0.7204,0.6751,196556.95886328,138246.426128556538
1639353600,0.7079,0.618,0.7159,0.6019,124899.14398048,81160.42547379482
1639440000,0.6142,0.6422,0.6496,0.6067,52081.25230667,32805.768992208834
1639526400,0.6412,0.6487,0.6616,0.5928,108769.95417003,67792.49700491725
1639612800,0.6481,0.6169,0.6701,0.613,127473.68494628,82710.287474098764
1639699200,0.6185,0.6063,0.6326,0.5913,69349.03380171,42738.618404915768
1639785600,0.6076,0.613,0.6334,0.5971,65632.7621331,40588.471924943314
1639872000,0.6105,0.6143,0.6257,0.6052,30201.52135939,18553.683060650506
1639958400,0.6138,0.597,0.6444,0.5665,110968.75480333,66485.440419375949
1640044800,0.5987,0.6278,0.6285,0.591,84121.53022817,51674.403060054014
1640131200,0.6274,0.6574,0.7184,0.62,664445.83203101,444556.774260441724
1640217600,0.6597,0.7154,0.7466,0.651,897902.25550591,619521.903809915565
1640304000,0.7155,0.6778,0.736,0.671,366494.98086084,257353.915514761145
1640390400,0.6758,0.7077,0.726,0.6749,274187.90391153,192878.283830311376
1640476800,0.707,0.7146,0.7278,0.6791,260625.18161277,186100.235847225885
