time,open,close,high,low,volume,turnover
1744588800,4.1523,4.2095,4.2793,4.0676,59968.1196,249672.42662241
1744632000,4.2072,4.1297,4.2318,4.1038,62700.1505,261146.56371131
1744675200,4.1343,4.1357,4.1797,4.0916,45775.7432,189509.48189357
1744718400,4.136,3.9814,4.173,3.9745,47083.7041,191394.49646689
1744761600,3.9809,4.0238,4.0744,3.9375,35668.5509,142676.67895367
1744804800,4.027,4.021,4.098,3.9238,48146.1463,193827.02394189
1744848000,4.0283,4.0834,4.1452,3.9901,28101.4182,114442.99105257
1744891200,4.0839,4.1059,4.1935,4.02,94588.9001,391780.74496613
1744934400,4.11,4.1792,4.192,4.0721,19271.3425,79944.83339753
1744977600,4.1773,4.1226,4.2227,4.1109,17335.9027,72414.13097948
1745020800,4.1328,4.1525,4.1995,4.1249,14834.94502386,61725.700447038724
1745064000,4.154,4.2102,4.2502,4.1492,41360.3788,173692.00493842
1745107200,4.2127,4.1306,4.2643,4.1189,30102.679989,126211.902847920434
1745150400,4.1306,4.1502,4.1832,4.1038,25445.9957,105091.25422996
1745193600,4.1548,4.274,4.294,4.1471,94350.8949,401381.04944307
1745236800,4.2741,4.0647,4.2904,4.0523,69819.50711516,293976.460633017046
1745280000,4.0647,4.1197,4.1211,3.9855,46488.8059,188821.20488232
1745323200,4.1217,4.3087,4.3355,4.0858,90383.7066,381145.02564607
1745366400,4.313,4.3639,4.4169,4.2941,81909.78048589,357462.276834846963
1745409600,4.3677,4.4077,4.4426,4.2758,116221.5034,508895.1281488
1745452800,4.4055,4.3617,4.4217,4.2813,47120.7658,204832.85567312
1745496000,4.3584,4.5504,4.6138,4.3483,195032.1074,885614.36121813
1745539200,4.5491,4.5464,4.5789,4.4238,57924.7822,261746.99114575
1745582400,4.5505,4.5434,4.6278,4.4937,47861.9228,218523.37370867
1745625600,4.5441,4.5603,4.666,4.5441,42097.8756,193807.66796946
1745668800,4.5678,4.5877,4.7318,4.5479,48918.98261861,226976.564316544897
1745712000,4.5879,4.4784,4.6245,4.4383,49267.631,221358.63454789
1745755200,4.4778,4.3769,4.4914,4.3622,54274.73707486,240260.02228421942
1745798400,4.3838,4.4468,4.4956,4.2827,70815.9528,312584.46814846
1745841600,4.4477,4.457,4.492,4.3361,54958.7108,242864.4039838
1745884800,4.458,4.4774,4.5349,4.4351,38809.9398,174086.74165773
1745928000,4.4751,4.3811,4.5088,4.3398,57142.88618739,253795.777710323652
1745971200,4.3734,4.4098,4.4285,4.3331,18806.9344,82258.88621231
1746014400,4.4133,4.2978,4.4157,4.22,43612.0861,187384.05154535
1746057600,4.3026,4.3877,4.3956,4.2943,21708.0673,94542.3928677
1746100800,4.3875,4.4334,4.4808,4.3458,59961.5443,265670.21037408
1746144000,4.4384,4.4141,4.5113,4.4109,35588.3633,158318.95303082
1746187200,4.4157,4.3664,4.4796,4.33,57659.3454,255835.59560744
1746230400,4.3659,4.2639,4.3659,4.2582,35978.6674,155345.27744188
1746273600,4.265,4.221,4.2786,4.163,23412.9233,99128.05810346
1746316800,4.2184,4.1524,4.2481,4.1404,33122.29581044,138517.935191361244
1746360000,4.1502,4.0955,4.1612,4.0662,30862.4048,126716.82823444
1746403200,4.0955,4.0748,4.2032,4.05,35987.2145,147994.93903649
1746446400,4.0734,4.0755,4.1482,4.0516,31321.4639,128086.01798382
1746489600,4.0758,4.029,4.0891,4.0035,36053.8897,145766.02836078
1746532800,4.027,4.1083,4.1207,3.982,25807.3574,104426.0916222
1746576000,4.109,4.1407,4.1878,4.0971,56179.3031,232250.89147153
1746619200,4.1427,4.1662,4.1857,4.0861,29673.50688684,122540.7464614328
1746662400,4.1672,4.358,4.3815,4.1575,52502.7077,225660.5317527
1746705600,4.3589,4.5371,4.5873,4.3372,88941.4762,394543.52375528
1746748800,4.5409,4.9203,4.9491,4.5252,93426.29757467,443103.822238362022
1746792000,4.9186,4.9449,4.9968,4.8629,71079.4991,350121.39787082
1746835200,4.9457,5.0253,5.0478,4.8588,47654.3646,237504.50558662
1746878400,5.0235,5.3809,5.3923,4.9894,91308.4729,469543.38427756
1746921600,5.3703,5.2784,5.417,5.1164,87862.6156,462819.90160492
1746964800,5.2713,5.3068,5.3359,5.1658,52172.16,273354.01017537
1747008000,5.3111,5.3005,5.4961,5.2354,109990.7931,590473.38430013
1747051200,5.3054,5.2363,5.4186,5.116,112734.2514,597384.70583402
1747094400,5.2333,5.1107,5.2404,5.0018,70833.8165,361240.99703529
1747137600,5.1165,5.264,5.3657,5.0633,77335.63293577,404195.416674873835
1747180800,5.2624,5.1912,5.3458,5.0992,59383.1396,310540.19327418
1747224000,5.1896,5.0933,5.2004,5.0427,60421.98395938,309098.137815443468
1747267200,5.0938,4.8841,5.127,4.825,91213.7816,451982.75371705
1747310400,4.8776,4.8643,5.0033,4.7676,92660.02925568,453399.732345206176
1747353600,4.8591,4.9449,4.9858,4.8473,34478.06824564,169849.172397410504
1747396800,4.944,4.8127,4.9768,4.7812,49619.0263,242952.17817801
1747440000,4.8156,4.7865,4.837,4.6592,32907.3848,155916.1905173
1747483200,4.7812,4.7222,4.8074,4.6847,40363.5159,191384.04584014
1747526400,4.7261,4.8253,4.8603,4.6913,40595.6207,193571.34275463
1747569600,4.8232,4.9628,5.1353,4.638,128837.9493,630019.10297925
1747612800,4.9642,4.6495,5.0006,4.6198,73625.41890327,348749.498728756452
1747656000,4.6481,4.7842,4.857,4.5824,49443.48681821,234515.392301540162
1747699200,4.7799,4.7154,4.8844,4.6812,45395.7418,217263.87991591
1747742400,4.7128,4.8459,4.8688,4.658,45740.84852147,216777.620183805904
1747785600,4.8505,4.9283,5.0123,4.7805,67459.7594,331360.29532836
1747828800,4.9243,4.975,5.0698,4.8344,135099.6249,668256.06756333
1747872000,4.9772,5.1195,5.148,4.9714,41186.9131,209335.11408064
1747915200,5.1155,5.2215,5.2283,5.0771,72628.2718,377067.13777288
1747958400,5.2197,5.0684,5.3411,5.0609,75506.94321663,394884.833426403281
