time,open,close,high,low,volume,turnover
1775839500,1.8218,1.8234,1.8251,1.8218,26062.3031,47529.08077541
1775839800,1.8243,1.8245,1.8259,1.8235,25800.8938,47075.94794543
1775840100,1.8251,1.8241,1.8251,1.8237,13910.0158,25381.24309881
1775840400,1.8235,1.8225,1.8235,1.8225,34.906,63.6436179
1775840700,1.8223,1.8235,1.8254,1.8223,5914.2633,10788.87137958
1775841000,1.8247,1.8192,1.8247,1.8176,24339.5421,44300.28927661
1775841300,1.8187,1.8179,1.8193,1.8178,25613.8815,46582.39487946
1775841600,1.8179,1.821,1.8217,1.8179,21736.4119,39547.36868566
1775841900,1.8198,1.8195,1.821,1.8182,23531.9762,42830.0724772
1775842200,1.8206,1.8187,1.821,1.8175,23177.4543,42166.64519213
1775842500,1.8201,1.8165,1.8201,1.8163,23940.488,43518.05088114
1775842800,1.8167,1.8169,1.819,1.8163,24455.0126,44437.9637234
1775843100,1.8181,1.817,1.8181,1.8164,21190.8392,38508.62628161
1775843400,1.8178,1.8167,1.8191,1.8167,24815.2108,45103.96007541
1775843700,1.8169,1.8174,1.8181,1.8163,22771.2265,41378.68505953
1775844000,1.818,1.8145,1.8189,1.8145,23528.7122,42757.43414227
1775844300,1.8155,1.8159,1.8169,1.8141,24941.7098,45274.60201142
1775844600,1.8169,1.8183,1.8183,1.8159,19737.3789,35872.4434621
1775844900,1.8183,1.8185,1.8231,1.8179,20377.6045,37100.20511091
1775845200,1.8203,1.8199,1.8211,1.8185,21304.9438,38773.94064758
1775845500,1.8194,1.8186,1.82,1.8171,25122.2967,45688.22636905
1775845800,1.8197,1.8186,1.82,1.8167,22891.4101,41636.65853338
1775846100,1.8192,1.8208,1.8216,1.8185,25122.8501,45716.15989329
1775846400,1.8196,1.8191,1.8207,1.8184,21888.0213,39821.95430574
1775846700,1.8191,1.8212,1.8217,1.8184,25999.319,47318.04593281
1775847000,1.8215,1.8217,1.8218,1.8194,23154.9066,42160.38061288
1775847300,1.8214,1.8253,1.8275,1.8214,23206.5592,42349.12704564
1775847600,1.8259,1.8264,1.8276,1.825,26693.1073,48734.88362688
1775847900,1.8252,1.8267,1.8285,1.8252,21641.5435,39538.94592217
1775848200,1.8276,1.8285,1.8303,1.8266,19555.1914,35766.5434221
1775848500,1.8296,1.8253,1.8298,1.8253,3789.0524,6929.76698237
1775848800,1.8252,1.8234,1.8252,1.8234,270,492.38177547
1775849100,1.8278,1.8278,1.8278,1.8278,0.3682,0.67299596
1775849400,1.8267,1.8267,1.8267,1.8267,0.2502,0.45704034
1775849700,1.8267,1.8267,1.8267,1.8267,0,0
1775850000,1.8269,1.8259,1.8269,1.8259,30,54.792
1775850300,1.8251,1.8239,1.8251,1.8239,30,54.733
1775850600,1.8239,1.8239,1.8239,1.8239,0,0
1775850900,1.8254,1.8269,1.8269,1.8254,51.3645,93.83765355
1775851200,1.8256,1.8273,1.829,1.825,17995.3764,32879.85038792
1775851500,1.827,1.8288,1.83,1.8245,22265.2953,40664.39170126
1775851800,1.8267,1.8289,1.829,1.8261,21214.2227,38767.87213523
1775852100,1.8266,1.8278,1.8291,1.8265,21152.8172,38650.85111445
1775852400,1.827,1.8234,1.8283,1.8226,22714.2264,41472.7243853
1775852700,1.8235,1.8241,1.8245,1.822,22906.5732,41771.5780582
1775853000,1.8234,1.825,1.8271,1.8234,22836.0422,41677.10950711
1775853300,1.8257,1.8205,1.8265,1.8185,20552.5563,37473.76586874
1775853600,1.8205,1.8224,1.8224,1.8195,7415.6548,13498.76143632
1775853900,1.8219,1.8234,1.8235,1.8201,9554.3362,17409.02093605
1775854200,1.8235,1.8241,1.8247,1.8231,15521.2742,28311.1493859
1775854500,1.8245,1.8254,1.8268,1.824,6269.9585,11444.14877409
1775854800,1.8241,1.8193,1.8241,1.8181,327.7099,596.37539932
1775855100,1.8178,1.8127,1.8178,1.8111,7902.8879,14328.60015263
1775855400,1.8144,1.8101,1.8144,1.8101,22993.6096,41658.86332745
1775855700,1.8106,1.8104,1.8114,1.8082,22461.1731,40643.92515341
1775856000,1.809,1.8135,1.814,1.809,25133.9378,45534.87587857
1775856300,1.8134,1.8145,1.8145,1.8116,24475.9522,44375.1155907
1775856600,1.8125,1.8165,1.8175,1.8125,29476.6239,53527.10289564
1775856900,1.815,1.817,1.8192,1.815,28796.3074,52315.16041565
1775857200,1.8185,1.8137,1.8185,1.8113,27783.2419,50432.65819664
1775857500,1.8116,1.8104,1.8137,1.808,14707.663,26631.89426744
1775857800,1.8088,1.8107,1.813,1.8081,27512.5137,49822.99214901
1775858100,1.813,1.8107,1.8137,1.8102,28945.1642,52441.81008165
1775858400,1.8111,1.8105,1.8135,1.8104,18637.7518,33761.01542863
1775858700,1.8105,1.8115,1.8115,1.8092,138.5308,250.73491646
1775859000,1.8109,1.8104,1.8109,1.8104,18.0256,32.63705552
1775859300,1.811,1.8096,1.8125,1.808,16018.9483,28996.22434812
1775859600,1.8083,1.8127,1.8128,1.808,19830.5641,35894.09461945
1775859900,1.8115,1.812,1.8127,1.8101,24717.7234,44771.10230193
1775860200,1.811,1.8101,1.8128,1.8099,7074.4232,12817.51102564
1775860500,1.8101,1.8098,1.8104,1.8067,6918.5557,12509.03531542
1775860800,1.8091,1.8092,1.8098,1.8065,8318.2087,15041.10129018
1775861100,1.8093,1.8105,1.8119,1.8088,7299.8662,13214.87362342
1775861400,1.8096,1.8106,1.8108,1.8089,7078.2813,12812.06551858
1775861700,1.8107,1.8106,1.8108,1.8089,2809.8945,5086.12519681
1775862000,1.8108,1.8089,1.8143,1.8074,13575.138,24583.45449712
1775862300,1.8097,1.8074,1.8097,1.8074,3112.6842,5628.72825194
1775862600,1.8079,1.8062,1.8082,1.806,11996.3106,21679.52799038
1775862900,1.8063,1.8055,1.8069,1.8042,20273.5043,36600.67656085
1775863200,1.8044,1.8046,1.807,1.8044,20493.8586,37008.58687717
1775863500,1.8056,1.8055,1.8058,1.8044,23048.2739,41600.7930501
1775863800,1.8049,1.8054,1.806,1.8041,22672.6251,40926.21338359
1775864100,1.8043,1.8064,1.8073,1.8043,24714.8465,44605.64023192
1775864400,1.805,1.8076,1.8079,1.805,21831.5913,39434.42192796
