time,open,close,high,low,volume,turnover
1775651400,9.342,9.348,9.356,9.341,4430.752,41415.4885881
1775652000,9.348,9.358,9.367,9.344,11721.7529,109657.9626039
1775652600,9.359,9.354,9.363,9.35,14965.0393,140017.8991276
1775653200,9.355,9.427,9.435,9.349,20749.9346,194447.6407333
1775653800,9.419,9.404,9.433,9.386,10225.2059,96211.9127375
1775654400,9.4,9.387,9.402,9.375,11651.5308,109363.200562
1775655000,9.39,9.34,9.411,9.338,12656.271821369999,118655.72367141471
1775655600,9.346,9.364,9.376,9.319,9011.5265,84214.7319838
1775656200,9.368,9.323,9.375,9.315,8431.0751,78788.9443207
1775656800,9.333,9.264,9.336,9.262,6303.955,58666.700922300006
1775657400,9.266,9.269,9.297,9.264,13856.290200000001,128607.8703481
1775658000,9.268,9.245,9.275,9.23,21099.7795,195349.5552362
1775658600,9.252,9.193,9.252,9.17,16037.9314,147551.4286795
1775659200,9.188,9.193,9.203,9.164,11718.116,107709.5700653
1775659800,9.19,9.176,9.19,9.148,9083.1351,83244.9526472
1775660400,9.171,9.199,9.22,9.167,8639.077399999998,79473.9558805
1775661000,9.198,9.218,9.222,9.187,5191.4574,47812.280236299994
1775661600,9.212,9.191,9.221,9.186,5264.5294,48462.4599
1775662200,9.19,9.213,9.217,9.181,5842.0358,53722.612349200004
1775662800,9.218,9.216,9.221,9.197,949.0141,8741.7552353
1775663400,9.214,9.219,9.23,9.202,2580.7282,23773.6983714
1775664000,9.217,9.23,9.234,9.216,4138.977,38183.5691791
1775664600,9.225,9.237,9.238,9.222,3336.3001,30787.5579629
1775665200,9.238,9.205,9.238,9.205,2376.4393,21924.148132899998
1775665800,9.203,9.2,9.205,9.176,4098.9645,37674.8022413
1775666400,9.197,9.218,9.221,9.197,2959.8805,27251.7316129
1775667000,9.218,9.231,9.238,9.21,2046.5269,18880.882435
1775667600,9.218,9.235,9.242,9.214,8924.2332,82397.3219183
1775668200,9.236,9.241,9.265,9.235,8291.5468,76704.3473491
1775668800,9.241,9.213,9.242,9.205,1672.1891999999998,15418.3242059
1775669400,9.218,9.263,9.289,9.218,10347.974900000001,95770.7104234
1775670000,9.263,9.263,9.273,9.255,17190.4171,159254.0220838
1775670600,9.262,9.27,9.27,9.255,4808.005999999999,44531.777148400004
1775671200,9.277,9.271,9.282,9.256,10187.6235,94390.7444729
1775671800,9.267,9.236,9.274,9.226,10429.2795,96557.0434151
1775672400,9.235,9.208,9.246,9.203,19533.514900000002,180203.5430612
1775673000,9.208,9.215,9.229,9.205,14352.0766,132307.9345336
1775673600,9.209,9.189,9.209,9.182,8792.7125,80848.4592093
