time,open,close,high,low,volume,turnover
1614902400,20,24.368,29.9,20,9514.59188766,236748.6566814847
1614988800,24.349,24.889,25.677,22.5,9252.26409259,225503.79375275486
1615075200,25.011,26.7,29.999,24.962,6700.36047539,178648.77791862497
1615161600,26.726,25.591,28.487,25.112,10634.94896752,277796.79475833862
1615248000,25.64,34.21,37.777,23.696,44754.43451829,1309294.43732362149
1615334400,34.503,29.645,37,28.707,36153.52697761,1162813.95979682859
1615420800,29.528,30.742,33.786,28.497,22987.84325319,709501.60656639034
1615507200,30.669,28.041,31.999,26.79,29734.27668621,872168.68266519616
1615593600,27.849,30.915,35,26.917,27643.50201295,846365.15373853949
1615680000,30.992,29.088,33.837,28.83,13723.20812221,419152.02899859603
1615766400,28.888,29.069,31.199,27,15568.90549654,449800.07789419671
1615852800,28.889,33.136,34,27.5,37880.66513846,1152889.8117839588
1615939200,33.062,32.727,33.998,30.01,22084.70552815,709697.53248691724
1616025600,33,33.231,35.999,29.161,41008.54579936,1372129.46974052664
1616112000,33.167,37.35,38.906,31.355,33062.70863709,1192237.48472170288
1616198400,37.358,34.206,40.163,34.206,23326.33163693,853728.88779222743
1616284800,34.173,32.768,35.78,32,21800.9015965,734203.65738286257
1616371200,32.768,29.246,34.578,28.23,26196.67355177,826970.41163258215
1616457600,29.223,28.527,31.999,28.15,34696.43823861,1029483.25735471082
1616544000,28.493,25.907,31.357,25.01,25029.49759706,705854.37280559302
1616630400,25.9,25.852,29.07,24.432,20591.40325972,535062.85079504112
1616716800,26,28.955,29.5,25.852,27583.90842222,770848.67155926346
1616803200,28.955,29.072,29.99,27,10877.96164588,309389.35553380635
1616889600,29.101,30.29,33.333,28.407,15708.77139277,481469.87175173895
1616976000,30.358,29.535,34.2,29.22,25784.04387278,790764.72567099372
1617062400,29.504,29.669,32,28.968,23561.91301144,705130.28714606102
1617148800,29.669,28.802,29.908,25.52,27252.36611065,771658.23009685915
1617235200,28.702,28.262,29.391,27.77,17540.45841942,500508.82347152279
1617321600,28.21,29.044,29.585,25.768,22924.61309512,658389.70491472866
1617408000,29.049,28.152,34,27.92,54584.0557771,1677232.44893290575
1617494400,28.052,29.22,30.88,27.666,24985.94192922,729884.85496049529
1617580800,29.174,31.333,33,28.487,39456.64570917,1224501.10746720458
1617667200,31.333,31.5,36.025,30.102,34077.94726857,1108597.87518957914
1617753600,31.501,29.579,32.66,28.637,39451.81341046,1196208.39240897849
1617840000,29.588,30.74,31.544,29.281,21751.83454032,669812.81678183208
1617926400,30.755,31.562,33,30.358,24314.75024818,763221.58676275971
1618012800,31.504,31.81,33.953,30.824,46812.22626785,1526722.46787797369
1618099200,31.864,31.606,32.314,31,28476.8253764,903339.31257741375
1618185600,31.606,33.841,35.777,31.279,66308.22224668,2199877.54868570431
1618272000,33.861,33.631,34.871,31.675,42345.03879548,1410393.14936199778
1618358400,33.657,38.423,39.392,32.935,100323.00462395,3662835.41304270117
1618444800,38.288,36.974,41.987,36.198,69427.73687949,2653781.12287655573
1618531200,37.16,35.467,40.42,33,67194.16479207,2393911.338093269
1618617600,35.635,34.057,36.91,33.561,44250.67512313,1562994.13484945329
1618704000,34.074,29.5,34.327,23,80262.51847428,2286123.28839729927
1618790400,29.484,26.303,31.873,25.476,48257.52681902,1341109.86719335093
1618876800,26.144,27.434,28.32,23.765,59221.56983613,1561097.60545358372
1618963200,27.44,25.798,28.462,25.786,32140.8300763,872930.41369155286
1619049600,25.892,23.979,27.769,22.94,43058.85292357,1109980.37879157231
1619136000,23.928,23.581,24.687,19.826,65553.75239494,1458631.59825672231
1619222400,23.581,21.771,23.909,21.392,32564.4014573,740699.07177570851
1619308800,21.909,21.607,23.72,20.45,23597.51298509,521871.76011413915
1619395200,21.607,26.493,27.281,21.433,41487.49710866,1039036.0395407783
1619481600,26.483,27.948,27.99,25.753,49345.89309238,1342620.27867569065
1619568000,27.949,28.244,29.063,25.858,34122.85195848,944840.65606378003
1619654400,28.241,27.928,29.728,26.632,38615.38865946,1074260.93604686021
1619740800,27.928,32.833,32.962,27.525,53779.31055617,1653786.68426961847
1619827200,32.833,31.74,35.937,31.732,58396.87971357,1965123.39543184796
1619913600,31.91,31.284,32.652,30.42,42487.86149426,1343638.30755139623
1620000000,31.182,35.808,37.32,31.18,87677.43306711,3003842.49465986145
1620086400,35.908,31.399,36.156,30.213,76818.3016396,2529185.35005959451
1620172800,31.343,36.3,37.498,30.657,69796.52895356,2336313.79591356374
1620259200,36.305,38.734,41.125,35.113,130582.10553471,4920047.42936275512
1620345600,38.746,37.91,44.547,36.585,138048.94248047,5585804.61106162701
1620432000,37.926,38.414,39.851,37.167,73305.55477235,2813803.14499407672
1620518400,38.393,38.935,39.367,35.12,47881.87487011,1785410.83911839048
1620604800,38.936,34.674,42.075,30.221,85519.12250501,3197584.43304647877
1620691200,34.7,36.841,39.768,32.559,59992.52425638,2101304.06851906237
1620777600,36.838,32.334,41.489,31.103,135767.42130385,5152303.43436704345
1620864000,32.437,35.091,37.15,30.9,105740.15253823,3611751.60960873079
1620950400,35.055,36.954,38.008,33.245,78483.54616833,2827688.34216376757
1621036800,37.054,34.457,39.908,34.074,141565.05331152,5236122.4640045346
1621123200,34.455,36.605,39.61,32.564,164460.99037827,5902709.54755917598
1621209600,36.56,33.72,37.833,31.8,234054.87188664,8110476.5754251809
1621296000,33.598,36.959,37.686,33.29,144127.77817783,5177006.75364819197
1621382400,37.011,23.028,38.51,18.072,248003.98120302,7024203.15020622641
1621468800,23.088,25.066,28.469,20.802,113846.1315611,2844164.48525620128
1621555200,25.12,21.814,26.715,18.44,149822.38417124,3348194.45392210423
1621641600,21.832,18.823,22.155,18.32,133926.85405284,2687249.14315239233
1621728000,18.75,15.58,19.653,12.153,202851.39795514,3090527.68012022438
1621814400,15.647,19.387,20.512,15.041,136815.65165829,2435662.33692953807
1621900800,19.293,19.455,20.235,17.068,144187.87952875,2711778.14194102354
1621987200,19.473,20.797,21.581,18.99,215573.17832302,4371773.90944316856
1622073600,20.804,19.1,21.215,18.748,193187.76590481,3819397.15255195821
1622160000,19.136,16.71,19.56,16.014,161280.74144319,2809735.77409220626
1622246400,16.775,16.13,17.591,15.191,116210.01355628,1900990.55094221641
1622332800,16.165,16.556,17.45,15.126,61721.39396798,1023540.50470598106
1622419200,16.496,18.163,18.187,15.7,73237.91644046,1262030.80502147061
1622505600,18.112,17.759,18.571,17.1,65979.29099024,1171316.26738550422
1622592000,17.764,18.67,19.434,17.135,66285.15824593,1223316.34743450986
