time,open,close,high,low,volume,turnover
1760810400,20.159,20.207,20.28,20.069,82832.8898,1671921.6955875
1760832000,20.204,20.165,20.285,19.988,76088.8628,1533604.0690655
1760853600,20.164,20.404,20.606,19.752,136296.3899,2742050.9257467
1760875200,20.415,20.683,20.839,20.309,94338.8242,1950211.6119515
1760896800,20.69,20.588,20.818,20.571,155540.2132,3220679.084614
1760918400,20.588,20.953,21.096,20.167,176053.4219,3616451.4503338
1760940000,20.952,20.781,21.21,20.616,161552.6009,3370787.6678577
1760961600,20.773,20.367,20.869,20.231,288308.2762,5909884.5034225
1760983200,20.364,20.342,20.627,20.303,172912.2614,3535095.138127
1761004800,20.344,19.496,20.37,19.468,137597.2398,2731461.3705117
1761026400,19.498,19.988,20.026,19.48,82180.3137,1624244.9928738
1761048000,19.985,20.444,20.847,19.816,158732.21155979,3237342.83039813237
1761069600,20.437,19.54,20.534,19.477,166559.5285,3328427.6260509
1761091200,19.536,19.45,19.659,19.293,162101.22767785,3161402.2162279141
1761112800,19.442,19.588,19.685,19.127,141372.5804,2751897.3115901
1761134400,19.584,19.29,19.729,19.25,214360.32449208,4177535.319157164
1761156000,19.286,19.011,19.394,18.416,259491.0694,4919304.6999194
1761177600,19.02,19.34,19.341,18.982,129773.9742,2489469.9704961
1761199200,19.342,19.414,19.625,19.31,116277.9516,2268483.4769204
1761220800,19.414,19.681,19.739,19.254,141365.6164,2743889.0830289
1761242400,19.685,19.129,19.691,18.983,105310.809,2023907.3078801
1761264000,19.129,19.617,19.656,19.018,156669.7363,3019769.104715
1761285600,19.609,19.495,19.664,19.37,97553.5459,1905840.6503291
1761307200,19.499,19.254,19.956,19.133,341143.273,6659376.5927297
1761328800,19.237,19.499,19.642,19.237,81279.8667,1589435.0544019
1761350400,19.495,19.355,19.514,19.316,78154.0961,1515838.9242633
1761372000,19.361,19.34,19.457,19.241,72622.6381,1404968.462772
1761393600,19.34,19.523,19.562,19.326,81930.4461,1597724.9328183
1761415200,19.519,19.714,19.825,19.506,77344.0302,1522532.8608022
1761436800,19.721,19.663,19.802,19.342,72597.0823,1418335.5570609
1761458400,19.665,20.379,20.412,19.602,149717.25501214,2990933.76099802428
1761480000,20.368,20.268,20.674,20.221,130125.4832,2653153.1447723
1761501600,20.273,20.826,20.95,20.11,162096.7637,3307347.7063592
1761523200,20.823,20.949,21.1,20.733,147704.4748,3085951.3477765
1761544800,20.948,20.555,21.041,20.413,85052.5112,1756584.6605248
1761566400,20.556,20.661,20.7,20.244,255636.7858,5270145.9654596
1761588000,20.658,20.329,20.785,20.177,128257.1822,2626075.4568296
1761609600,20.331,20.011,20.472,19.992,110921.7763,2251050.8397863
1761631200,20.007,20.191,20.524,20.006,88195.8971,1792485.072247
1761652800,20.207,20.099,20.481,19.76,177072.5896,3562145.0457189
1761674400,20.098,19.475,20.111,19.139,205578.408,4014882.9411592
1761696000,19.475,19.533,19.623,19.369,75375.1466,1468203.1662092
1761717600,19.532,19.733,19.764,19.437,37445.7374,732296.9364926
1761739200,19.73,20.052,20.052,19.327,93896.0634,1843779.7207053
1761760800,20.056,19.657,20.198,19.312,205525.0669,4086961.8884003
1761782400,19.655,19.654,19.969,19.061,135137.9891,2648901.5975726
1761804000,19.655,19.237,19.897,19.207,125835.1593,2459388.6618976
1761825600,19.242,18.127,19.251,17.857,219991.9265,4059475.4227499
1761847200,18.137,18.123,18.156,17.55,295921.97759485,5284503.15356115065
1761868800,18.114,18.341,18.478,18.086,115611.03678303,2111320.86607772898
1761890400,18.352,18.515,18.529,18.216,98561.23549667,1804149.41111945757
1761912000,18.503,17.876,18.585,17.785,117329.4831,2143978.9869001
1761933600,17.877,18.196,18.376,17.823,129644.4467,2352087.8127333
1761955200,18.194,18.339,18.462,18.089,87238.038,1595223.4949152
1761976800,18.341,18.667,18.711,18.298,110230.3501,2039245.9610185
1761998400,18.668,18.572,18.736,18.41,102433.0535,1905816.9354992
1762020000,18.571,18.723,18.733,18.505,161336.0572,3006393.9172689
1762041600,18.723,18.883,18.914,18.627,60412.3278,1133157.5295805
1762063200,18.883,18.833,19.005,18.594,64551.4419,1215040.0557443
1762084800,18.835,18.277,18.844,18.098,100313.3756,1847720.8715142
1762106400,18.277,18.81,18.908,18.101,107552.8716,1980865.5641498
1762128000,18.809,17.458,18.912,17.376,213490.6628,3832370.8228751
1762149600,17.457,17.478,17.64,17.168,187017.5935,3258065.1776757
1762171200,17.482,17.009,17.69,15.913,344393.4153,5777020.7721121
1762192800,17.01,16.654,17.049,16.42,281640.1719,4712539.1697663
1762214400,16.651,15.987,17.005,15.972,236517.1526,3952528.6027612
1762236000,15.995,16.717,16.802,15.973,257057.7696,4219242.5256213
1762257600,16.718,15.89,16.853,15.547,262635.6136,4294818.9841036
1762279200,15.887,15.987,16.192,14.997,366546.0404,5732488.4776723
1762300800,15.983,16.526,16.605,15.284,193993.18,3122019.802621
1762322400,16.525,16.562,16.629,16.228,121521.4489,1995053.8647224
1762344000,16.555,16.931,16.983,16.478,178272.0029,2977896.3717128
1762365600,16.92,16.611,16.995,16.562,126450.4901,2113926.4804754
1762387200,16.611,16.344,16.73,16.319,95700.2002,1582817.5153558
1762408800,16.347,16.294,16.435,16.207,113336.4974,1848925.7769019
1762430400,16.289,15.963,16.416,15.604,160562.5874,2566983.0737391
1762452000,15.953,16.129,16.218,15.788,158028.1737,2536191.1201426
1762473600,16.129,16.669,16.683,16.057,114541.3476,1870266.4047625
1762495200,16.668,16.459,17.028,16.28,149967.4016,2498814.0042418
1762516800,16.464,17.736,17.772,16.091,219182.7884,3687622.5328151
1762538400,17.743,17.742,18.048,17.649,219092.13149586,3911404.85115791554
1762560000,17.742,17.764,18.406,17.678,229496.8387,4120973.9823785
1762581600,17.771,17.785,17.999,17.565,220133.41380485,3917309.96007123785
1762603200,17.786,17.254,17.786,17.02,216944.80410291,3761415.23535309592
1762624800,17.251,17.5,17.5,17.116,179421.74477776,3111399.75815273664
1762646400,17.5,17.025,17.525,16.808,101491.8179,1737729.1366147
1762668000,17.021,17.28,17.363,16.896,107386.4209,1838758.9625466
1762689600,17.283,17.568,17.883,17.246,142638.9505,2514049.1248396
1762711200,17.576,17.776,17.914,17.46,160534.6434,2845083.924334
1762732800,17.768,17.993,18.132,17.648,207114.2877,3719832.1577687
1762754400,18.003,18.095,18.304,17.793,136999.0822,2473148.3214992
1762776000,18.112,18.065,18.34,17.709,191548.6716,3452467.2690588
1762797600,18.071,18.181,18.361,17.818,209920.6176,3791287.9785435
1762819200,18.197,17.807,18.605,17.797,144555.3732,2631968.8147023
1762840800,17.806,17.8,17.88,17.498,124360.3888,2204706.1286626
1762862400,17.801,17.531,17.889,17.451,121151.41889022,2142717.5931074918
1762884000,17.536,17.01,17.587,16.972,191366.72939708,3290005.61487681392
1762905600,17.011,17.268,17.31,16.91,304417.7337,5203308.0333562
1762927200,17.269,17.565,17.653,17.124,162199.8597,2826729.6683736
