time,open,close,high,low,volume,turnover
1774828800,0.03,0.11871,0.15162,0.03,12706262.25,1499216.7676989
1774915200,0.11932,0.08975,0.12708,0.0823,19091552.79,2084039.5831642
1775001600,0.08989,0.08496,0.09387,0.08108,29990290.83,2607250.5641721
1775088000,0.08454,0.08851,0.09069,0.07896,32627497.62,2785608.4480985
1775174400,0.08877,0.07291,0.08921,0.07067,105108013.86,8534874.2690997
1775260800,0.07286,0.0693,0.07469,0.0659,138840898.37,9633083.6742802
1775347200,0.06972,0.06878,0.07299,0.06086,148226128.53,9923900.3668568
1775433600,0.06918,0.05521,0.06932,0.0543,157033485.63,9699347.5792391
1775520000,0.05545,0.06203,0.06582,0.05328,153484105.96,8843546.0182464
1775606400,0.06187,0.06182,0.06438,0.05798,156630491.43,9632898.1166301
1775692800,0.06201,0.05345,0.06256,0.05317,163272235.73,9402112.9323893
1775779200,0.05363,0.05374,0.05608,0.05164,76577877.41,4091311.0918311
1775865600,0.05374,0.05469,0.05569,0.04983,176762105.98,9352573.8658312
1775952000,0.05459,0.05948,0.0619,0.05306,160224531.77,9248514.7490674
1776038400,0.05962,0.06625,0.07402,0.05958,75024897.76,4847336.5397592
