time,open,close,high,low,volume,turnover
1774864800,0.03,0.12421,0.15162,0.03,2187136.65,244221.7857478
1774868400,0.12501,0.11814,0.127,0.10969,898211.88,107174.036183
1774872000,0.11798,0.12595,0.12776,0.11558,977532.1,118153.1314438
1774875600,0.1264,0.1184,0.12792,0.1159,743496.22,89951.1818506
1774879200,0.11831,0.11823,0.12399,0.11613,901800.34,107364.1886009
1774882800,0.11826,0.11455,0.11934,0.11269,919031.43,106869.7662715
1774886400,0.11398,0.11639,0.14322,0.1098,1003270.64,117047.5722264
1774890000,0.11581,0.11751,0.11992,0.11471,846752.07,99279.6189816
1774893600,0.11824,0.11952,0.12858,0.11764,795561.38,96949.8739138
1774897200,0.12078,0.11938,0.12288,0.11652,540200.3,64907.7409604
1774900800,0.12023,0.11965,0.122,0.11859,706196,85397.817513
1774904400,0.12019,0.12075,0.12555,0.11723,693370.59,83318.9067486
1774908000,0.12134,0.11885,0.12254,0.11853,724318.33,87039.2581672
1774911600,0.11916,0.11871,0.12045,0.11623,769384.32,91541.8890903
1774915200,0.11932,0.12556,0.12578,0.11891,651779.44,79684.6038123
1774918800,0.12557,0.12555,0.12708,0.12205,569196.72,71157.2362634
1774922400,0.12508,0.12042,0.12576,0.11954,652633.45,80879.8061739
1774926000,0.12069,0.11953,0.1221,0.11815,505632.41,60729.4130608
1774929600,0.11963,0.12043,0.12183,0.11955,683118.06,82452.5995879
1774933200,0.12073,0.11879,0.12147,0.11864,750552.97,90337.0321088
1774936800,0.11908,0.11763,0.11956,0.11575,568062.48,66736.9949959
1774940400,0.11843,0.11774,0.11875,0.11594,872989.69,102338.9573847
1774944000,0.11812,0.11423,0.11893,0.1125,892306.54,103589.5441493
1774947600,0.1147,0.10681,0.11542,0.10491,798493.68,87955.0096102
1774951200,0.10696,0.10836,0.10986,0.10595,778974.16,84241.1568388
1774954800,0.10889,0.10384,0.11025,0.10237,838615.51,89982.2293249
1774958400,0.10311,0.10471,0.10572,0.10212,1023426.2,106502.5262653
