time,open,close,high,low,volume,turnover
1775839500,0.05295,0.0528,0.05309,0.05269,748088.99,39549.170868
1775839800,0.05295,0.05254,0.05295,0.05245,779386.79,41056.267292
1775840100,0.05274,0.05284,0.05284,0.05255,800825.91,42213.0708731
1775840400,0.05268,0.0527,0.05284,0.05268,545175.23,28765.6547691
1775840700,0.05281,0.05266,0.05281,0.05242,667936.6,35136.417591
1775841000,0.0525,0.05302,0.05319,0.0525,554903.54,29280.5899447
1775841300,0.05319,0.05323,0.05325,0.05302,607488.17,32290.8773462
1775841600,0.05325,0.05278,0.05325,0.05277,700798.77,37238.201752
1775841900,0.05297,0.05264,0.05299,0.05259,668054.5,35267.906005
1775842200,0.05279,0.0526,0.05279,0.05256,530737.58,27966.3599608
1775842500,0.05279,0.05287,0.05298,0.0526,548656.24,28986.1943352
1775842800,0.05287,0.05288,0.05311,0.05277,753055.25,39893.9393343
1775843100,0.05287,0.05323,0.05324,0.05287,629506.37,33408.298591
1775843400,0.05304,0.05313,0.05325,0.05293,720358.56,38221.5603709
1775843700,0.05283,0.05301,0.05308,0.05281,609078.89,32256.0418084
1775844000,0.05286,0.05324,0.05325,0.05286,929343.3,49341.2621557
1775844300,0.05306,0.05363,0.05367,0.05306,834912.45,44558.1783916
1775844600,0.05344,0.05378,0.05386,0.05344,582601.19,31273.7580887
1775844900,0.0536,0.05403,0.05412,0.0536,865008.8,46664.2344707
1775845200,0.05383,0.05405,0.05416,0.05383,837049.69,45188.4146368
1775845500,0.05389,0.0542,0.0544,0.05383,857095.57,46332.8792451
1775845800,0.05403,0.054,0.05435,0.054,912033.19,49444.3617878
1775846100,0.05422,0.05412,0.05422,0.05395,844707.61,45683.3543002
1775846400,0.05395,0.05392,0.05413,0.05373,932176.13,50293.295499
1775846700,0.05374,0.05383,0.05399,0.05374,727923.21,39210.162041
1775847000,0.05406,0.05406,0.05409,0.05385,849395.69,45853.6329139
1775847300,0.05387,0.05422,0.05422,0.05378,985985.55,53261.9081464
