time,open,close,high,low,volume,turnover
1744848000,321.81,333.06,338.85,321,1229.5689,405974.579594
1744891200,333.14,333.58,340.73,326.77,1314.5393,439863.44092
1744934400,333.8,333.1,334.09,327.39,557.4921,184099.975511
1744977600,333.19,335.05,344.93,331.47,1747.2186,593697.638066
1745020800,334.98,337.46,340.04,334.42,436.6608,147513.482152
1745064000,337.69,335.24,339.01,332.67,425.6148,142711.23957
1745107200,335.25,333.39,342.57,331.77,827.1006,279270.53706
1745150400,333.16,335.94,337.88,331.59,356.1162,119230.580418
1745193600,336.23,339.96,343.99,335.53,1200.0853,408143.091727
1745236800,339.67,344.96,348.1,335.96,1711.6048,586162.209108
1745280000,344.92,347.05,350.64,336.87,2483.2395,854587.275379
1745323200,346.97,362.53,364.91,346.15,1666.8811,592961.586863
1745366400,362.35,358.26,363.34,353.93,1872.9031,672903.249112
1745409600,358.22,358.71,363.76,353.28,1067.1286,382381.647278
1745452800,358.73,347.98,368.46,346.61,1986.1262,715546.884639
1745496000,348.13,356.62,360.63,343.39,1943.5199,682722.032798
1745539200,356.81,378.89,383.2,348.3,2756.70069889,1006117.8363979449
1745582400,379.11,373.07,384.66,364.64,2925.9579,1095684.029985
1745625600,373.12,358.87,377.42,357.91,1447.7889,531587.959216
1745668800,358.86,355.4,361.77,354.95,502.2303,179886.428325
1745712000,355.45,352.36,359.89,349.99,528.4388,187238.259717
1745755200,352.11,345.77,353.19,344.91,552.3794,192872.118943
1745798400,345.77,354.87,356.19,341.6,1104.92279152,387105.8327334304
1745841600,355.11,364.12,374.05,344.5,2138.6543,765555.080564
1745884800,364.65,373.58,379.21,361,3048.85956932,1133017.4553270152
1745928000,373.7,363.6,377.3,361.65,1189.4761,440666.627693
1745971200,363.77,368.4,369.57,359.22,1631.816,594053.627841
1746014400,368.21,366.06,368.48,355,595.6775,216074.440985
1746057600,366.36,370.84,374.5,363.88,957.9381,353364.742358
1746100800,370.92,360.83,373.24,359.92,1558.8291,571808.716774
1746144000,360.72,368.79,374.85,358.96,2014.1245,740974.270436
1746187200,368.84,382.55,386.14,368.32,1445.2647,548070.739298
1746230400,382.68,366.18,383.29,364.63,1859.1748,690315.184859
1746273600,365.97,362.61,370.47,362.22,758.2663,277595.923726
1746316800,362.54,357.59,371.45,356.6,1810.2115,657181.240329
1746360000,357.51,356.02,359.31,352.75,663.9417,236357.600031
1746403200,356.13,353.71,360.99,350.28,735.8199,261725.403336
1746446400,352.9,353.15,356.7,349.09,764.1592,269691.009989
1746489600,353.17,354.01,361.73,350.24,1798.2563,641212.192191
1746532800,353.52,374.62,374.62,350.75,1425.3024,512519.70872
1746576000,374.43,367.67,383.4,366.39,1917.5733,718414.043224
1746619200,367.64,383.72,392.44,354.91,2928.5377,1086222.028047
1746662400,383.84,413.04,433.14,381.02,9163.8767,3752246.601691
1746705600,413.57,421.78,425.9,409.6,2540.1789,1062870.115732
1746748800,421.72,415.54,429.39,404.77,3141.9638,1308249.410944
1746792000,415.9,413.57,417,402.96,1716.22689653,703217.323189934
1746835200,413.61,414.29,424.63,409.96,1274.4782,533364.728905
1746878400,414.66,430.96,433.15,414.66,1063.5413,449932.298445
1746921600,430.99,414.2,432.07,406.67,1468.0770653,616288.967932463
1746964800,413.93,408.03,414.61,401.98,791.538,323708.578331
1747008000,408.03,411.45,419.5,403.01,1020.0731,420713.876026
