time,open,close,high,low,volume,turnover
1775134800,442.06,442.16,443.27,441.22,77.804,34391.712853
1775136600,442.46,444.29,444.34,441.18,66.9967,29678.160453
1775138400,444.48,445.39,445.9,444.03,39.6444,17638.456139
1775140200,445.4,446.25,448.94,445.32,85.568,38226.471832
1775142000,446.2,444.45,446.2,444.07,61.2759,27264.755348
1775143800,444.53,442.69,444.85,442.41,29.1265,12909.039814
1775145600,443.07,442.64,443.66,442.43,12.2247,5413.573913
1775147400,442.59,444.43,445.26,442.49,58.937,26194.0948
1775149200,444.43,444.39,445.64,443.71,76.8125,34142.334202
1775151000,444.38,441.12,444.52,439.81,157.5753,69752.031347
1775152800,441.02,441.89,442.35,440.77,112.7473,49790.831344
1775154600,441.8,441.86,442.61,441.52,16.3951,7248.235671
1775156400,441.62,441.31,441.78,439.74,21.9794,9686.657783
1775158200,441.01,442.41,442.57,441.01,4.9228,2176.536257
1775160000,442.55,442.05,443.04,441.58,6.1771,2733.343655
1775161800,441.77,442.57,442.57,441.77,3.1836,1408.247356
1775163600,442.6,443.11,443.59,442.44,120.8946,53559.751046
1775165400,443.04,443.63,443.74,442.78,164.2216,72789.083922
1775167200,443.54,443.46,444.58,443.46,89.7902,39886.81833
1775169000,443.57,444.55,444.78,443.57,59.0971,26252.717201
1775170800,444.25,444.74,445.52,444.21,68.8303,30631.03196
1775172600,445.04,444.3,445.52,443.87,30.5237,13574.431408
1775174400,444.52,445.05,445.52,444.13,82.2488,36578.343011
1775176200,445,444.4,445.13,443.93,29.1512,12960.207059
1775178000,444.19,444.65,444.9,444.19,24.1029,10717.013648
1775179800,444.73,444.49,444.99,443.51,72.4753,32186.836016
1775181600,444.42,443.48,444.93,443.39,28.3941,12610.639241
1775183400,443.22,444.56,444.62,442.7,81.4417,36100.146214
1775185200,444.35,444.17,445.03,444.17,42.99,19115.856649
1775187000,444.22,444.95,445.05,444.12,38.165,16968.677203
1775188800,445.01,444.26,445.21,444.04,35.6217,15827.767919
1775190600,444.34,444.84,445.37,444.34,21.2083,9437.921785
1775192400,445.23,445.62,445.71,444.79,27.0535,12047.695328
1775194200,445.9,444.08,446.55,444.03,17.5042,7793.415725
1775196000,444.63,444.2,445.01,443.95,47.5903,21158.587884
1775197800,444.08,444.41,444.68,443.59,15.4941,6879.51856
1775199600,444.36,444.93,444.99,444.3,7.4894,3329.024086
1775201400,444.74,444.6,445.56,444.55,5.3524,2381.620481
1775203200,444.94,445.05,445.57,444.72,4.658,2073.828905
1775205000,445.15,443.81,445.15,442.95,31.0989,13832.404443
1775206800,443.68,441.88,443.72,441.81,6.5293,2891.135118
1775208600,441.8,441.76,442.54,441.58,6.2591,2765.701249
1775210400,441.87,442.28,442.28,441.05,8.8549,3910.821803
1775212200,442.13,443.1,443.19,441.79,4.5564,2017.934097
1775214000,443.01,444.06,444.06,442.65,0.2314,102.469057
1775215800,443.84,443.49,443.93,443.39,3.9778,1764.393332
1775217600,443.53,444.05,444.29,442.99,12.2713,5440.995421
1775219400,444.1,442.55,445.96,442.35,45.6045,20246.739874
1775221200,442.4,442.08,442.41,441.21,19.8921,8790.676512
1775223000,441.84,442.12,442.12,441.34,10.4853,4631.588543
1775224800,441.83,442.88,443.08,441.67,3.304,1461.648226
1775226600,442.55,442.27,442.55,442.01,6.7145,2969.938231
1775228400,441.82,441.4,442.21,441.03,8.0291,3546.591203
1775230200,441.44,440.62,441.53,440.32,39.7636,17539.261493
1775232000,440.9,441.48,441.48,439.68,6.9276,3050.009899
1775233800,441.49,441.95,442.86,441.49,34.4164,15214.984485
1775235600,441.96,441.28,441.96,440.59,4.8548,2142.943889
1775237400,441.25,442.47,442.47,441.25,3.7475,1655.724041
1775239200,442.48,442.67,442.91,442.17,3.1395,1389.169877
1775241000,442.7,441.92,442.93,441.92,3.8218,1690.08173
1775242800,441.81,441.56,441.81,440.8,3.3503,1478.408117
1775244600,441.58,441.8,441.82,441.29,12.8337,5667.506604
1775246400,441.77,442.68,442.7,441.63,6.669,2948.093577
1775248200,442.7,443.63,443.96,442.7,11.4178,5061.126814
1775250000,443.6,443.94,444.31,443.48,2.7389,1215.714272
1775251800,444.12,443.45,444.42,443.45,17.3944,7722.088546
1775253600,443.58,443.81,443.89,442.53,2.6461,1172.722936
1775255400,443.44,443.54,443.56,443.17,4.9792,2206.946886
1775257200,443.67,443.07,443.67,442.4,4.8861,2162.797132
1775259000,443.21,442.83,443.41,442.83,2.0725,918.480759
1775260800,442.97,443.1,443.98,442.65,4.933,2186.778218
1775262600,443.15,442.88,443.15,442.88,1.4115,625.261952
1775264400,442.66,442.91,442.93,441.95,1.8391,813.756729
1775266200,442.81,442.33,442.81,442.22,25.3791,11228.894879
1775268000,442.45,442.4,442.6,441.98,67.6558,29922.029357
1775269800,442.55,443.34,443.38,442.24,33.2088,14702.572868
1775271600,443.22,443.24,443.93,443.09,10.2135,4529.351713
1775273400,443.29,443.45,443.84,442.95,26.2563,11640.403292
1775275200,443.62,443.62,443.81,443.41,19.0127,8434.323723
1775277000,443.66,443.23,444.03,443.23,3.7262,1652.514893
1775278800,443.09,443.4,443.99,443.06,5.4669,2425.033886
1775280600,443.69,443.89,443.97,443.47,41.2216,18289.613777
1775282400,444,443.87,444.34,443.53,253.507,112533.312464
1775284200,444.08,443.86,444.27,443.23,350.635,155588.062076
1775286000,443.92,442.64,443.92,442.55,178.2288,78966.790324
1775287800,442.72,442.76,443.15,442.45,218.8897,96916.477245
1775289600,442.72,443.4,444,442.48,92.394,40943.809602
1775291400,443.3,442.86,443.56,442.69,182.3095,80796.513059
1775293200,442.87,442.8,443.2,442.53,118.4304,52445.245192
1775295000,442.79,442.39,443,442.19,146.1892,64725.640432
1775296800,442.48,441.96,442.48,441.9,8.9873,3972.593146
1775298600,442,442.93,442.96,441.96,133.3569,59015.485931
1775300400,442.93,442.25,442.99,442.19,182.9886,80995.851281
1775302200,442.31,442.68,442.78,442.02,155.1625,68657.102634
1775304000,442.48,442.57,442.74,442.27,14.783,6542.687055
1775305800,442.57,442.64,442.64,442.17,4.9211,2177.602411
1775307600,442.69,443.12,443.46,442.38,21.6761,9603.778457
1775309400,443.12,443.47,445.12,443.1,103.5255,45959.461329
1775311200,443.38,443.64,444.23,442.87,79.4957,35266.188262
1775313000,443.15,442.79,443.17,442.46,5.3823,2383.774867
1775314800,442.47,442.73,443.48,442.42,40.009,17726.993908
1775316600,442.55,442.73,442.84,442.33,182.886,80945.017823
1775318400,442.61,442.49,442.78,442.17,82.3376,36430.759929
1775320200,442.43,442.21,443.26,442.13,117.0353,51814.368224
1775322000,442.14,442.46,443.2,442,213.0579,94277.848527
1775323800,442.41,441.93,442.65,441.93,193.6125,85605.637149
1775325600,441.92,441.63,441.92,441,206.3413,91092.26025
1775327400,441.7,441.38,442.01,440.95,337.8821,149132.077798
1775329200,441.66,441.24,442.63,441.18,169.5834,74912.792605
1775331000,441.22,440.94,441.55,440.93,42.5636,18781.656463
1775332800,441.21,441.61,441.61,440.83,10.5166,4638.420098
1775334600,441.75,441.83,442.36,441.53,134.9476,59624.094544
1775336400,441.73,442.36,442.91,441.41,202.2655,89350.565064
1775338200,442.52,442.1,442.71,442.1,72.7925,32200.26879
1775340000,442.22,442.37,442.55,441.71,14.416,6372.888925
1775341800,441.95,441.88,442.16,441.88,1.9614,866.822368
1775343600,441.88,441.51,441.88,440.95,11.0076,4856.328989
1775345400,441.18,441.47,441.64,441.15,3.8396,1694.383164
1775347200,441.18,441.37,442.22,440.07,66.8347,29472.296345
1775349000,441.35,441.36,441.68,441.15,29.1422,12859.684849
1775350800,441.39,441.27,441.39,440.49,40.9151,18044.309456
1775352600,440.88,440.29,441.2,440.29,46.0059,20274.381851
1775354400,440.34,440.8,440.8,440.01,20.7757,9148.107934
1775356200,441.22,440.76,441.22,440.76,2.143,945.378893
1775358000,440.82,440.08,440.87,440.08,0.083,36.536029
1775359800,440.31,440.24,440.52,440.09,42.3622,18651.099982
1775361600,440.25,440.58,440.59,440.02,9.2521,4073.570448
1775363400,440.46,436.16,440.46,434.49,250.9201,109781.29748
1775365200,435.83,436.9,437.41,434.63,161.7814,70469.935163
1775367000,437.14,436.58,438.03,436.4,40.1718,17563.836766
1775368800,436.78,435.92,436.95,434.59,77.6782,33858.008878
1775370600,435.98,436.03,436.45,435.87,9.6449,4206.502625
1775372400,436.29,435.89,436.36,435.76,27.1963,11858.909157
1775374200,435.48,435.4,435.48,434.89,11.7705,5122.3607
1775376000,435.74,435.49,435.74,435.19,21.4566,9344.238485
1775377800,435.56,435.09,435.56,435.03,4.7571,2070.081115
1775379600,435.18,435.91,435.91,434.82,12.7343,5543.924938
1775381400,435.88,435.82,435.88,435.65,2.1817,950.631709
1775383200,435.8,435.9,435.93,435.1,5.07,2207.861487
1775385000,435.68,435.22,436.46,435.05,61.5876,26807.785209
1775386800,435.05,434.02,435.17,433.82,20.4196,8878.490253
1775388600,433.96,432.88,434.22,432.75,16.2457,7039.906034
1775390400,432.98,429.55,433.18,429.34,47.1493,20335.561407
1775392200,429.51,427.65,429.55,426.47,58.1298,24875.188079
1775394000,427.43,426.64,427.74,425.85,71.6386,30555.365901
1775395800,426.54,426.79,427.29,426.17,51.62,22032.633155
1775397600,426.8,424.6,427.02,424.59,74.31058511,31644.6819361392
1775399400,424.71,424.47,425.41,424.36,27.3752,11631.494564
1775401200,424.37,423.75,424.62,420.72,83.1244,35139.073856
1775403000,423.92,421.33,423.92,420.98,153.2697,64659.221462
1775404800,421.49,423.94,424.26,421.25,84.0822,35494.946051
1775406600,424.12,425.91,426.39,424.12,30.9356,13153.11786
1775408400,426.4,427.73,428.14,426.4,37.296,15931.034251
1775410200,427.62,426.15,427.64,425.27,10.8036,4608.657791
1775412000,426.21,426.1,426.82,425.46,1.9565,833.710583
1775413800,426.46,427.52,427.98,426.46,59.2395,25317.68575
1775415600,427.27,426.27,427.27,425.79,16.6777,7111.609007
1775417400,426.08,425.21,426.22,424.55,24.4571,10401.384244
1775419200,425.67,424.64,425.67,424.09,12.2653,5208.936314
1775421000,425.01,425.63,426.07,424.74,26.6735,11351.475451
1775422800,425.25,424.03,425.88,423.83,46.437,19733.775221
1775424600,424.41,422.42,424.6,422.4,29.5157,12481.27522
1775426400,422.54,422.21,424.37,421.94,49.3353,20848.657762
1775428200,422.16,425.74,425.89,422.06,56.7465,24023.903868
1775430000,425.92,425.49,427.67,424.73,64.5698,27510.737581
1775431800,426.33,428.64,429.28,426.33,131.5234,56256.205672
1775433600,429.35,431.37,431.91,429.18,138.6655,59736.644166
1775435400,431.45,431.55,432.71,431.14,68.3561,29515.836585
1775437200,431.62,431.26,432.02,430.92,73.4171,31674.152901
1775439000,431.48,431.85,432.78,430.94,101.1335,43668.544334
1775440800,431.86,434.17,435.19,431.86,58.5176,25400.945305
1775442600,434.53,433.99,434.61,433.13,49.6512,21529.255516
1775444400,433.88,433.67,434.75,433.12,44.7307,19410.381971
1775446200,433.37,433.03,433.63,432.27,35.5657,15397.186036
1775448000,433.21,432.46,434.07,432.41,21.3762,9253.314343
