time,open,close,high,low,volume,turnover
1775134800,575.585,574.215,576.269,572.276,177.4766,101863.4398639
1775136600,574.157,573.435,574.749,570.544,236.3902,135164.8038666
1775138400,573.283,572.653,575.128,571.723,203.1448,116502.9908871
1775140200,572.593,576.084,579.39,572.593,268.1345,154553.8170248
1775142000,576.119,573.137,576.777,572.095,90.477,51992.7887562
1775143800,573.264,573.95,574.124,571.653,55.1521,31599.8027369
1775145600,574.12,577.619,577.929,573.833,81.5095,46931.9664778
1775147400,577.618,579.856,581.125,577.524,161.3762,93599.0433584
1775149200,579.772,582.329,582.799,578.316,90.9619,52822.0721093
1775151000,582.42,578.403,582.605,578.403,79.2146,45973.6673617
1775152800,578.505,579.631,580.861,578.364,33.5783,19466.8017914
1775154600,579.78,581.991,582.61,579.78,31.1813,18122.6230488
1775156400,582.007,581.789,582.457,581.25,147.4745,85806.7069934
1775158200,581.847,583.598,583.817,580.425,38.3863,22348.3449217
1775160000,583.597,583.8,584.888,582.843,61.3085,35782.5568719
1775161800,584.03,583.594,584.671,583.396,119.3191,69699.064576
1775163600,583.691,583.531,584.189,582.045,47.2816,27584.7867287
1775165400,583.693,584.363,584.426,582.877,42.3531,24726.5241139
1775167200,584.39,581.794,584.735,581.429,45.5341,26568.025005
1775169000,581.794,583.514,583.726,581.794,58.616,34168.6657202
1775170800,583.425,583.247,584.196,582.811,46.2317,26971.8317731
1775172600,583.259,583.45,583.803,582.526,27.0814,15794.5728698
1775174400,583.726,584.277,585.704,582.809,71.1442,41539.7422405
1775176200,584.318,584.079,585.151,583.533,62.7732,36681.6898859
1775178000,584.045,586.312,586.429,584.017,81.8459,47888.0580946
1775179800,586.414,584.323,587.14,583.539,106.3405,62183.6857207
1775181600,584.326,583.92,586.039,582.632,77.5714,45328.1336106
1775183400,583.583,584.836,584.952,581.881,89.3218,52093.3302394
1775185200,584.774,585.507,586.179,584.4,68.6982,40214.6737975
1775187000,585.5,585.816,586.436,585.245,52.6165,30821.3489102
1775188800,585.734,585.846,586.506,585.318,37.5083,21979.8506556
1775190600,585.619,586.763,587.089,585.091,76.2381,44684.0851506
