time,open,close,high,low,volume,turnover
1760810400,1097.055,1092.786,1105.664,1084.987,2263.0963,2476548.0323449
1760832000,1092.294,1090.698,1097.517,1077.352,1294.5009,1407490.393201
1760853600,1090.705,1100.387,1109.767,1068.234,4359.91859872,4741287.91585798364
1760875200,1100.43,1121.922,1133.64,1092.501,4731.8414,5277768.8109419
1760896800,1122.127,1110.03,1126.998,1107.496,2215.6759191,2478573.506115613
1760918400,1109.708,1132.719,1134.301,1088.178,2414.8972,2684614.677907
1760940000,1132.767,1115.567,1143.109,1110.596,3383.7037,3810806.918566
1760961600,1115.508,1094.617,1117.425,1088.51,4970.0127,5488724.9244136
1760983200,1094.976,1100.311,1104.533,1092.415,3063.38663497,3366027.49351491565
1761004800,1100.312,1069.248,1102.448,1062,2501.3967,2709813.7683991
1761026400,1069.249,1076.452,1079.694,1065.446,2416.3588,2589332.6806016
1761048000,1076.615,1091.343,1114.618,1068.479,4968.0177836,5428969.7264284904
1761069600,1091.299,1057.252,1095.84,1052.182,3089.06925998,3333263.87300958416
1761091200,1057.059,1068.425,1074.86,1053.66,1359.903,1448967.3594649
1761112800,1068.251,1069.318,1074.319,1058.447,2306.8207,2460387.4489132
1761134400,1069.544,1067.44,1083.82,1065.35,2912.3422,3130608.2927558
1761156000,1067.388,1071.822,1073.935,1053.231,2487.07562631,2647110.87667121246
1761177600,1072.134,1096.811,1097.196,1072.072,1836.093,1990745.1319134
1761199200,1097,1094.922,1123.06,1093.697,2877.6014,3180335.5153162
1761220800,1094.878,1132.182,1173.412,1077.485,8745.922,9850943.0590827
1761242400,1132.74,1126.885,1132.74,1107.445,2918.9601815,3263871.6117303025
1761264000,1126.54,1140.314,1144.299,1126.399,1652.4229,1876641.0206323
1761285600,1140.577,1125.713,1140.577,1120.52,2185.6148,2469558.3972275
1761307200,1125.721,1103.36,1137.787,1097.617,3071.28594139,3417485.22383278673
1761328800,1103.319,1108.842,1114.209,1102.773,2100.2537,2330640.8206175
1761350400,1108.656,1117.502,1118.995,1101.09,2040.83869429,2270504.93867095889
1761372000,1117.899,1115.601,1118.792,1110.111,2423.7045,2702395.7235309
1761393600,1115.602,1111.624,1117.971,1105.64,1920.2289,2137015.2748431
1761415200,1111.622,1116.679,1121.093,1109.91,2441.6101,2723055.335432
1761436800,1116.679,1120.204,1124.7,1114.69,2144.4629,2399645.2589157
1761458400,1120.211,1135.342,1135.96,1118.939,1955.1511,2199922.275866
1761480000,1135.207,1127.147,1139.094,1123.397,2450.944,2774867.9869259
1761501600,1127.273,1138.268,1143.016,1123.167,2062.0178,2333732.6781428
1761523200,1138.356,1150.192,1163.787,1137.292,2618.9933,3007033.3138998
1761544800,1150.193,1179.517,1179.517,1146.027,2714.4324,3137517.8219465
1761566400,1179.58,1151.209,1182,1131.304,3766.2965,4339747.8917539
1761588000,1150.701,1138.583,1153.984,1132.854,2178.4397,2489793.5740906
1761609600,1138.584,1122.025,1147.493,1120.819,2759.457,3137072.8231469
1761631200,1122.144,1132.523,1138.863,1122.144,2010.6474,2279204.0500033
1761652800,1132.13,1147.33,1148.999,1127.123,2471.1675,2815590.5770285
1761674400,1147.244,1103.458,1147.244,1073.351,4046.3922,4484874.5525291
1761696000,1103.424,1110.372,1113.361,1099.1,3329.20808858,3681136.9935895167
1761717600,1110.205,1113.683,1121.051,1107.883,3526.7961,3933824.321025
1761739200,1113.672,1110.16,1118.713,1093.74,3206.6859949,3546870.4691541996
