time,open,close,high,low,volume,turnover
1744848000,84029,84567.1,85044.5,83823.2,614.4104032,51827648.509510326
1744891200,84567.1,84952.6,85470.1,83729.4,944.39842619,80012441.019415299
1744934400,84952.6,84667.1,85139.6,84410.4,272.94219859,23120330.237205003
1744977600,84667.1,84465.5,84765.5,84311,298.69783325,25247771.753623204
1745020800,84465.2,85215.9,85438.3,84359.7,346.88187863,29496396.943447847
1745064000,85216,85079.3,85670.6,84700,413.41473854,35224081.357496585
1745107200,85079.3,84125.8,85320,83950.5,301.30920446,25517539.621427094
1745150400,84125.8,85188.9,85299.9,84108.2,395.03294397,33459248.053234352
1745193600,85189,86975.9,87792.2,85140.6,1043.82140916,90896943.861647046
1745236800,86975.8,87518.5,88469,86395.1,1260.8144481,110245731.913251074
1745280000,87518.6,88617.9,88869.3,87071.6,866.83404071,76463558.196233465
1745323200,88618,93443.6,93982.2,88481,1939.14049109,176872824.209388136
1745366400,93443.5,93459.5,94513.1,92594,1058.71820247,99034615.902532493
1745409600,93459.6,93690.3,94713.4,91946.9,1597.57131967,149268279.902395341
1745452800,93690.3,92614.5,93785.3,91675.8,701.12480069,64923371.251949719
1745496000,92614.6,93976.8,93999,92428.9,836.94372752,77984476.734734732
1745539200,93976.9,94629.1,94653.5,92851.2,711.92731683,66661018.019950396
1745582400,94631.5,94638.2,95790,93930.6,1159.98298122,110116245.466663048
1745625600,94638.2,94147.1,95190.6,94000,388.19605498,36710232.982844769
1745668800,94147,94623.8,94887.9,93877.3,377.28804288,35580437.676839704
1745712000,94624.1,93913.8,95316.5,93655.2,539.30457947,50865272.932409396
1745755200,93912.8,93744,94553.2,93608.7,475.02881625,44653012.89439018
1745798400,93743.9,95316,95527.9,92800.1,1539.51455546,145112647.158565441
1745841600,95316.1,95013.2,95592.4,93449.1,1249.9515294,118029776.599059621
1745884800,95013.3,95135.5,95456.7,94215.3,739.94901808,70175605.523804944
1745928000,95134.4,94256.3,95451.2,93736.7,1031.54103424,97820765.776093036
1745971200,94256.2,95171,95220,94137.1,470.87491904,44626643.815757688
1746014400,95171,94181.8,95215,92911.9,1057.00889128,99432002.067648171
1746057600,94177.4,96176.1,96385.7,94136.9,666.55826444,63504177.945668418
1746100800,96176.1,96485.4,97434.3,95800,1021.29081813,98673493.243285355
1746144000,96485.5,96934.2,97288.3,96348.2,474.4722554,45928683.220117884
1746187200,96927.8,96888.1,97889,96566.8,702.51476232,68270911.383779663
1746230400,96888.2,95939.3,96926.9,95853.3,333.60080186,32133894.721688218
1746273600,95939.3,95854.5,96500,95752,306.73177386,29500320.127156508
1746316800,95854.4,95413.5,96306.4,95300,370.878712,35519293.689664037
1746360000,95417.9,94280.5,95755,94159.4,436.86361195,41576897.196616425
1746403200,94280.6,94040.7,94821.1,93513.1,613.84342187,57884467.57641921
1746446400,94040.7,94733.8,95200,93613.4,754.15701637,71132761.584447284
1746489600,94733.7,93812,94926.4,93718.6,494.17126346,46600869.251454686
