time,open,close,high,low,volume,turnover
1775654400,0.14414,0.14411,0.14414,0.14403,9016.9,1299.190169
1775655000,0.14413,0.14413,0.14413,0.14413,2.9,0.417977
1775655600,0.14416,0.14416,0.14416,0.14416,10.1,1.456016
1775656200,0.14414,0.14397,0.14424,0.14397,2352.2,339.05289
1775656800,0.14407,0.14394,0.14407,0.14394,5167.7,744.186046
1775657400,0.14394,0.14397,0.14412,0.14394,1070.5,154.127675
1775658000,0.14397,0.14397,0.14397,0.14397,0.0,0.0
1775658600,0.14415,0.14425,0.14425,0.14405,267.3,38.547325
1775659200,0.14425,0.14425,0.14425,0.14425,0.0,0.0
1775659800,0.14406,0.144,0.14406,0.14399,4017.9,578.550902
1775660400,0.14398,0.14398,0.14398,0.14398,187.3,26.967454
1775661000,0.14381,0.14376,0.14381,0.14363,30087.300000000003,4324.148257
1775661600,0.14363,0.14363,0.14363,0.14363,6.8,0.976684
1775662200,0.14354,0.14354,0.14354,0.14354,52.5,7.53585
1775662800,0.14354,0.1434,0.14354,0.1434,538.5,77.229356
1775663400,0.1433,0.14329,0.1433,0.14329,841.3000000000001,120.55694899999999
1775664000,0.14323,0.14285,0.14323,0.14281,19670.8,2812.623874
1775664600,0.14285,0.14325,0.14329,0.14285,7378.3,1056.65286
1775665200,0.14325,0.14325,0.14325,0.14325,0.0,0.0
1775665800,0.14355,0.14355,0.14355,0.14355,1666.3999999999999,239.21172
1775666400,0.14348,0.14343,0.14355,0.14343,1363.1,195.65739200000002
1775667000,0.14341,0.14304,0.14341,0.1428,24414.8,3494.251585
1775667600,0.14304,0.14304,0.14304,0.14304,0.0,0.0
1775668200,0.14304,0.14251,0.14304,0.1425,47360.5,6749.353849
1775668800,0.1425,0.14249,0.14252,0.14248,124888.20000000001,17796.584316
1775669400,0.14249,0.14231,0.14249,0.1423,3844.0,547.456491
1775670000,0.14205,0.14205,0.14205,0.14205,123.2,17.50056
1775670600,0.14204,0.14199,0.14204,0.14199,1570.9,223.089856
1775671200,0.14199,0.14218,0.14218,0.14199,16.1,2.28811
1775671800,0.14217,0.14306,0.14452,0.14217,57997.1,8329.578353
1775672400,0.14318,0.14289,0.14318,0.14267,65797.0,9401.721936
1775673000,0.143,0.14294,0.14309,0.14294,6437.400000000001,920.872051
1775673600,0.14293,0.14299,0.14299,0.14277,795.5,113.621017
1775674200,0.14278,0.14248,0.14279,0.14248,38422.4,5482.6174519999995
1775674800,0.14232,0.14214,0.14232,0.14204,8563.5,1216.91178
1775675400,0.14199,0.14189,0.14202,0.14185,32055.6,4549.186128
1775676000,0.14195,0.14191,0.14198,0.14189,19942.0,2830.656638
1775676600,0.14191,0.14204,0.14204,0.14191,113.5,16.12154
1775677200,0.14202,0.142,0.1421,0.142,379.6,53.912637
1775677800,0.142,0.142,0.142,0.142,0.0,0.0
1775678400,0.14204,0.14168,0.14204,0.14168,11072.4,1572.060057
1775679000,0.1416,0.14151,0.14163,0.14143,11394.6,1612.640571
1775679600,0.14152,0.14145,0.14153,0.14143,2540.4,359.528469
1775680200,0.14142,0.14036,0.14142,0.14034,15445.300000000001,2175.996662
1775680800,0.14033,0.14039,0.14043,0.14033,747.1,104.87252699999999
1775681400,0.1405,0.14065,0.14065,0.1405,283.0,39.779830000000004
1775682000,0.14076,0.141,0.141,0.14076,1141.0,160.79048699999998
1775682600,0.14095,0.14082,0.14095,0.14079,2322.5,327.053761
1775683200,0.14084,0.14084,0.14094,0.14074,9444.5,1330.05699
1775683800,0.14079,0.14011,0.14079,0.14011,49115.8,6902.153414
