time,open,close,high,low,volume,turnover
1762732800,0.02,0.11808,0.17499,0.02,44352086.8,6127911.343855
1762819200,0.11807,0.11743,0.13845,0.094,53709885,6115081.25096
1762905600,0.11786,0.13305,0.13933,0.11517,42800912.7,5486887.40886
1762992000,0.13301,0.11014,0.13629,0.10903,35568224.7,4252483.506117
1763078400,0.11012,0.11845,0.12168,0.1088,35927267.7,4072562.727785
1763164800,0.11846,0.11325,0.11879,0.10964,24821075.1,2808315.589544
1763251200,0.11327,0.11124,0.11718,0.1093,28941580.5,3233085.30958
1763337600,0.11117,0.11269,0.11319,0.09727,35393101.1,3823607.32721
1763424000,0.11278,0.10952,0.11386,0.1035,43115344.5,4660419.786657
1763510400,0.10951,0.10003,0.11026,0.09873,46724535,4915448.961579
1763596800,0.10003,0.09407,0.10113,0.08566,46933725.3,4497431.802303
1763683200,0.09419,0.0818,0.09462,0.0723,68910145.2,5583741.468512
1763769600,0.08165,0.07533,0.08261,0.07482,55966122,4340533.003484
1763856000,0.07527,0.07911,0.08166,0.07468,50306154.3,3857953.822376
1763942400,0.07916,0.0971,0.09923,0.07861,50195101.4,4365321.082857
1764028800,0.09709,0.08989,0.09711,0.08735,14525367.8,1344928.53533
1764115200,0.08979,0.08812,0.09329,0.08394,7315642.4,646481.638014
1764201600,0.08808,0.08642,0.09018,0.08431,4257322.9,370003.597555
1764288000,0.0868,0.08455,0.09337,0.08335,6009191.2,528802.264726
1764374400,0.08487,0.08537,0.08633,0.08095,3560768.5,299888.907433
1764460800,0.08518,0.08394,0.09057,0.08376,4846133.9,423770.412865
1764547200,0.08402,0.07997,0.08524,0.07688,7652689.3,625680.034028
1764633600,0.07982,0.07823,0.08032,0.07303,12091974.3,929080.565917
1764720000,0.07824,0.07817,0.08242,0.07426,7420980.2,583267.231803
1764806400,0.07813,0.07207,0.07893,0.06942,10279117.6,762151.363189
1764892800,0.07209,0.06222,0.07407,0.0612,12588106.4,858393.901151
1764979200,0.06229,0.06311,0.06555,0.05867,12868411.5,801530.467937
1765065600,0.06309,0.06424,0.06434,0.06121,4021605.8,250958.310798
1765152000,0.06404,0.07613,0.07785,0.06222,15466530,1120137.860412
1765238400,0.07617,0.07406,0.07975,0.07148,6094096.8,455115.695097
1765324800,0.07411,0.07547,0.07737,0.07208,2464623,183931.062619
1765411200,0.07519,0.07662,0.07724,0.07241,1804422.1,133494.503475
1765497600,0.07666,0.07056,0.07693,0.06873,3737335.4,271446.737005
1765584000,0.07055,0.0716,0.07251,0.06976,1975311.8,140363.082635
1765670400,0.07157,0.07168,0.07209,0.07108,1707088.4,121957.602612
1765756800,0.07168,0.07117,0.07535,0.06953,5218690.5,376009.175104
1765843200,0.07116,0.07182,0.07476,0.07083,4043504.1,294651.149435
1765929600,0.07175,0.07697,0.07736,0.07094,6427431.8,478452.801013
1766016000,0.07689,0.07573,0.07982,0.07417,7152013.6,548035.2718
1766102400,0.07591,0.08374,0.08403,0.074,5540305.4,438395.088445
1766188800,0.08395,0.10173,0.11,0.08166,14252349.5,1353405.669027
1766275200,0.1012,0.09846,0.12305,0.09809,7836504.8,847539.338691
1766361600,0.09841,0.08961,0.10021,0.08413,10429351.3,941046.83123
1766448000,0.08958,0.09096,0.09531,0.07946,7281302.8,622396.563556
1766534400,0.09084,0.1018,0.10615,0.08887,9184073.8,893508.330548
1766620800,0.10183,0.09847,0.10916,0.09643,6019062.9,618877.31261
1766707200,0.09861,0.10025,0.10774,0.09453,4835107.7,480278.785839
1766793600,0.10033,0.114,0.11549,0.09806,6851965.9,742693.905658
1766880000,0.11396,0.14051,0.1447,0.1118,8804259.5,1121054.498388
1766966400,0.14052,0.12605,0.14232,0.12371,13628105.2,1802337.99838
1767052800,0.12595,0.14774,0.15603,0.12195,10747837.8,1499637.65257
1767139200,0.14768,0.1532,0.15913,0.14366,8948345.7,1326400.388871
1767225600,0.153,0.15845,0.17747,0.14298,19152818.9,3067142.961092
1767312000,0.15943,0.14847,0.16239,0.14516,9861404.6,1502303.134739
1767398400,0.14868,0.15974,0.16094,0.14629,6738647.6,1035899.184167
1767484800,0.15965,0.14949,0.16135,0.14643,6209930.4,950849.451951
1767571200,0.14984,0.13966,0.15941,0.1391,12081290.2,1782745.272407
