time,open,close,high,low,volume,turnover
1762754400,0.02,0.15191,0.17499,0.02,16513828.8,2491289.46379
1762776000,0.15219,0.11666,0.15382,0.10625,17951022.2,2448418.101986
1762797600,0.11694,0.11808,0.12884,0.11311,9887235.8,1188203.778079
1762819200,0.11807,0.11377,0.12025,0.10868,11788817.2,1334987.484035
1762840800,0.11359,0.10664,0.1168,0.10551,9316575.3,1033444.612393
1762862400,0.10678,0.12734,0.13845,0.094,21657140,2425853.388184
1762884000,0.12721,0.11743,0.13026,0.11477,10947352.5,1320795.766348
1762905600,0.11786,0.12497,0.13453,0.11517,10386677.1,1302789.294595
1762927200,0.12489,0.12712,0.13933,0.12333,10488542.4,1375175.500495
1762948800,0.12711,0.12675,0.1322,0.12155,12994109.8,1631932.157241
1762970400,0.12679,0.13305,0.13528,0.12679,8931583.4,1176990.456529
1762992000,0.13301,0.12747,0.13629,0.12676,7616822.4,1005548.190691
1763013600,0.12748,0.11745,0.12769,0.11583,8356069.9,1008871.113937
1763035200,0.11746,0.11562,0.11926,0.11448,9830741.9,1148383.934676
1763056800,0.11549,0.11014,0.11631,0.10903,9764590.5,1089680.266813
1763078400,0.11012,0.112,0.11283,0.1088,10689762.6,1181906.758733
1763100000,0.1118,0.11038,0.11474,0.10905,10944263.5,1220699.202402
1763121600,0.11036,0.11911,0.12131,0.10984,8630543.5,994494.641487
1763143200,0.11909,0.11845,0.12168,0.11584,5662698.1,675462.125163
1763164800,0.11846,0.1121,0.11879,0.11182,8255366.6,952555.21056
1763186400,0.1121,0.11053,0.11295,0.10964,5955101.9,661541.284301
1763208000,0.11054,0.11336,0.11374,0.10999,5061595.5,566425.80662
1763229600,0.1134,0.11325,0.11533,0.11097,5549011.1,627793.288063
1763251200,0.11327,0.11339,0.11532,0.11,6527752.1,736050.842185
1763272800,0.11321,0.1102,0.11347,0.1093,6954935.2,770440.494224
1763294400,0.1102,0.11055,0.11131,0.10956,6268655.6,691187.81765
1763316000,0.11051,0.11124,0.11718,0.10944,9190237.6,1035406.155521
1763337600,0.11117,0.11003,0.11124,0.1083,6101267,671442.793998
1763359200,0.10998,0.11021,0.11319,0.10654,5673306.2,622898.345994
1763380800,0.11021,0.10494,0.1119,0.10416,11703145.6,1271532.15965
1763402400,0.10494,0.11269,0.113,0.09727,11915382.3,1257734.027568
1763424000,0.11278,0.10725,0.11306,0.10611,8770977.7,951556.152809
1763445600,0.10734,0.10508,0.10834,0.1035,11604318.1,1221085.292589
1763467200,0.10492,0.10838,0.11386,0.1049,11237314.7,1236226.752558
1763488800,0.10844,0.10952,0.11095,0.10705,11502734,1251551.588701
1763510400,0.10951,0.10624,0.11026,0.10485,12400589.5,1335399.543259
1763532000,0.10631,0.10716,0.11016,0.10536,12776272.8,1382840.728806
1763553600,0.10713,0.09986,0.10831,0.09902,11136429.1,1150259.344374
1763575200,0.09988,0.10003,0.10275,0.09873,10411243.6,1046949.34514
1763596800,0.10003,0.09921,0.10113,0.09809,10699066.8,1068289.192566
1763618400,0.09921,0.09473,0.10034,0.09159,14150515.4,1366960.084879
1763640000,0.09474,0.08909,0.09606,0.08897,11980310.4,1128095.727795
1763661600,0.08911,0.09407,0.09892,0.08566,10103832.7,934086.797063
1763683200,0.09419,0.08178,0.09462,0.08135,11605614.1,1021984.196095
1763704800,0.08181,0.07449,0.08382,0.0723,20055865,1556785.442379
1763726400,0.07448,0.08769,0.09279,0.07338,22460961.3,1771741.795678
1763748000,0.08759,0.0818,0.08866,0.07953,14787704.8,1233230.03436
1763769600,0.08165,0.08058,0.08261,0.07916,12304317.3,996905.964646
1763791200,0.08055,0.07697,0.0807,0.07597,14712044.5,1150812.831754
1763812800,0.07696,0.07528,0.0786,0.07486,14240376.2,1083438.518894
1763834400,0.07527,0.07533,0.077,0.07482,14709384,1109375.68819
1763856000,0.07527,0.0757,0.07729,0.07468,11489086.2,871761.43786
1763877600,0.07561,0.07668,0.07748,0.07479,16142112.8,1220352.668257
1763899200,0.07659,0.07888,0.07916,0.07554,12613385.9,971849.070981
1763920800,0.07881,0.07911,0.08166,0.07634,10061569.4,793990.645278
1763942400,0.07916,0.08497,0.08728,0.07861,11907563.1,998413.481836
1763964000,0.08498,0.0866,0.08739,0.08253,9899407.8,840953.23333
