time,open,close,high,low,volume,turnover
1744588800,0.0697,0.0715,0.0723,0.069,17564515.09,1235576.504193
1744632000,0.0716,0.0694,0.0718,0.0684,18920068.91,1322461.587279
1744675200,0.0695,0.0703,0.0707,0.0685,10535971.25,733112.688655
1744718400,0.0702,0.0674,0.0704,0.0669,17172728.13,1180495.468525
1744761600,0.0674,0.0656,0.0682,0.0652,14437934.47,959660.674486
1744804800,0.0655,0.0646,0.0669,0.0633,33004921.73,2150533.291038
1744848000,0.0645,0.0639,0.0652,0.0632,11810965.61702667,759288.543266409547
1744891200,0.0639,0.0645,0.0651,0.0621,17496763.7,1117127.883726
1744934400,0.0646,0.0672,0.0675,0.064,11133017.49,733202.126867
1744977600,0.0673,0.0677,0.0678,0.0669,6783059.39,456980.13932
1745020800,0.0678,0.0682,0.0703,0.0678,8518296.62,589490.28521
1745064000,0.0682,0.0698,0.0703,0.0679,8161777.86,563626.566049
1745107200,0.0699,0.0691,0.0725,0.0684,9553162.64,673519.28206
1745150400,0.0691,0.0716,0.0724,0.0689,10175368.02,721104.993492
1745193600,0.0717,0.0726,0.0736,0.0713,10320455.2,746448.355675
1745236800,0.0727,0.0726,0.075,0.072,16072582.06,1178326.843336
1745280000,0.0726,0.0721,0.0735,0.0703,13409255.98,964268.903014
1745323200,0.0722,0.0767,0.0775,0.072,15369275.44,1146098.393388
1745366400,0.0768,0.0777,0.0786,0.0762,11498557.47,889928.440935
1745409600,0.0778,0.0786,0.08,0.0758,20612565.87,1608965.793163
1745452800,0.0786,0.077,0.0787,0.0757,12562534.26,969304.810174
1745496000,0.0771,0.08,0.081,0.0769,14198968.61,1121874.531058
1745539200,0.0801,0.0809,0.0826,0.0781,15721186.08,1268562.142593
1745582400,0.081,0.08,0.0817,0.0786,12889063.72,1033824.125851
1745625600,0.0801,0.0799,0.0834,0.0797,9782692.68,801578.346148
1745668800,0.0799,0.0801,0.0807,0.0784,7820334.64,622944.702939
1745712000,0.08,0.0764,0.0806,0.0761,10179571.52,791497.353827
1745755200,0.0764,0.0766,0.0776,0.0751,8943155.11,681878.688631
1745798400,0.0767,0.0783,0.0795,0.0737,14133576.3,1085564.307542
1745841600,0.0783,0.0816,0.0826,0.0756,14744867.74,1163879.459723
1745884800,0.0816,0.0792,0.0828,0.0792,9767927.01,792689.335554
1745928000,0.0793,0.0809,0.0865,0.0781,21810406.94,1795112.209276
1745971200,0.081,0.081,0.0831,0.0791,15463319.1,1257384.898774
1746014400,0.0809,0.0794,0.081,0.0771,16843108.9,1333256.022786
1746057600,0.0794,0.0808,0.0818,0.0786,7061011.85,566560.381285
1746100800,0.0807,0.0804,0.0815,0.0797,7712809.2,621790.619884
1746144000,0.0805,0.0784,0.0822,0.0784,7955889.81,640579.666193
1746187200,0.0785,0.079,0.0797,0.0778,7609133.58,599576.299737
1746230400,0.079,0.0768,0.0793,0.0767,4305815.86,335043.156948
1746273600,0.0768,0.0736,0.0777,0.0734,6919944.77,519606.858201
1746316800,0.0735,0.073,0.074,0.0721,11161253.18,813551.687815
1746360000,0.073,0.0722,0.0732,0.0712,6414112.65,462542.461536
1746403200,0.0722,0.0718,0.0734,0.0714,7705175.3,557920.935907
1746446400,0.0717,0.0719,0.0728,0.0707,8197854.6,588819.004783
1746489600,0.0719,0.0709,0.0728,0.0705,11730651.25,840458.752627
1746532800,0.0709,0.0722,0.0741,0.069,24592215.95,1765648.224447
1746576000,0.0723,0.0727,0.0728,0.071,10346710.04,744670.533397
1746619200,0.0728,0.0723,0.0729,0.071,13030653.48,937142.927466
1746662400,0.0724,0.0761,0.0766,0.0724,10325899.98,772755.960557
1746705600,0.0762,0.0858,0.0861,0.0756,16209976.68881765,1300234.214138259635
1746748800,0.0859,0.0869,0.0894,0.0849,18335485.12,1592604.617058
1746792000,0.0871,0.089,0.089,0.0859,9316471.29,814799.007102
1746835200,0.0888,0.094,0.0958,0.0883,10149653.97,941086.372994
1746878400,0.094,0.1047,0.1047,0.0932,10661851.34,1036736.726027
1746921600,0.1046,0.0994,0.1049,0.0968,9573865.63,967182.169052
1746964800,0.099,0.098,0.0997,0.0954,6038722.67,587534.919785
1747008000,0.098,0.0992,0.1075,0.0965,16865581.64,1722469.777546
1747051200,0.099,0.0986,0.1012,0.0922,12228750.76,1195219.388515
1747094400,0.0986,0.097,0.099,0.093,7433554.35,707641.979923
1747137600,0.0969,0.1023,0.1038,0.0958,7873609.42,789274.71619
1747180800,0.1022,0.1013,0.1041,0.0985,6188798.71,628397.912587
1747224000,0.1011,0.098,0.1014,0.097,4480963.46,440680.288486
1747267200,0.0977,0.0923,0.0995,0.0905,1991204.61,189307.827871
1747310400,0.0923,0.0906,0.0964,0.0886,2391156.92,220821.264259
1747353600,0.0909,0.0923,0.0933,0.0906,1290675.7,119357.054731
1747396800,0.0926,0.0885,0.0927,0.0875,1399424.46,126672.963502
1747440000,0.0885,0.0875,0.0889,0.085,1940353.26,168647.410381
1747483200,0.0871,0.0866,0.0879,0.0854,1159430.17,100653.446559
1747526400,0.0868,0.0884,0.0908,0.0863,802473.53,70556.178549
1747569600,0.0883,0.0913,0.0936,0.0847,1445583.13,128834.597821
1747612800,0.0914,0.0859,0.0923,0.0846,1316347.85,113701.773048
1747656000,0.0858,0.0889,0.0897,0.0845,697510.71,60941.587751
1747699200,0.0888,0.0877,0.091,0.087,607057.76,53922.233709
1747742400,0.0874,0.0905,0.0912,0.0861,577991.81,50733.366493
1747785600,0.0908,0.0924,0.093,0.089,1029090.02,94001.397203
1747828800,0.0924,0.0943,0.0964,0.0904,2375530.57,221029.174935
1747872000,0.0943,0.0969,0.0984,0.0943,974455.94,94329.942762
1747915200,0.0972,0.0992,0.1007,0.096,952910.75,94245.584349
1747958400,0.099,0.0931,0.1007,0.0924,2765339.22,265828.616423
1748001600,0.0934,0.0894,0.0953,0.0891,1428530.97,132115.371136
1748044800,0.0891,0.0905,0.0912,0.0884,739902.61,66434.944537
1748088000,0.0903,0.0869,0.091,0.0864,1127863.36,100173.992808
1748131200,0.0868,0.0846,0.0877,0.0838,656694.47,56265.092132
1748174400,0.0844,0.0873,0.0874,0.0829,466019.57,39549.312288
1748217600,0.0874,0.0878,0.0891,0.0873,437658.16,38532.910716
1748260800,0.088,0.0863,0.0886,0.0855,621687.26,54027.711732
1748304000,0.0864,0.0895,0.09,0.0845,925726.65,81801.610877
1748347200,0.0894,0.0893,0.0912,0.0884,1243993.05,111358.65767
1748390400,0.0888,0.0895,0.0899,0.0869,504003.55,44580.595699
1748433600,0.0893,0.0888,0.0909,0.0857,624036.89982876,54828.895208136368
1748476800,0.0888,0.089,0.092,0.0884,1278468.65,114675.026244
1748520000,0.0888,0.0847,0.0888,0.0846,1449670.47,126646.747859
1748563200,0.0852,0.0812,0.0853,0.0789,2239685.6,181146.313656
1748606400,0.081,0.0747,0.0811,0.0738,2358994.16,183376.451558
1748649600,0.0749,0.0735,0.075,0.0721,1226219.15,90307.317522
1748692800,0.0739,0.0764,0.0771,0.0739,651151.35,49579.942589
1748736000,0.0764,0.0749,0.0771,0.0739,759062.02,57464.105287
1748779200,0.0744,0.0773,0.0776,0.0741,568630.68,43251.931871
1748822400,0.0772,0.0752,0.0779,0.0742,682273.58,51989.389277
1748865600,0.0751,0.079,0.0792,0.0749,800711.05,61468.972818
1748908800,0.0789,0.0795,0.0803,0.0782,399640.66,31661.423746
1748952000,0.0792,0.0786,0.0803,0.0779,299043.21,23733.857757
1748995200,0.0788,0.0773,0.0799,0.0773,675215.03,53114.817525
1749038400,0.0772,0.076,0.0788,0.0752,688305.02,52990.34156
1749081600,0.0761,0.076,0.0773,0.0755,632625.98,48247.161745
1749124800,0.0761,0.071,0.078,0.0699,1128979.92,82116.049741
1749168000,0.0709,0.0742,0.0743,0.0707,435225.77,31608.315577
1749211200,0.0743,0.0812,0.0827,0.0742,2115182.8,167752.369427
1749254400,0.0815,0.0836,0.0852,0.0805,2411934,199455.591132
1749297600,0.0836,0.0821,0.0846,0.0818,884945.59,73463.52104
1749340800,0.0822,0.0816,0.0839,0.0803,982860.25,80789.403389
1749384000,0.0816,0.0816,0.0827,0.0809,292021.25,23951.987584
1749427200,0.0815,0.0831,0.0833,0.0803,461907.81,37821.467871
1749470400,0.0832,0.0864,0.0864,0.0822,348423.01,29177.522776
1749513600,0.0859,0.0869,0.0878,0.0844,689727.83,59321.575865
1749556800,0.0869,0.0869,0.0878,0.0849,1309214.88,112823.104498
1749600000,0.0869,0.0836,0.087,0.0833,842487.27,71952.375146
1749643200,0.0835,0.0823,0.0857,0.0813,1695546.83,142512.721476
1749686400,0.0821,0.0794,0.0822,0.0794,580672.47,47073.755624
1749729600,0.0794,0.0778,0.0812,0.0775,860699.3,68660.537021
1749772800,0.0778,0.0737,0.0778,0.0719,1924807.75897248,142114.349157196544
1749816000,0.0738,0.0757,0.0761,0.0725,673164.86,50184.126416
1749859200,0.0757,0.0747,0.0757,0.0744,334920.3,25117.879185
1749902400,0.0746,0.0742,0.0753,0.0724,435431.37,32325.515166
1749945600,0.0742,0.0741,0.0756,0.0736,413006.71,30825.842454
1749988800,0.0741,0.0743,0.0751,0.0729,405609.15,29990.569835
1750032000,0.0743,0.0772,0.0776,0.0733,530481.34,40469.546185
1750075200,0.077,0.0752,0.0783,0.0751,778292.55,59768.554621
1750118400,0.075,0.0738,0.0768,0.0735,768129.21,57525.883953
1750161600,0.0737,0.0731,0.0746,0.0719,499821.47,36507.023904
1750204800,0.0731,0.0715,0.0737,0.0709,310026.88,22469.094221
1750248000,0.0714,0.0732,0.0737,0.0697,569208.11,40714.388828
1750291200,0.0732,0.0728,0.074,0.0725,306226.52,22373.79137
1750334400,0.0728,0.0727,0.0736,0.0718,276513.93,20111.785757
1750377600,0.0727,0.0737,0.0743,0.0719,467668.52,34228.01725
1750420800,0.0738,0.0708,0.0749,0.0692,582514.62,41806.724898
1750464000,0.0709,0.0717,0.0721,0.0709,203263.73,14549.662431
1750507200,0.0718,0.0667,0.0718,0.0652,858418.37,58316.874621
1750550400,0.0668,0.0671,0.0678,0.0657,876632.68,58536.028646
1750593600,0.0671,0.0637,0.0674,0.0601,2753805.62,173061.735226
1750636800,0.0637,0.0642,0.0647,0.0632,473046.04,30306.138085
1750680000,0.0641,0.0695,0.0696,0.0623,1550740.23,102012.817886
1750723200,0.0695,0.0699,0.0709,0.0687,631583.71,44083.00071
