time,open,close,high,low,volume,turnover
1648771200,0.1,0.1792,0.22,0.1,10131494.60550105,1851405.961137705856
1648857600,0.1787,0.1624,0.19,0.16,2346733.13667736,407624.177949279286
1648944000,0.1627,0.1676,0.1705,0.1597,1141378.95537417,189884.006845530059
1649030400,0.1676,0.1635,0.1756,0.1569,3187418.79880142,525652.129625717889
1649116800,0.1633,0.1775,0.1849,0.1631,6824716.47683201,1175949.610240141743
1649203200,0.1775,0.1583,0.1786,0.1583,8111651.15148936,1358290.493307698596
1649289600,0.1584,0.1594,0.1645,0.1441,5895126.45532393,935355.941857673688
1649376000,0.1595,0.1518,0.1632,0.1511,4672356.228833,744580.759919572996
1649462400,0.152,0.1602,0.1636,0.1507,3544253.96752374,544806.298581048195
1649548800,0.16,0.1654,0.175,0.1536,4282005.28740453,689518.710285419855
1649635200,0.1656,0.1557,0.175,0.1543,6295362.1929012,1023269.297465666156
1649721600,0.1558,0.1611,0.1624,0.1552,4829206.90894805,766979.556384909408
1649808000,0.161,0.1689,0.1719,0.1582,4594383.48009676,752549.782593871358
1649894400,0.1692,0.1613,0.1705,0.1611,3907034.72960455,647001.115437407149
1649980800,0.1612,0.1828,0.193,0.1612,6509716.86364585,1121850.933777046103
1650067200,0.1828,0.1926,0.2069,0.179,6193291.0272582,1169219.900663205388
1650153600,0.1925,0.1925,0.2127,0.1893,5637243.30887555,1115691.806760185121
1650240000,0.1925,0.2004,0.2134,0.1831,6020478.27369757,1163054.904985880799
1650326400,0.2006,0.1923,0.2043,0.191,5419033.24121667,1059735.941769225022
1650412800,0.1923,0.1774,0.1924,0.1768,7286690.27778849,1367134.309314919499
1650499200,0.1775,0.1628,0.181,0.1627,8751739.06188967,1539287.889896240289
1650585600,0.1628,0.1608,0.1652,0.1571,6079113.51144485,985626.287835424114
1650672000,0.1611,0.1649,0.1708,0.1599,14013366.61716576,2331338.997772284412
1650758400,0.1649,0.1626,0.1683,0.1614,13867585.53896686,2266662.050787512095
1650844800,0.1625,0.1604,0.1626,0.1541,26130621.96104824,4097195.402203022443
1650931200,0.1606,0.1515,0.1639,0.1509,3598939.82613893,569501.37119485568
1651017600,0.1514,0.1581,0.1676,0.1508,3430313.39413314,534149.973343353002
1651104000,0.1582,0.1527,0.1582,0.1527,3544794.16753803,550537.506618164292
1651190400,0.1527,0.1458,0.1527,0.1444,3775256.56729202,559918.675095183841
1651276800,0.1459,0.1351,0.1493,0.1341,3963594.47874327,567454.669228646455
1651363200,0.1351,0.1363,0.1374,0.1321,3394117.47058339,455747.299211043569
1651449600,0.1364,0.1356,0.1487,0.1331,3890569.661517,531525.123781102139
1651536000,0.1357,0.1339,0.1393,0.1335,3134310.4768102,427414.913189065465
1651622400,0.1339,0.1391,0.1414,0.1318,3664936.12529477,494549.547532890968
1651708800,0.139,0.1261,0.1406,0.125,3773756.43938535,505948.181006908266
1651795200,0.1262,0.1266,0.1303,0.1229,3363858.98261378,424703.590059795325
1651881600,0.1267,0.1232,0.1272,0.1216,2322433.24660317,292018.34867298589
1651968000,0.1231,0.1176,0.1232,0.1168,2233629.38271824,266785.001332658736
1652054400,0.1176,0.1029,0.1187,0.1027,3092905.64443257,343040.526803285919
1652140800,0.1028,0.1023,0.1098,0.1004,4284951.75049446,452043.005949737003
1652227200,0.1022,0.0821,0.1035,0.081,3625747.27481529,340598.600629870083
1652313600,0.0822,0.0741,0.0847,0.0714,4223767.74205961,318998.962108520253
1652400000,0.0742,0.0792,0.0934,0.0736,3897623.22718965,317084.292439644788
1652486400,0.0792,0.0801,0.0804,0.0747,3936594.22384588,305323.819257975154
1652572800,0.0802,0.0876,0.0876,0.0782,3761638.66461835,304928.581017360125
1652659200,0.0876,0.0827,0.0877,0.0808,3551545.18827313,295543.540940883296
1652745600,0.0828,0.0855,0.0877,0.0827,3329205.45039248,283438.630496891508
1652832000,0.0854,0.0822,0.0881,0.082,3287263.7231189,279471.045397445181
1652918400,0.0822,0.0877,0.0879,0.0809,3381424.68144391,286737.749893373039
1653004800,0.0878,0.0832,0.0878,0.0819,3622956.0486567,308619.61879106881
1653091200,0.0834,0.0919,0.0921,0.0832,3824135.43695851,331460.188061163274
1653177600,0.0919,0.095,0.0962,0.0902,3914728.15863919,367594.339599842555
1653264000,0.0952,0.09,0.0954,0.0895,3455525.14793322,320817.300960009442
1653350400,0.09,0.0914,0.0944,0.088,2590780.69796486,233221.97484756879
1653436800,0.0915,0.0881,0.0934,0.0879,2771296.2970943,250259.214347112081
1653523200,0.088,0.0911,0.0942,0.0828,2246543.82964562,197224.732626737945
1653609600,0.091,0.0926,0.1,0.0861,2649559.90710152,245335.045650497529
1653696000,0.0925,0.0878,0.0941,0.0878,735033.00719918,66091.380668612964
1653782400,0.0879,0.0851,0.0881,0.0848,910915.06371874,78257.952321949231
1653868800,0.0852,0.0871,0.0887,0.0834,1524719.54400627,132212.587067405019
1653955200,0.0872,0.0852,0.0916,0.0841,2611652.07520715,225075.207407274351
1654041600,0.0853,0.0795,0.0874,0.0792,1575486.74889095,131493.687532942776
1654128000,0.0795,0.0818,0.083,0.0778,1093527.5301569,87910.191087413385
1654214400,0.0818,0.0793,0.0823,0.0778,1315634.6783662,105342.734988625877
1654300800,0.0793,0.0813,0.0818,0.0782,765403.67765826,60909.405491367109
1654387200,0.0813,0.0801,0.0821,0.079,751903.14716605,60453.979275186239
1654473600,0.0802,0.0813,0.0846,0.0799,506049.92218273,41557.836406257464
1654560000,0.0814,0.0789,0.0816,0.0762,1021530.89097523,79642.287251220475
1654646400,0.0789,0.078,0.0808,0.0776,669655.87926327,52949.694629742882
1654732800,0.0781,0.0774,0.0791,0.0769,467339.76159674,36427.187374548014
1654819200,0.0773,0.073,0.0807,0.073,731451.68497213,55287.744030102764
1654905600,0.073,0.0687,0.0737,0.0682,1130066.48792444,80212.41723881251
