time,open,close,high,low,volume,turnover
1775134800,0.06906,0.06906,0.06906,0.06893,376.8882,26.021671236
1775136600,0.0689,0.06898,0.06898,0.06889,53.464,3.684100275
1775138400,0.06915,0.06944,0.06944,0.06913,26282.1677,1818.370559634
1775140200,0.06948,0.06976,0.06994,0.06948,21821.2675,1521.026125821
1775142000,0.0696,0.06977,0.06977,0.06956,67780.6364,4728.172573015
1775143800,0.06988,0.06995,0.06998,0.06983,21693.5518,1517.440284571
1775145600,0.06986,0.06981,0.06995,0.06981,1542.3766,107.750516972
1775147400,0.0699,0.06987,0.07008,0.06986,46951.0859,3285.56228698
1775149200,0.06973,0.07003,0.07013,0.06969,50616.7996,3539.442306566
1775151000,0.06986,0.06958,0.06988,0.06958,7671.5707,533.94287869
1775152800,0.06967,0.06956,0.06968,0.06956,1313.9956,91.416796027
1775154600,0.06957,0.06981,0.06983,0.06952,7049.1564,490.555424531
1775156400,0.06981,0.06978,0.06984,0.06968,1802.3538,125.675899967
1775158200,0.06983,0.06984,0.06997,0.06983,715.4852,50.018045352
1775160000,0.06994,0.07003,0.07011,0.06994,24710.8148,1728.785038175
1775161800,0.0701,0.07019,0.07038,0.0701,29731.7027,2087.17481128
1775163600,0.07017,0.07014,0.07017,0.07001,1065.2908,74.715812823
1775165400,0.07003,0.07014,0.07015,0.06994,377.7395,26.459918924
1775167200,0.07014,0.06986,0.07014,0.06986,4327.0846,302.700454728
1775169000,0.06998,0.07016,0.07016,0.06998,65.729,4.610216395
1775170800,0.07014,0.07015,0.07015,0.07003,36.2658,2.541846076
1775172600,0.07001,0.07002,0.07006,0.06994,11933.1779,835.184799648
1775174400,0.07021,0.07017,0.07028,0.07017,9914.729,696.406718045
1775176200,0.07011,0.07042,0.07042,0.07011,24944.9719,1753.925634608
1775178000,0.07043,0.0707,0.07072,0.07039,46127.8978,3256.679834264
1775179800,0.07068,0.0703,0.07068,0.0703,4940.2431,348.527513708
1775181600,0.0704,0.0704,0.07046,0.07018,124846.741,8784.828876275
1775183400,0.07027,0.07019,0.07029,0.07011,7474.9301,524.975948641
1775185200,0.07033,0.07046,0.07046,0.07028,7057.6331,496.422311826
1775187000,0.07041,0.0703,0.07041,0.0703,4801.5104,337.785525829
