time,open,close,high,low,volume,turnover
1775641200,0.2269,0.2265,0.2269,0.2261,181824.2155,41188.01745372
1775641800,0.2266,0.2272,0.2273,0.2263,111440.18710000001,25267.97500353
1775642400,0.2272,0.227,0.2275,0.227,193385.43959999998,43939.39821034
1775643000,0.2269,0.2268,0.227,0.2268,61124.7631,13866.831064229998
1775643600,0.2268,0.2264,0.2268,0.2262,79436.5843,17983.51767581
1775644200,0.2263,0.2252,0.2263,0.2249,107595.4565,24237.75995887
1775644800,0.2251,0.2245,0.2251,0.2244,88632.0903,19910.52443758
1775645400,0.2244,0.2243,0.2247,0.2242,97881.5708,21968.04610857
1775646000,0.2244,0.2246,0.2246,0.2241,121226.9162,27199.36440072
1775646600,0.2246,0.2247,0.2248,0.2245,84613.1691,19008.01174078
1775647200,0.2247,0.2247,0.2248,0.224,120341.51559999998,27022.96715206
1775647800,0.2247,0.2232,0.2247,0.2229,101555.95850000001,22721.62424314
1775648400,0.2233,0.224,0.224,0.2232,178113.8932,39848.618513470006
1775649000,0.2242,0.2251,0.2254,0.2242,150125.6064,33783.90994024
1775649600,0.2252,0.2244,0.2253,0.2243,193290.0377,43427.55960313
1775650200,0.2244,0.2244,0.2248,0.2244,94397.9007,21204.15469926
1775650800,0.2244,0.2245,0.2247,0.2238,216078.3305,48478.7755438
1775651400,0.2245,0.2253,0.2253,0.2245,114681.0451,25775.90949496
1775652000,0.2253,0.2256,0.2256,0.225,84455.2617,19029.94989869
1775652600,0.2256,0.2254,0.2257,0.2253,180818.6659,40770.81331598
1775653200,0.2253,0.2265,0.2267,0.2253,138111.26520000002,31255.22337617
1775653800,0.2264,0.2267,0.2275,0.226,243577.1167,55195.31399189
1775654400,0.2267,0.2262,0.2268,0.2261,234831.9836,53169.77047463
1775655000,0.2266,0.2259,0.2268,0.2258,270427.8005,61174.075155490005
1775655600,0.2254,0.226,0.2261,0.2249,275027.3184,62023.870917270004
1775656200,0.2259,0.2255,0.2265,0.2252,258190.5214,58280.90508032
1775656800,0.2255,0.2243,0.2257,0.2242,190137.2109,42817.17440982
1775657400,0.2243,0.2244,0.2255,0.2242,232691.6799,52362.494634500006
1775658000,0.2244,0.2242,0.2246,0.2241,169014.8826,37907.46436193
1775658600,0.2242,0.2225,0.2242,0.2224,251097.5713,56018.78262793
1775659200,0.2224,0.2225,0.2227,0.222,193886.767,43140.69108812
1775659800,0.2225,0.221,0.2225,0.2206,236814.26630000002,52420.38558253
1775660400,0.2211,0.2211,0.2218,0.2207,227204.64429999999,50286.43811228
1775661000,0.2211,0.2225,0.2225,0.2207,175340.01380000002,38815.89282426
1775661600,0.2223,0.2213,0.2224,0.2212,129104.9427,28658.76360164
1775662200,0.2213,0.2214,0.2218,0.2209,390607.6771,86485.14564430999
1775662800,0.2214,0.221,0.2214,0.2205,126853.0804,28049.56723988
1775663400,0.221,0.221,0.2211,0.2207,78899.0783,17431.553352720002
1775664000,0.221,0.221,0.221,0.2205,125463.3115,27701.13789157
1775664600,0.221,0.2212,0.2212,0.2205,133617.6795,29495.074103910003
1775665200,0.2212,0.2203,0.2213,0.2202,96509.84,21311.92795403
1775665800,0.2202,0.2207,0.2207,0.22,72683.06880000001,16018.037663669998
1775666400,0.2209,0.2213,0.2213,0.2207,138167.8008,30536.50639979
1775667000,0.2213,0.2217,0.2217,0.2208,81861.2512,18105.663997739997
1775667600,0.2218,0.2221,0.2223,0.2218,60619.1031,13460.99670413
1775668200,0.2222,0.2223,0.2225,0.2222,80108.5183,17807.480037139998
1775668800,0.2223,0.2213,0.2223,0.2209,78277.741,17345.597445810003
1775669400,0.2215,0.2222,0.2227,0.2211,144168.4856,31983.56265413
1775670000,0.2222,0.2222,0.2224,0.2218,79450.7031,17652.618490790002
1775670600,0.2222,0.2223,0.2223,0.222,53536.6106,11891.33314088
1775671200,0.2223,0.2221,0.2223,0.2219,81200.9863,18040.76419101
1775671800,0.2221,0.2212,0.2221,0.2211,105461.8689,23382.111892020002
1775672400,0.2211,0.2207,0.2214,0.2207,123038.8483,27203.43905648
1775673000,0.2209,0.2208,0.2212,0.2208,61895.9308,13681.249529
1775673600,0.2207,0.2198,0.2207,0.2198,117083.6283,25780.91426016
1775674200,0.2197,0.2191,0.2197,0.2187,115444.13390000002,25303.18813032
1775674800,0.2191,0.219,0.2191,0.2188,39819.7437,8719.606657209999
1775675400,0.2188,0.219,0.2193,0.2188,97321.204,21313.54198476
1775676000,0.2189,0.2188,0.2191,0.2188,43705.5142,9568.994559320001
1775676600,0.2187,0.2191,0.2192,0.2187,94920.6605,20787.249411880002
1775677200,0.219,0.219,0.219,0.2186,61493.55529999999,13460.78284287
1775677800,0.2191,0.2193,0.2193,0.2189,66713.0561,14613.22889506
1775678400,0.2193,0.2202,0.2202,0.2192,64569.154800000004,14180.891777
1775679000,0.22,0.2202,0.2203,0.22,50018.2576,11009.34108801
1775679600,0.2201,0.2198,0.2201,0.2197,35261.2482,7751.20480105
1775680200,0.2198,0.2191,0.2199,0.2189,69273.9186,15193.04748658
1775680800,0.219,0.2187,0.2191,0.2187,42209.5408,9239.59781034
1775681400,0.2188,0.2193,0.2194,0.2188,31644.0228,6934.94729507
1775682000,0.2193,0.2197,0.2197,0.2191,22785.571500000002,4997.07157361
1775682600,0.2199,0.2203,0.2207,0.2199,94631.4944,20858.495268270002
1775683200,0.2203,0.2209,0.2213,0.2202,177488.8934,39165.810346590006
1775683800,0.2209,0.2207,0.2211,0.2203,229258.8911,50607.69431182
1775684400,0.2208,0.2204,0.2209,0.2203,206423.52159999998,45528.23112089
1775685000,0.2204,0.2208,0.2208,0.2202,138873.45990000002,30614.823200630002
1775685600,0.2207,0.2206,0.2208,0.2202,278823.72729999997,61483.4093743
1775686200,0.2208,0.2202,0.2208,0.2198,227302.5869,50017.6570912
1775686800,0.2203,0.2199,0.2209,0.2199,297398.02099999995,65591.57818275
1775687400,0.2199,0.2206,0.221,0.2199,3595.1377,792.67453607
1775688000,0.2206,0.2194,0.2206,0.2194,15391.4631,3382.9769257199996
1775688600,0.2195,0.2185,0.2195,0.2185,13732.067,3005.02109795
1775689200,0.2184,0.2171,0.2184,0.2169,115394.48790000001,25090.48028001
1775689800,0.2172,0.2183,0.2187,0.2172,43568.9393,9496.959679430001
1775690400,0.2185,0.2176,0.2185,0.2174,39519.6853,8603.22081798
1775691000,0.2176,0.2169,0.2176,0.2169,49063.1945,10665.41647619
1775691600,0.217,0.2174,0.2174,0.2169,73132.9633,15878.36435912
1775692200,0.2175,0.217,0.2175,0.217,114173.2733,24792.70809459
1775692800,0.2169,0.2166,0.217,0.2165,72483.6647,15708.60400168
1775693400,0.2166,0.2164,0.2167,0.2161,58899.7948,12747.30567924
1775694000,0.2163,0.216,0.2166,0.216,157795.8666,34143.11147956
1775694600,0.2159,0.2146,0.2163,0.2144,124476.8939,26801.63098251
1775695200,0.2143,0.2145,0.2146,0.2139,170103.1424,36441.794373619996
1775695800,0.2145,0.2154,0.2157,0.2145,146178.1608,31456.22618438
1775696400,0.2153,0.2144,0.2155,0.2136,186111.61709999997,39937.857034119996
1775697000,0.2142,0.2138,0.2147,0.2138,135474.3408,29027.26887584
1775697600,0.2138,0.2135,0.214,0.2134,130724.1519,27933.22731149
