time,open,close,high,low,volume,turnover
1611187200,1.23,1.682,2.4,1.23,319294.50605851,560724.08646590796
1611273600,1.682,1.974,2.18,1.43,264520.67716428,488632.66002659215
1611360000,1.973,2.139,2.312,1.92,182886.7096601,395710.49338901523
1611446400,2.143,2.31,2.399,2.043,208106.89702909,455898.85453164341
1611532800,2.31,2.008,2.412,1.979,184487.4278934,398281.0914289364
1611619200,2.003,2.146,2.229,1.815,192485.84744783,394155.40183694563
1611705600,2.146,1.814,2.146,1.76,168812.23730117,319260.92687571116
1611792000,1.814,2.1,2.202,1.756,183198.21169932,370159.00445640334
1611878400,2.102,2.049,2.2,1.87,193710.61427181,382826.98366945571
1611964800,2.049,2.547,2.75,1.897,279586.90104561,650177.83458070131
1612051200,2.547,2.503,2.97,2.275,405750.17435869,1042139.394220185
1612137600,2.509,2.542,2.688,2.305,272462.33181831,673243.12706374439
1612224000,2.542,2.502,2.75,2.411,247152.636635,634318.04185136423
1612310400,2.502,2.627,2.78,2.401,160078.45623529,407504.25988825003
1612396800,2.644,3.046,3.25,2.535,363219.67641354,1054229.26085922185
1612483200,3.046,3.263,3.469,3.032,356566.26025513,1156273.31726713806
1612569600,3.263,3.137,3.662,2.87,360720.24545985,1182485.88972769984
1612656000,3.142,2.995,3.191,2.647,184220.20066834,538117.32852232996
1612742400,2.978,3.072,3.227,2.801,130953.32462592,404241.87507696256
1612828800,3.072,3.177,3.289,2.932,124697.5897265,387778.50792342624
1612915200,3.176,3.094,3.378,2.846,185075.70494389,584114.7219762414
1613001600,3.075,3.559,3.58,2.983,199933.33830438,656541.44991761614
1613088000,3.563,3.386,3.611,3.171,173159.42933726,592315.85764330943
1613174400,3.384,3.281,3.523,3.136,129490.88617607,432922.42903389454
1613260800,3.301,2.968,3.4,2.914,142080.74361305,447223.18343308349
1613347200,2.962,2.707,3.024,2.031,270563.28293519,734508.78242120437
1613433600,2.706,2.673,2.887,2.55,81982.97483734,224602.92249982568
1613520000,2.679,2.789,2.877,2.49,140815.83075342,385199.71585040724
1613606400,2.789,2.801,3.016,2.726,109025.82825165,312272.22609032669
1613692800,2.814,2.633,2.874,2.569,108888.02175813,293328.00979014013
1613779200,2.637,2.889,3.255,2.565,312364.79783253,930128.97592115388
1613865600,2.889,2.939,3.073,2.814,162742.05823993,476896.6444374299
1613952000,2.921,2.569,2.926,2.06,209184.08603689,527759.84034068437
1614038400,2.568,2.151,2.589,1.676,226941.40222884,476875.11460374017
1614124800,2.134,2.142,2.395,2.006,117296.10949999,255652.9197082534
