time,open,close,high,low,volume,turnover
1770692400,0.2534,0.2507,0.2534,0.2497,85449.1268,21477.768514
1770696000,0.2507,0.2524,0.2526,0.2507,37238.6522,9385.21701151
1770699600,0.2527,0.2503,0.2528,0.2498,91997.8198,23193.47921852
1770703200,0.2502,0.246,0.2507,0.2453,39532.4348,9810.50718188
1770706800,0.2461,0.2477,0.248,0.246,29660.9577,7345.12609822
1770710400,0.2477,0.2476,0.2485,0.2468,31610.2718,7840.53553618
1770714000,0.2476,0.2462,0.2489,0.2459,140310.589,34587.38625404
1770717600,0.2465,0.2451,0.2467,0.2448,27055.5339,6645.32117591
1770721200,0.2451,0.2426,0.2452,0.2417,37927.0594,9225.53573394
1770724800,0.2429,0.2413,0.2429,0.2406,59078.2702,14288.14436463
1770728400,0.2412,0.2393,0.2414,0.2382,283942.7984,68119.85265041
1770732000,0.2393,0.2303,0.2405,0.2302,329365.0436,77401.45394446
1770735600,0.2303,0.2355,0.2373,0.2289,256438.6033,60086.09267374
1770739200,0.2355,0.2346,0.2362,0.2341,69569.9872,16372.2229583
1770742800,0.2348,0.2348,0.2354,0.233,105167.0356,24655.89795167
1770746400,0.235,0.2327,0.235,0.2288,136532.7799,31589.80480882
1770750000,0.2326,0.2333,0.2338,0.2324,129866.0237,30264.46943793
1770753600,0.2326,0.2338,0.2341,0.2324,109839.0534,25576.04512756
1770757200,0.2336,0.2309,0.2337,0.228,333383.3236,76626.66995406
1770760800,0.2311,0.2314,0.2328,0.2311,30875.2668,7150.37201144
1770764400,0.2316,0.2329,0.2329,0.2314,19220.9427,4461.73350607
1770768000,0.2329,0.2348,0.2348,0.2324,119085.6713,27808.70727735
1770771600,0.235,0.235,0.2357,0.2334,61072.9345,14330.73037434
1770775200,0.2355,0.2348,0.2357,0.2347,42148.4232,9912.41971841
1770778800,0.2348,0.2359,0.2365,0.2331,19930.4984,4674.67241499
1770782400,0.2353,0.2334,0.2353,0.2328,30523.2483,7135.24726377
1770786000,0.2339,0.2321,0.2345,0.2321,46654.4761,10885.20136866
1770789600,0.2317,0.2274,0.2317,0.2265,144515.4144,33117.85043924
1770793200,0.2279,0.2282,0.2285,0.2268,75343.2186,17165.47698946
1770796800,0.2278,0.2271,0.2278,0.2268,49473.5142,11246.29095354
1770800400,0.2269,0.2267,0.2274,0.226,56789.3021,12866.10423328
1770804000,0.2271,0.2264,0.2274,0.2261,28847.2476,6535.55087625
1770807600,0.2269,0.2283,0.2283,0.2265,13761.2986,3127.0048766
1770811200,0.2283,0.2291,0.2296,0.2281,97171.7866,22202.06831801
