time,open,close,high,low,volume,turnover
1775639400,32.83,32.97,32.99,32.8,940.7347,30937.873227
1775640000,32.96,33.13,33.15,32.94,1895.8083,62607.248380000005
1775640600,33.14,33.18,33.24,33.13,1374.6734999999999,45637.325333
1775641200,33.17,33.08,33.17,32.97,1217.7675,40246.934788
1775641800,33.08,33.08,33.1,33.04,1446.048,47832.397302
1775642400,33.08,33.06,33.22,33.06,1571.2133,52042.078369
1775643000,33.06,33.0,33.07,32.99,1011.5604000000001,33387.00412
1775643600,33.0,33.02,33.03,32.87,1708.882,56318.814236
1775644200,33.02,33.04,33.08,32.93,1950.9445,64413.125401
1775644800,33.04,33.02,33.08,32.99,1527.9595,50480.539245
1775645400,33.02,32.95,33.08,32.93,919.5238,30339.437853
1775646000,32.92,33.1,33.1,32.91,1668.0999,55121.446400999994
1775646600,33.1,33.21,33.27,33.1,1267.4553,42082.282217
1775647200,33.23,33.14,33.23,33.11,1167.0012000000002,38695.856175
1775647800,33.14,32.84,33.14,32.77,1113.0446,36669.111544
1775648400,32.86,32.94,32.98,32.85,1315.9005,43312.943666
1775649000,32.95,33.11,33.15,32.93,1829.8314,60483.590376
1775649600,33.1,33.18,33.27,33.1,1715.6232,56957.163268000004
1775650200,33.17,33.28,33.32,33.16,1926.0364,64014.108802
1775650800,33.29,33.4,33.4,33.16,1814.7904,60365.237618
1775651400,33.36,33.33,33.47,33.28,2346.4972,78350.629518
1775652000,33.33,33.36,33.43,33.29,2342.1279,78132.112626
1775652600,33.34,33.11,33.41,33.11,2171.931,72169.170975
1775653200,33.14,33.21,33.35,33.08,1390.9783000000002,46229.997671000005
1775653800,33.2,33.34,33.38,33.06,2591.1827,86045.539833
1775654400,33.33,33.42,33.43,33.19,2196.4239,73150.625523
1775655000,33.42,33.0,33.48,32.98,2805.7335000000003,93045.05829300001
1775655600,33.0,33.29,33.29,32.97,2370.2524000000003,78408.84095700001
1775656200,33.29,33.24,33.41,33.14,2259.4498,75152.573038
1775656800,33.24,33.35,33.49,33.23,2131.8837000000003,71182.867968
1775657400,33.35,33.57,33.9,33.25,2917.1054000000004,97946.93525099999
1775658000,33.57,33.55,33.59,33.36,2051.9164,68745.26185899999
1775658600,33.54,33.04,33.57,32.97,2225.8707,73822.61098
1775659200,33.04,32.59,33.18,32.58,2503.6881000000003,82421.798761
1775659800,32.61,32.63,32.63,32.44,2576.438,83839.60696599999
