time,open,close,high,low,volume,turnover
1744588800,20.63,21.02,21.09,20.57,2030.6209,42271.583284
1744632000,21.03,20.55,21.05,18.81,7048.2555,145345.585924
1744675200,20.54,20.65,20.78,20.5,3192.4483,65904.219481
1744718400,20.68,20.22,20.82,20.22,2530.5828,51907.297015
1744761600,20.24,20.21,20.45,19.95,4331.9364,87413.139352
1744804800,20.2,20.16,20.51,19.95,5772.1213,116912.31712
1744848000,20.16,20.26,20.36,20.08,2174.2967,43968.901465
1744891200,20.28,20.36,20.6,20.04,3885.4644,79012.858215
1744934400,20.41,20.93,20.93,20.28,2893.1421,59337.921229
1744977600,20.94,20.89,21.2,20.73,4055.9841,84912.736156
1745020800,20.89,21.06,21.23,19.98,5711.698,119949.063729
1745064000,21.08,21.07,21.3,21.04,3807.8232,80563.991447
1745107200,21.07,21.19,21.42,20.96,2990.76299919,63507.7261598766
1745150400,21.19,21.25,21.42,21.09,3706.3152,78823.40063
1745193600,21.25,21.41,21.58,21.18,2988.1015,64074.070555
1745236800,21.4,20.98,21.46,20.84,3746.3776,79435.194122
1745280000,20.95,20.89,21.2,18.72,7204.9747,148943.49531
1745323200,20.93,22.16,22.17,20.92,6645.2614,143079.732464
1745366400,22.15,22.38,22.59,22.01,5180.7806,115579.388854
1745409600,22.41,22.37,22.8,22.06,3996.2455,89742.824042
1745452800,22.36,21.88,22.36,21.55,1457.0555,31872.548378
1745496000,21.84,22.21,22.3,21.81,3803.2158,84045.892329
1745539200,22.23,22.59,22.66,21.97,2676.4118,60051.075888
1745582400,22.59,22.38,22.69,22.2,3701.2917,83111.312452
1745625600,22.44,22.24,22.83,22.21,3014.3566,68067.221845
1745668800,22.26,22.58,22.67,22.19,2603.4237,58596.49653
1745712000,22.57,21.74,22.66,21.61,4056.9039,89206.317114
1745755200,21.75,21.35,21.84,21.3,6419.75667072,138236.703151552
1745798400,21.33,24.2,24.98,20.92,37845.3818,895952.580731
1745841600,24.2,23.61,24.46,23.13,12375.0028,294385.213811
1745884800,23.58,23.51,24.12,23.34,3830.445,91109.902084
1745928000,23.47,23.11,23.59,22.85,3771.7946,87829.716294
1745971200,23.13,23.89,24.96,22.87,13493.1696,323404.813952
1746014400,23.87,23.52,23.87,22.8,8017.5676,187202.006278
1746057600,23.44,23.45,23.66,23.14,1933.9131,45272.292923
1746100800,23.5,23.12,23.58,22.99,7673.6961,178419.551062
1746144000,23.12,23.12,23.44,23.02,2727.3933,63298.172537
1746187200,23.12,23.69,24.04,23.03,13111.3881,310306.105358
1746230400,23.72,22.75,23.73,22.75,6717.0557,157050.459772
1746273600,22.79,22.49,23,22.08,5770.9754,129882.050467
