time,open,close,high,low,volume,turnover
1536192000,177.36975,179.3,179.3,160.741729,46.91000198,8032.28925719
1536537600,195.760481,200.718565,205,195.760481,42.7464719,8557.03834866
1582502400,105.8,101,450,80.02,14.4056,1474.843359
1582588800,100.96,94.77,125.42,93.11,12.86962079,1336.5461563992
1582675200,94.26,83.11,94.26,79.71,248.4135056,21383.9970399889
1582761600,80.74,87.76,94.27,80.74,309.7943,28363.820923
1582848000,88.43,88.27,93.46,83.04,769.61580625,67972.0983849538
1582934400,87.91,85.27,90.5,85.01,114.42409708,10201.4320750632
1583020800,84.55,85.18,89.86,83.1,124.68609928,10861.0077467121
1583107200,85.78,90,91.91,84.59,668.67861768,59867.9265590806
1583193600,89.7,88.74,90.98,87.09,541.58137544,48048.723234671
1583280000,88.5,86.85,90,85.44,1045.25290827,91633.5122399655
1583366400,87.38,89.84,92.47,87.38,799.97441238,72491.086996673
1583452800,89.86,93.82,98.37,89.28,1052.04834549,97987.5708820933
1583539200,94,88.09,94.09,87.46,547.42336539,49802.6797160358
1583625600,87.89,73.75,87.89,72.44,2334.25271521,187122.3604422389
1583712000,73.76,73.59,75.5,67.99,2317.15911866,167368.407858655
1583798400,73.48,74.63,76.41,71.52,1171.76607461,86872.8334648285
1583884800,74.55,72.17,75.99,67.2,1103.00235014,79062.966770822
1583971200,72.1,44.22,72.39,41.23,3992.88382859,223564.6854684546
1584057600,44.43,50.85,65.05,31.45,4743.35440492,213073.622742425
1584144000,50.92,45.9,52.44,45.33,991.07303509,47591.3504636516
1584230400,45.73,47.54,50.77,45.46,935.51842598,44376.881436638
1584316800,47.18,43.11,47.62,38.57,1408.22029178,59376.2141680606
1584403200,43.25,45.59,46.72,42.44,897.92221611,40693.0791149431
1584489600,45.54,62.68,62.68,45.13,7142.88260715,382862.0209086584
1584576000,62.39,65.76,71.97,56.68,8364.18683411,531654.7773297958
1584662400,65.73,71.69,77.64,63,4854.39529923,338338.6308856316
1584748800,71.31,71.35,75.48,67.69,2981.81191852,214567.1451065088
1584835200,70.99,62.36,73.5,61.6,1835.86568212,124237.0464793749
1584921600,62.07,70.81,70.98,61.46,1705.99324327,112698.796177677
1585008000,71.04,69.42,71.42,67.32,893.97256775,62120.8175455737
1585094400,69.48,67.92,71.07,66.41,1814.7582285,122272.3473979404
1585180800,68.04,68.29,68.52,66.58,375.87626291,25411.9566036643
1585267200,68.14,67.82,72.89,66.67,1094.15371944,76512.995221773
1585353600,67.4,65.56,67.4,62.13,1134.51490892,72999.9584055518
1585440000,65.45,60.43,65.75,60.43,555.90819602,35103.0285574835
1585526400,60.42,65.94,67.43,60.42,864.0742,56167.068894
1585612800,65.74,65.43,66.38,64.28,382.37832892,24941.5129999031
1585699200,64.92,65.26,66.56,62.44,601.5812207,38823.2981754777
1585785600,66.48,67.74,71.98,65.16,1667.10776478,112866.1255660686
1585872000,67.8,67.32,70.13,66.31,582.67959105,39821.2385113005
1585958400,67.58,68.41,69.35,66.89,541.99183777,37022.0904592689
1586044800,68.51,66.9,68.72,65.81,245.65735493,16542.7063166574
1586131200,66.81,73.07,73.18,66.81,1867.00831716,133263.0339698503
1586217600,73.26,72.14,75.88,68.18,2013.44823962,148136.6381800757
1586304000,72.2,75.56,76.6,71.17,1261.52744784,94002.4845957411
1586390400,75.49,82.79,84.61,74.23,2667.37496221,213388.2929084497
1586476800,82.76,74.08,91.38,69.17,4980.51049202,377038.1021462126
1586563200,74.68,75.01,77.77,73.03,1701.66429451,127809.2306701263
1586649600,75.14,74.15,78.4,72.95,2524.48368081,192248.2540461741
1586736000,73.92,73.09,73.92,69.17,3004.98428069,218127.5490760936
1586822400,73.28,72.26,74.6,71.65,577.94585704,42345.79140366
1586908800,72.13,70.78,73.62,68.69,1183.07624295,84579.0144966313
1586995200,70.61,75.93,80.27,67.69,3037.98869508,224074.5614941421
1587081600,76.06,76.28,78.92,74.68,1129.4150208,85841.9735807901
1587168000,76.81,80.1,80.36,76.55,1449.02824154,114406.6245481672
1587254400,80,80.09,83.44,77.43,1791.45980796,145205.9609895714
1587340800,80.21,74.65,82.82,72.8,3266.03102655,250486.2249321773
