time,open,close,high,low,volume,turnover
1775134800,0.08942,0.08954,0.08961,0.08916,1800462.1219,160876.40646422
1775136600,0.08953,0.08974,0.08983,0.08896,2770409.8715,247615.342824125
1775138400,0.08974,0.0897,0.09006,0.08955,3117161.7709,279882.606277764
1775140200,0.0897,0.0906,0.09117,0.08969,4297809.4934,389512.591477915
1775142000,0.09059,0.09022,0.09072,0.09003,2364136.6119,213694.721075301
1775143800,0.09024,0.09031,0.09057,0.09017,2224153.7925,200896.610086204
1775145600,0.09032,0.09016,0.09045,0.09001,2118023.726,191060.580892404
1775147400,0.09014,0.09012,0.09081,0.09008,2974585.6507,268893.645551428
1775149200,0.09011,0.09061,0.09077,0.08998,2753936.6279,248854.768868585
1775151000,0.09062,0.08973,0.09062,0.0897,2845468.6811,256366.40940572
1775152800,0.08975,0.08969,0.08987,0.08963,2080082.6126,186725.318535297
1775154600,0.08971,0.09015,0.09031,0.08969,2253357.8581,202748.979887813
1775156400,0.09018,0.09011,0.09018,0.08993,1920176.9079,172906.204986013
1775158200,0.09014,0.09026,0.09029,0.08992,2075108.105,187058.50603305
1775160000,0.09027,0.09045,0.09045,0.09007,2056415.9616,185627.546464999
1775161800,0.09045,0.09059,0.09069,0.09037,1643448.0367,148818.817869459
1775163600,0.0906,0.09039,0.09064,0.09022,1880561.853,170056.782629115
1775165400,0.0904,0.09044,0.09051,0.09025,2177250.3443,196821.224780051
1775167200,0.09044,0.0903,0.09059,0.09018,2439069.8949,220530.802296706
1775169000,0.09031,0.09042,0.0905,0.09031,1858562.8868,168063.543060828
1775170800,0.09041,0.09028,0.09044,0.09018,1891153.5174,170806.256627964
1775172600,0.09029,0.09038,0.09042,0.09024,2352510.7566,212523.834013293
1775174400,0.09037,0.09032,0.09051,0.0903,2253906.7538,203815.207194546
1775176200,0.09032,0.09025,0.09041,0.09016,2085826.4615,188282.663575619
1775178000,0.09025,0.09056,0.09063,0.09021,2358044.5856,212966.016883824
1775179800,0.09058,0.09027,0.09074,0.09011,2823847.96515148,255145.920612251218
1775181600,0.09026,0.09025,0.09066,0.08988,2659778.5467,239997.165404544
1775183400,0.09026,0.09034,0.09038,0.08999,2279493.2003,205481.077927644
1775185200,0.09034,0.09032,0.0905,0.09013,1972141.5192,178098.387839574
1775187000,0.09037,0.09057,0.09063,0.09031,2102284.8098,190233.418532056
1775188800,0.09059,0.09037,0.09068,0.09037,1951409.4448,176695.063066939
1775190600,0.09036,0.09063,0.09068,0.09028,2159891.4374,195452.061361154
1775192400,0.09064,0.09086,0.09086,0.09038,2208934.8191,200154.758418984
1775194200,0.09086,0.09113,0.09151,0.09086,2644323.8587,241381.78649418
1775196000,0.09111,0.09093,0.09135,0.09089,2434215.9675,221746.818074511
1775197800,0.09094,0.09117,0.09133,0.09077,2640346.1593,240653.697630374
1775199600,0.09115,0.09108,0.0912,0.09092,2534491.8124631,230808.423639207838
1775201400,0.09108,0.09115,0.09142,0.09101,2439574.1911,222387.548966552
1775203200,0.09116,0.09129,0.09145,0.09116,2558791.1931,233550.739179917
1775205000,0.09129,0.0914,0.09155,0.09123,2150593.9294,196590.453271336
1775206800,0.09141,0.09111,0.09145,0.09102,2361366.9639,215542.105115866
1775208600,0.0911,0.09142,0.09147,0.09106,2034089.879,185766.549185821
1775210400,0.09141,0.09121,0.09166,0.09121,1623679.8473,148439.183463118
1775212200,0.09118,0.09147,0.09158,0.09113,300108.2377,27432.891720291
1775214000,0.09146,0.09146,0.09152,0.09141,606547.343,55479.98135259
1775215800,0.09141,0.09145,0.09148,0.09133,77129.364,7051.860434706
1775217600,0.09147,0.0915,0.09163,0.09119,306683.6162,28015.006234551
1775219400,0.09152,0.09123,0.09219,0.09115,1837452.2868,168427.805790982
1775221200,0.09125,0.09111,0.09127,0.09083,1039497.3377,94641.660973738
1775223000,0.09106,0.09137,0.09142,0.09101,853849.511,77860.036440905
1775224800,0.09138,0.09144,0.09154,0.09126,285739.7027,26107.051418879
1775226600,0.09145,0.09148,0.09176,0.09127,547618.5852,50160.328750356
1775228400,0.09145,0.09192,0.092,0.09139,1808479.4375,166071.533741399
1775230200,0.09192,0.09151,0.09193,0.09144,527515.5694,48322.393309609
1775232000,0.09151,0.09189,0.09189,0.09151,680487.2349,62331.065298088
1775233800,0.09186,0.092,0.09201,0.09168,319746.8912,29388.771365252
1775235600,0.09199,0.09223,0.09242,0.09191,458243.3537,42267.562751481
1775237400,0.09226,0.092,0.09256,0.09189,1869762.845,172692.057499052
1775239200,0.09206,0.09207,0.09241,0.09203,163234.9724,15046.006756548
1775241000,0.09206,0.09179,0.09211,0.09179,349026.0163,32080.565863835
1775242800,0.09181,0.09149,0.09181,0.09121,1833427.1014,167507.789185704
1775244600,0.09149,0.09176,0.09185,0.09148,127965.8862,11740.80513396
1775246400,0.09176,0.09179,0.09196,0.09173,70880.4285,6508.460500247
1775248200,0.09178,0.09194,0.09203,0.09178,228554.7955,21020.168720281
1775250000,0.09196,0.09224,0.09239,0.09194,376178.8407,34688.224860704
1775251800,0.09223,0.09211,0.09233,0.09206,149473.3708,13775.853716764
1775253600,0.09212,0.0918,0.09218,0.09173,192215.5735,17677.63194357
1775255400,0.09183,0.09163,0.09183,0.09153,129924.4681,11914.344548647
1775257200,0.09162,0.09134,0.09162,0.09125,279460.5811,25544.288899172
1775259000,0.09133,0.09154,0.09159,0.09129,183290.8414,16753.976072021
1775260800,0.09154,0.09131,0.09154,0.09131,129276.247,11816.073171319
1775262600,0.09136,0.0914,0.09149,0.09136,55466.4093,5072.04479734
1775264400,0.09136,0.09118,0.09136,0.09114,211951.3111,19330.373411068
1775266200,0.09114,0.09119,0.09132,0.09114,581512.2821,53048.131487936
1775268000,0.09121,0.09107,0.09124,0.09093,207515.75,18899.609695057
1775269800,0.09106,0.09103,0.09113,0.09094,85220.2385,7757.31725327
1775271600,0.09107,0.0912,0.09128,0.09107,127753.2751,11651.782436981
1775273400,0.09122,0.09124,0.0913,0.09119,82239.7695,7503.378036277
1775275200,0.09122,0.0913,0.0913,0.0912,50166.3686,4577.522520272
1775277000,0.09132,0.09133,0.09148,0.0913,85178.452,7786.191927076
1775278800,0.09133,0.09116,0.09133,0.0911,122927.9713,11209.011176586
1775280600,0.09116,0.09115,0.09127,0.09109,100150.9244,9127.907915663
1775282400,0.09112,0.09115,0.09122,0.091,343105.4925,31271.322897975
1775284200,0.09116,0.09144,0.09149,0.09116,166320.1992,15182.054937214
1775286000,0.09144,0.09123,0.09147,0.09117,134470.7267,12269.195652486
1775287800,0.09119,0.09136,0.09139,0.09119,195274.9649,17831.397162155
1775289600,0.09136,0.09124,0.09136,0.09119,40563.5009,3702.129165251
1775291400,0.09125,0.09109,0.09126,0.09103,58340.6923,5313.607595046
1775293200,0.09111,0.09109,0.09114,0.09101,146196.7133,13322.443350833
1775295000,0.09109,0.09093,0.0911,0.09091,161335.2195,14671.370118742
1775296800,0.09093,0.0908,0.09096,0.09076,93331.6996,8477.61565263
1775298600,0.09081,0.09102,0.0911,0.09078,256021.6918,23310.285031035
1775300400,0.09104,0.0911,0.09117,0.09099,232573.2504,21183.573139019
1775302200,0.09111,0.09114,0.09121,0.09109,34248.9504,3120.84192207
1775304000,0.09115,0.09105,0.09116,0.09088,297553.8759,27072.503263871
1775305800,0.091,0.09097,0.09105,0.09087,25487.4633,2318.073300247
1775307600,0.09099,0.09096,0.09105,0.09089,156145.0953,14203.951169979
1775309400,0.0909,0.09102,0.09112,0.09087,510285.9854,46436.929730771
1775311200,0.09103,0.091,0.09109,0.09094,82164.6028,7478.088005608
1775313000,0.09097,0.09109,0.09116,0.09077,525540.6572,47795.704294205
1775314800,0.09114,0.09147,0.09191,0.0911,1847208.63086399,168963.1796697715643
1775316600,0.09152,0.09175,0.09175,0.09149,336530.8252,30831.291535415
1775318400,0.09176,0.092,0.092,0.09153,122638.8571,11244.361869027
1775320200,0.09196,0.0918,0.09211,0.0918,496961.7463,45682.267273017
1775322000,0.09186,0.0924,0.09245,0.0917,685651.9102,63187.354766591
1775323800,0.09245,0.09225,0.09245,0.09218,234494.04655371,21653.2895649231927
1775325600,0.09228,0.09234,0.09247,0.09227,235745.8644,21777.06870489
