time,open,close,high,low,volume,turnover
1760810400,0.19,0.18966,0.19058,0.18828,7891007.0454,1494256.229542078
1760832000,0.18959,0.19011,0.19117,0.18781,7436457.651,1408053.657662171
1760853600,0.19009,0.19334,0.19681,0.18606,36372913.09963323,6962169.065858876638
1760875200,0.19334,0.19674,0.19859,0.19263,28576054.80237775,5624069.6399235429452
1760896800,0.19685,0.19537,0.19761,0.19485,12532003.55047525,2464743.8047763595775
1760918400,0.19534,0.20131,0.20177,0.19168,20495794.584,4039173.38289762
1760940000,0.20136,0.20032,0.2025,0.1996,15302394.9583,3077581.334419321
1760961600,0.20017,0.19813,0.20197,0.19583,29300712.7891,5849988.073460709
1760983200,0.19815,0.20007,0.20077,0.1974,13156722.05162145,2623236.1872887440515
1761004800,0.19998,0.19362,0.20073,0.19281,17671872.563,3458988.402702372
1761026400,0.19363,0.19453,0.19534,0.19212,8764971.0556,1698761.980713891
1761048000,0.19443,0.20141,0.2056,0.19379,32094318.9682991,6442741.755071127523
1761069600,0.20152,0.19423,0.20236,0.19362,18030205.4187,3569561.596818658
1761091200,0.19428,0.1918,0.19541,0.18963,19124392.61662557,3685871.2489916660556
1761112800,0.19181,0.19099,0.19212,0.18652,23824548.09674476,4531198.0363419568368
1761134400,0.19102,0.1904,0.19337,0.18818,24072308.5684,4600288.459571576
1761156000,0.19035,0.18993,0.19223,0.18467,22407063.6209,4224917.870208227
1761177600,0.18996,0.19216,0.1924,0.1896,7628051.0906,1458043.3167733
1761199200,0.19216,0.19335,0.19597,0.19197,12698264.97154212,2466663.8912246299104
1761220800,0.19332,0.19708,0.19742,0.19151,16576103.29789528,3230107.5909863174056
1761242400,0.19714,0.19485,0.19714,0.19243,12550723.2484,2443143.750875639
1761264000,0.1949,0.19786,0.19831,0.19434,8463075.27167234,1660607.8953286862364
1761285600,0.19783,0.19735,0.1985,0.19542,7941474.9298,1565235.935509314
1761307200,0.1974,0.19514,0.20111,0.194,23300822.3664,4585888.642304455
1761328800,0.19514,0.19773,0.19847,0.19497,7753872.6055,1528240.228269233
1761350400,0.19774,0.19903,0.19981,0.19736,6039286.7724,1199210.754734377
1761372000,0.19906,0.1975,0.19937,0.19683,6386195.7424,1264716.279447001
1761393600,0.19749,0.19693,0.19844,0.196,8330517.73479308,1640928.5730583216216
1761415200,0.19688,0.1965,0.19812,0.19632,6006317.0481,1183798.129221289
1761436800,0.19641,0.19588,0.197,0.19467,5805509.1067,1135761.020115998
1761458400,0.19593,0.20184,0.20244,0.1956,11958830.93306862,2381031.9442259383783
1761480000,0.2018,0.20231,0.20384,0.20148,13887458.7532,2811988.258272252
1761501600,0.20232,0.20575,0.2074,0.20032,25733595.76470432,5239844.7805369118
1761523200,0.20573,0.2075,0.20948,0.20523,16883651.6969,3506670.298606689
1761544800,0.20745,0.20333,0.20865,0.20157,22197997.061,4543213.540673546
1761566400,0.20334,0.20532,0.20539,0.20068,15768007.74066487,3202750.6676468702308
1761588000,0.2053,0.2003,0.20573,0.19887,17440495.7793,3522811.462818848
1761609600,0.20035,0.19839,0.20155,0.19815,11367051.4886,2271904.577598253
1761631200,0.19855,0.19984,0.202,0.19848,8618148.36110276,1726329.4549509464268
1761652800,0.19986,0.20227,0.20309,0.19615,18862838.0535,3779161.039507337
1761674400,0.20227,0.19367,0.20238,0.19008,27904936.9863,5421729.22392527
1761696000,0.19351,0.19406,0.19481,0.19268,6436723.75662729,1246626.2765572362581
1761717600,0.19401,0.19547,0.19564,0.19264,11545637.0829,2238547.387408077
1761739200,0.1954,0.19598,0.19729,0.19023,22211496.5489,4292229.173930148
1761760800,0.19604,0.19234,0.19701,0.18711,47436489.3053,9149554.804738707
1761782400,0.19236,0.19119,0.19456,0.18578,18036970.51372054,3428797.9993163523772
