time,open,close,high,low,volume,turnover
1775873400,1.2941,1.2963,1.2965,1.2935,32792.7426,42471.80149978
1775874000,1.2954,1.2954,1.2955,1.2943,77037.28719999999,99773.63043297999
1775874600,1.2956,1.2956,1.2992,1.2949,124159.5072,161021.50899661
1775875200,1.2957,1.2909,1.2963,1.2906,56049.5629,72556.30481689
1775875800,1.2904,1.2924,1.293,1.2904,25269.9111,32638.20290042
1775876400,1.2934,1.2942,1.2942,1.2922,72174.96429999999,93350.82020705
1775877000,1.2947,1.2997,1.3023,1.2947,113831.7672,147995.12155041
1775877600,1.2996,1.3004,1.3028,1.2996,39168.974,50980.07194067
1775878200,1.3003,1.3003,1.3015,1.2994,83226.02189999999,108223.48035326999
1775878800,1.3002,1.2994,1.3016,1.2992,62499.3003,81266.91127767
1775879400,1.2994,1.2952,1.2994,1.2939,53098.8981,68845.47719442
1775880000,1.2951,1.2952,1.2958,1.292,40791.548500000004,52806.84557984
1775880600,1.2951,1.2916,1.2954,1.2914,122210.84820000001,158087.14349007
1775881200,1.2916,1.2912,1.2918,1.2897,174397.7684,225039.47721848998
1775881800,1.2905,1.293,1.2935,1.2899,36157.5068,46703.28091175
1775882400,1.2931,1.2922,1.2934,1.2915,45131.7359,58343.562128820005
1775883000,1.2918,1.2908,1.2924,1.2908,9908.5216,12799.39186656
1775883600,1.2912,1.2858,1.2912,1.2857,51363.0051,66207.27013303
1775884200,1.2857,1.2822,1.2859,1.2803,35498.4954,45523.16864669
1775884800,1.2827,1.2858,1.2864,1.2827,105539.8902,135510.95111964
1775885400,1.2866,1.2877,1.2903,1.2866,111420.35329999999,143547.68774045998
1775886000,1.288,1.2884,1.2902,1.2862,69704.2532,89775.47910808
1775886600,1.2882,1.2857,1.2889,1.2854,67641.0065,87079.92838053001
1775887200,1.2855,1.28,1.2855,1.2792,66724.8628,85540.81699579
1775887800,1.2797,1.2785,1.281,1.2765,132381.2563,169276.81638785
1775888400,1.2787,1.2782,1.2796,1.277,91721.3682,117258.97528479001
