time,open,close,high,low,volume,turnover
1597968000,2,3.0796,14.49,2,110829.15337956,405269.343243008429
1598054400,3.0004,4.5465,4.9999,2.8,563099.68113284,2205202.005876529877
1598140800,4.5465,3.964,4.5465,3.7155,369529.88907742,1500797.052082382254
1598227200,3.9987,4.5632,4.9443,3.8,483308.73030943,2098593.050276121
1598313600,4.5946,5.5486,5.8,4.4874,949960.36752281,4805042.087556313311
1598400000,5.5496,6.0767,6.5631,5.1083,993695.92408549,5830557.649584086827
1598486400,6.0866,5.6445,6.7888,5.2411,1308308.05140759,7775227.606009128877
1598572800,5.6446,6.1666,6.35,5.5077,738261.38627501,4418444.418855114863
1598659200,6.1756,6.1355,6.5524,6.0128,429925.95223753,2703646.158121726151
1598745600,6.1554,5.8812,6.2272,5.709,485553.82447833,2906946.433773003513
1598832000,5.8871,6.2826,6.4597,5.7616,413510.88101042,2538133.638433544514
1598918400,6.2709,6.2515,6.8395,6.1326,637589.86596698,4107893.649817759623
1599004800,6.2434,6.1213,6.44,5.28,1099640.52485901,6627367.734794656747
1599091200,6.1253,5.6679,6.3257,5.5685,1081091.12512489,6489602.966715979501
1599177600,5.6871,5.102,5.9797,4.5,1133773.61511001,5968843.12353462958
1599264000,5.1089,4.1403,5.3116,3.5082,1611078.01635848,6858241.429589505529
1599350400,4.1403,4.7867,4.9139,3.7328,1265449.24871922,5576003.562731821974
1599436800,4.7749,4.593,4.8301,4.01,806708.12019452,3564587.141643962948
1599523200,4.5931,4.2859,4.6263,4.1109,447170.11088844,1937629.404113059389
1599609600,4.2683,4.7026,4.8006,4.1404,399929.75465998,1811570.696007407787
1599696000,4.7046,4.5711,4.8901,4.4388,402839.24441689,1876016.510939943643
1599782400,4.5718,4.6384,4.7346,4.3183,335556.14401144,1512417.512379447061
1599868800,4.6412,5.1479,5.29,4.4958,427051.21825738,2125345.564786383862
1599955200,5.1224,5.3175,5.4709,4.7857,698468.50270793,3561951.049273551278
1600041600,5.3134,5.362,5.5729,5.092,652336.39641451,3486422.510925931729
1600128000,5.3631,5.0575,5.4453,5.05,475411.50360832,2495757.948452463557
1600214400,5.0513,5.0736,5.2789,4.967,330633.65817946,1682884.266908134313
1600300800,5.0771,5.3314,5.4277,5.047,590241.59549129,3101927.698521836965
1600387200,5.3338,5.2551,5.4532,5.0967,333259.16922329,1745337.816387936621
1600473600,5.25,4.9243,5.2506,4.8004,320860.62997438,1606054.498929439015
1600560000,4.92,4.6559,4.9711,4.3838,430724.68907725,2011143.157420854261
1600646400,4.6535,4.0654,4.6937,3.8939,832860.55591327,3478971.325673294796
1600732800,4.0673,4.1647,4.211,3.898,301682.78125118,1232079.941811797975
1600819200,4.1605,4.0068,4.3235,3.9347,370025.53497441,1518891.32012462149
1600905600,4.0207,4.381,4.4694,3.9609,314195.46704498,1333974.795418335137
1600992000,4.38,4.4191,4.5278,4.2457,338783.64067044,1481194.723661515363
1601078400,4.4166,4.3336,4.4776,4.23,201634.93361351,878105.488349637778
1601164800,4.323,4.2969,4.3614,4.1173,140380.94419779,596828.915344388245
1601251200,4.3048,4.4349,4.5865,4.2557,311976.15187796,1384388.273005742753
1601337600,4.4362,4.4832,4.604,4.3443,145274.98333505,650537.337239986452
1601424000,4.4858,4.3521,4.4858,4.233,109064.17507953,475077.394567776119
1601510400,4.3477,4.3424,4.586,4.2486,188420.73097824,829860.29116527002
1601596800,4.3334,4.1153,4.3555,3.8922,298578.50052313,1224954.561055967737
1601683200,4.1059,4.0947,4.1308,4.0296,139317.1850818,571158.707323446681
