time,open,close,high,low,volume,turnover
1770926400,1.2736,1.2589,1.2736,1.2567,7317.3007,9241.23320653
1770930000,1.2597,1.2645,1.2676,1.2591,11121.3632,14053.99764319
1770933600,1.2645,1.2804,1.2804,1.2618,15873.9264,20196.90933556
1770937200,1.2793,1.2833,1.2845,1.2779,16231.9592,20809.53679229
1770940800,1.2811,1.2782,1.2875,1.2727,20220.2474,25884.15608086
1770944400,1.278,1.2727,1.2815,1.2709,12238.8653,15619.33592012
1770948000,1.2743,1.2744,1.2752,1.268,4016.6095,5112.10327523
1770951600,1.2736,1.2715,1.2763,1.2689,1878.1491,2391.40643734
1770955200,1.2692,1.2646,1.2701,1.2643,8042.9507,10180.70237537
1770958800,1.2644,1.2576,1.2644,1.2576,2689.2858,3391.61943494
1770962400,1.2572,1.2673,1.2682,1.2528,10427.1835,13114.55899387
1770966000,1.2671,1.2689,1.2741,1.2656,22950.5332,29152.3188255
1770969600,1.2688,1.2788,1.282,1.2655,29351.4307,37427.6990328
1770973200,1.2766,1.2774,1.2787,1.2727,12010.6437,15326.7412542
1770976800,1.2779,1.281,1.2847,1.2746,16141.6986,20635.21913835
1770980400,1.2809,1.2787,1.2817,1.2746,14098.3958,18012.98633916
1770984000,1.2786,1.2751,1.2786,1.2705,13175.6426,16783.80155441
1770987600,1.2747,1.2838,1.29,1.2718,22823.5782,29228.09469221
1770991200,1.2836,1.2885,1.2991,1.2767,38364.0445,49409.96181177
1770994800,1.2879,1.3077,1.326,1.2872,58832.0671,76844.90668772
1770998400,1.3067,1.3261,1.3364,1.3031,33158.6013,43855.21772104
1771002000,1.326,1.3216,1.3309,1.3192,19400.4838,25686.21082154
1771005600,1.3211,1.3204,1.324,1.3146,23752.5117,31342.84517903
1771009200,1.3209,1.323,1.3266,1.3173,12547.7374,16584.58000784
1771012800,1.3227,1.3278,1.3302,1.3195,20762.9879,27500.64249158
1771016400,1.3281,1.3338,1.3367,1.3275,17361.8813,23117.64278444
1771020000,1.3338,1.3328,1.3412,1.3293,43677.3918,58319.92105402
1771023600,1.3321,1.3311,1.3336,1.3258,15513.8332,20615.74894544
1771027200,1.3301,1.3402,1.3427,1.3295,26890.6951,35922.9123732
1771030800,1.3398,1.3467,1.3517,1.3394,19427.949,26167.66637711
1771034400,1.3465,1.3423,1.3488,1.3413,18216.0044,24506.58343919
1771038000,1.3419,1.3469,1.3489,1.3411,9095.9494,12238.99054549
1771041600,1.3464,1.3457,1.3478,1.3425,8473.3922,11403.76948242
1771045200,1.345,1.3429,1.3508,1.3429,11056.1221,14883.35335063
1771048800,1.343,1.3468,1.3474,1.3389,16147.9258,21669.30011515
1771052400,1.3472,1.3462,1.3529,1.3434,21443.216,28914.3976969
1771056000,1.3459,1.3624,1.3647,1.3459,37914.7785,51494.00673337
1771059600,1.3624,1.3655,1.3669,1.3614,17692.4759,24138.54184794
1771063200,1.3651,1.3592,1.3651,1.3567,31537.1913,42875.94473023
1771066800,1.3592,1.3717,1.3758,1.3573,20065.4902,27423.82042139
1771070400,1.3697,1.3659,1.375,1.3647,15461.3307,21175.14665374
1771074000,1.3658,1.365,1.3692,1.3596,16440.1399,22421.99077352
1771077600,1.3685,1.392,1.3924,1.3674,14924.0467,20615.15698264
1771081200,1.3892,1.3987,1.3987,1.3857,16898.4804,23499.64021721
1771084800,1.3988,1.4067,1.4094,1.3885,24820.4384,34658.68199166
1771088400,1.407,1.4024,1.415,1.4008,14427.2032,20306.44856718
1771092000,1.4012,1.4149,1.4169,1.4009,8479.8861,11972.26273618
1771095600,1.416,1.4261,1.4302,1.411,12117.0856,17217.65039709
1771099200,1.4278,1.4192,1.4299,1.411,21429.414,30394.85102375
1771102800,1.4187,1.419,1.4391,1.4119,97143.954,138839.65900816
1771106400,1.4201,1.4299,1.4389,1.4201,15439.487,22079.74103688
1771110000,1.4282,1.4207,1.4308,1.4179,16554.5635,23537.38881811
1771113600,1.4214,1.415,1.425,1.4094,32901.8387,46594.5954156
1771117200,1.4144,1.416,1.4247,1.4042,15259.9193,21563.49677327
1771120800,1.4169,1.4108,1.4211,1.4001,16843.4142,23791.37003695
1771124400,1.4109,1.4169,1.4169,1.3938,23271.5883,32656.12249242
1771128000,1.417,1.4142,1.4357,1.4142,26490.6688,37651.85382393
1771131600,1.4182,1.4263,1.4299,1.4169,2264.9242,3219.25803787
1771135200,1.4263,1.4238,1.4292,1.416,13021.5798,18550.89449911
1771138800,1.4245,1.4348,1.4374,1.4238,6128.662,8771.56196379
1771142400,1.4367,1.4131,1.4387,1.4065,10344.6383,14669.4854499
1771146000,1.4145,1.4157,1.4232,1.4114,11766.8845,16680.36014892
1771149600,1.4157,1.4081,1.416,1.3977,18740.9893,26337.88916324
1771153200,1.4073,1.4036,1.4127,1.4024,9919.9162,13970.68857786
1771156800,1.4033,1.3646,1.4039,1.3636,46970.1335,65101.85558369
1771160400,1.3655,1.3548,1.3753,1.3504,52417.4951,71464.65847041
1771164000,1.3568,1.3697,1.3705,1.3561,12522.0523,17074.72490491
1771167600,1.3692,1.3666,1.374,1.3635,7329.6073,10042.71063968
1771171200,1.3672,1.3646,1.3678,1.3556,16187.6918,22084.92792211
1771174800,1.3644,1.3462,1.365,1.336,29483.897,39711.49929738
1771178400,1.3437,1.3372,1.3482,1.333,23536.8613,31603.17781265
1771182000,1.3379,1.3403,1.3475,1.331,17535.4133,23486.54210472
1771185600,1.338,1.3492,1.3513,1.3354,33666.322,45374.98085122
1771189200,1.3492,1.3515,1.3571,1.3492,6144.4586,8324.49525426
1771192800,1.3508,1.3574,1.3582,1.35,3702.7978,5013.92054138
1771196400,1.3572,1.358,1.3591,1.3451,8918.5601,12074.27354178
1771200000,1.356,1.36,1.3657,1.3543,3685.5159,5013.03044221
1771203600,1.3623,1.3544,1.3642,1.35,3358.7782,4564.20539542
1771207200,1.3553,1.3495,1.3581,1.3481,17304.832,23443.11900542
1771210800,1.3505,1.3549,1.3551,1.3481,4084.4101,5518.78104194
1771214400,1.3525,1.3659,1.3671,1.3525,5953.2248,8109.68967182
1771218000,1.3673,1.3452,1.3715,1.3411,58819.7665,79266.96725593
1771221600,1.3454,1.3561,1.3607,1.3448,79201.6025,107196.79391263
1771225200,1.3556,1.3512,1.36,1.3481,76550.6006,103624.72816463
1771228800,1.351,1.3559,1.3606,1.3501,78560.0671,106527.48950323
1771232400,1.3558,1.3633,1.3671,1.3549,76635.8529,104288.20703893
1771236000,1.3634,1.3603,1.3653,1.3571,79487.9839,108218.37383592
1771239600,1.3603,1.3556,1.3624,1.3399,91253.6234,123370.54996675
1771243200,1.3551,1.382,1.3825,1.3541,116973.8312,159939.35840218
