time,open,close,high,low,volume,turnover
1774958400,0.1,0.6579,0.7446,0.1,2144938.48,1413864.38703
1775001600,0.6577,0.6523,0.6891,0.6028,1375418.69,877689.14525
1775044800,0.6501,0.693,0.701,0.6167,1601970.91,1066085.912957
1775088000,0.6925,0.684,0.7576,0.6657,1775401.94,1246456.574877
1775131200,0.6844,0.7809,0.7952,0.6691,1691327.07,1238191.886435
1775174400,0.779,0.9048,0.9696,0.7504,1943870.07,1646800.337304
1775217600,0.9048,1.1288,1.19,0.9035,1730585.17,1820784.393176
1775260800,1.1317,0.9363,1.1464,0.9187,1632468.73,1676081.477757
1775304000,0.9399,0.8808,0.957,0.8264,1450323,1270790.978712
1775347200,0.8821,0.9027,0.9533,0.8414,1764727.72,1564402.327444
1775390400,0.9026,0.914,0.9365,0.868,1532265.39,1385598.034247
1775433600,0.9123,0.9081,0.9754,0.8607,1574029.53,1410499.155098
1775476800,0.9071,0.9239,0.9367,0.8801,1252379.96,1134184.217427
1775520000,0.9225,0.956,0.9835,0.9003,1296741.55,1207500.6182
1775563200,0.9553,1.0689,1.1321,0.9432,1383901.77,1467340.967119
1775606400,1.0694,1.0094,1.1556,0.984,1135713.08,1223816.202622
1775649600,1.0094,0.9817,1.0197,0.9311,1290169.02,1269168.674702
1775692800,0.982,0.968,1.0224,0.9444,1019011.75,1001469.014628
1775736000,0.9689,0.974,0.9935,0.9107,1150666.44,1102635.462009
1775779200,0.9729,0.9681,1.0238,0.9617,103066.65,101886.798445
1775822400,0.9663,1.0007,1.0211,0.959,977631.13,966691.925602
1775865600,1.0016,1.0002,1.023,0.9863,1461761.06,1466890.972183
1775908800,1.0007,1.0019,1.0147,0.9798,1551202.28,1544117.878175
1775952000,1.001,0.8996,1.0206,0.8783,1507934.07,1441482.678836
1775995200,0.8991,0.8839,0.9313,0.8631,1939718.22,1748206.932818
1776038400,0.8841,0.8556,0.9116,0.8442,1738854.26,1549419.480326
1776081600,0.8553,0.8548,0.8632,0.8305,350245.47,295608.321943
