time,open,close,high,low,volume,turnover
1774915200,0.1,0.6579,0.7446,0.1,2144938.48,1413864.38703
1775001600,0.6577,0.693,0.701,0.6028,2977389.6,1943775.058207
1775088000,0.6925,0.7809,0.7952,0.6657,3466729.01,2484648.461312
1775174400,0.779,1.1288,1.19,0.7504,3674455.24,3467584.73048
1775260800,1.1317,0.8808,1.1464,0.8264,3082791.73,2946872.456469
1775347200,0.8821,0.914,0.9533,0.8414,3296993.11,2950000.361691
1775433600,0.9123,0.9239,0.9754,0.8607,2826409.49,2544683.372525
1775520000,0.9225,1.0689,1.1321,0.9003,2680643.32,2674841.585319
1775606400,1.0694,0.9817,1.1556,0.9311,2425882.1,2492984.877324
1775692800,0.982,0.974,1.0224,0.9107,2169678.19,2104104.476637
1775779200,0.9729,1.0007,1.0238,0.959,1080697.78,1068578.724047
1775865600,1.0016,1.0019,1.023,0.9798,3012963.34,3011008.850358
1775952000,1.001,0.8839,1.0206,0.8631,3447652.29,3189689.611654
1776038400,0.8841,0.8548,0.9116,0.8305,2089099.73,1845027.802269
