time,open,close,high,low,volume,turnover
1774960200,0.1,0.6416,0.6572,0.1,395657.42,240637.754601
1774962000,0.6431,0.7133,0.7304,0.6227,295971.84,198936.709022
1774963800,0.7143,0.7034,0.7446,0.6944,138872.72,99941.696811
1774965600,0.6981,0.6851,0.702,0.6765,67769.99,46580.994295
1774967400,0.6845,0.6592,0.6863,0.6474,99002.24,66035.405827
1774969200,0.6599,0.6701,0.6757,0.6551,83050.12,55091.6194
1774971000,0.6693,0.64,0.6693,0.64,56028.16,36777.546859
1774972800,0.6425,0.6526,0.6553,0.6336,78489.88,50588.136301
1774974600,0.6513,0.6601,0.6666,0.648,53530.94,35225.805323
1774976400,0.6575,0.6554,0.6646,0.6527,60138.36,39622.915206
1774978200,0.6547,0.6571,0.6607,0.6537,43634.15,28689.574034
1774980000,0.658,0.674,0.6892,0.658,75260.02,50491.358794
1774981800,0.6759,0.6793,0.6837,0.6714,58760.64,39836.867091
1774983600,0.6773,0.6754,0.6842,0.6735,63616.32,43141.722449
1774985400,0.676,0.6705,0.6795,0.6698,61427.61,41488.099895
1774987200,0.6686,0.672,0.6736,0.6647,54926.13,36805.003908
1774989000,0.6729,0.6708,0.6794,0.6666,73699.21,49554.759984
1774990800,0.6705,0.6641,0.6707,0.6613,79795.91,53108.634095
1774992600,0.6636,0.6512,0.6665,0.6505,58877.16,38869.041283
1774994400,0.655,0.657,0.6601,0.6473,55147.34,36089.710441
1774996200,0.6571,0.66,0.6642,0.6566,61163.69,40352.261983
1774998000,0.6599,0.662,0.6647,0.6585,69200.3,45801.151292
1774999800,0.6622,0.6579,0.6629,0.6557,60918.33,40197.618136
1775001600,0.6577,0.6599,0.6624,0.6531,45658.06,30011.239435
1775003400,0.6594,0.6584,0.6621,0.6508,43135.54,28277.968904
1775005200,0.6582,0.6501,0.6596,0.6501,48785.13,31951.350514
1775007000,0.6499,0.6465,0.6565,0.6433,41176.37,26735.515985
1775008800,0.6465,0.6349,0.6466,0.6348,56543.34,36338.146989
1775010600,0.6356,0.6267,0.6481,0.625,66689.22,42368.794755
1775012400,0.6281,0.6339,0.639,0.6281,56914.81,36067.696874
1775014200,0.6336,0.6204,0.6359,0.6204,72705.26,45787.105303
1775016000,0.6199,0.6125,0.6199,0.6105,74340.39,45812.784333
1775017800,0.6132,0.6069,0.6154,0.6055,45222.28,27574.094213
