time,open,close,high,low,volume,turnover
1775641200,0.0933,0.0934,0.0936,0.0931,33833.29,3157.052391
1775641800,0.0934,0.0936,0.094,0.0933,173829.41,16296.5533
1775642400,0.0936,0.0935,0.0943,0.0935,326501.53,30636.193094000002
1775643000,0.0935,0.0937,0.094,0.0935,109857.61,10294.466139
1775643600,0.0937,0.0936,0.0937,0.0934,106241.0,9940.691395
1775644200,0.0935,0.0923,0.0935,0.0923,127941.78,11865.2055
1775644800,0.0924,0.0923,0.0925,0.0922,112746.88,10415.066434
1775645400,0.0922,0.0923,0.0925,0.0922,76613.83,7072.749983000001
1775646000,0.0921,0.0924,0.0924,0.0918,67460.99,6213.770705
1775646600,0.0925,0.092,0.0926,0.092,39943.82,3691.771639
1775647200,0.0921,0.0918,0.0921,0.0915,38140.83,3497.292064
1775647800,0.0917,0.0909,0.0917,0.0906,117000.62,10637.563552
1775648400,0.0908,0.0915,0.0915,0.0908,28162.05,2566.606952
1775649000,0.0915,0.092,0.092,0.0914,36723.55,3367.82437
1775649600,0.0921,0.0917,0.0921,0.0916,149756.12,13744.687538
1775650200,0.0916,0.0921,0.0924,0.0916,71688.34,6593.6525249999995
1775650800,0.0921,0.0917,0.0921,0.0913,107562.25,9855.229616
1775651400,0.0916,0.0918,0.0921,0.0915,178884.74,16422.613237
1775652000,0.0919,0.0915,0.092,0.0914,46178.58,4236.2601460000005
1775652600,0.0916,0.0913,0.0917,0.091,119744.02,10936.054569999998
1775653200,0.0913,0.0915,0.0916,0.0912,88469.82,8084.031745
1775653800,0.0914,0.0919,0.092,0.0912,94094.76999999999,8613.278214
1775654400,0.092,0.091,0.092,0.091,142406.04,13050.019969
1775655000,0.0911,0.0908,0.0913,0.0907,211626.27,19282.599342
1775655600,0.0908,0.0914,0.0914,0.0908,127478.22,11603.543774
1775656200,0.0914,0.0912,0.0915,0.0911,127105.57,11609.684828000001
1775656800,0.0912,0.0907,0.0912,0.0907,80364.75,7312.416523
1775657400,0.0908,0.0905,0.0911,0.0905,125189.92,11373.2628
1775658000,0.0904,0.0903,0.0905,0.0903,86005.89,7773.293246
1775658600,0.0903,0.0897,0.0903,0.0893,177172.73,15903.185868
1775659200,0.0898,0.0898,0.09,0.0894,79663.29,7146.152845
1775659800,0.0898,0.0893,0.0898,0.0892,136404.87,12191.160233999999
1775660400,0.0894,0.0897,0.0899,0.0894,45499.21,4080.696299
1775661000,0.0896,0.0899,0.0899,0.0894,60386.659999999996,5417.132398
1775661600,0.09,0.0899,0.0902,0.0899,56590.6,5093.977448
1775662200,0.09,0.0907,0.0907,0.09,142479.03999999998,12877.250848
1775662800,0.0906,0.091,0.091,0.0905,43923.17,3988.941942
1775663400,0.0909,0.0912,0.0912,0.0906,59391.990000000005,5400.529377
1775664000,0.0912,0.0915,0.0915,0.091,95319.98999999999,8691.634445
1775664600,0.0915,0.0917,0.0918,0.0913,75114.37,6880.520816
1775665200,0.0917,0.0914,0.0918,0.0913,113552.25,10385.201933
1775665800,0.0915,0.0915,0.0916,0.0913,63293.56,5786.782103
1775666400,0.0914,0.0921,0.0921,0.0914,61042.6,5591.764843999999
1775667000,0.092,0.0919,0.0922,0.0918,52531.57,4828.917142
1775667600,0.0919,0.0919,0.092,0.0914,68539.38,6291.852482
1775668200,0.0918,0.0917,0.0918,0.0914,25056.739999999998,2296.412241
1775668800,0.0917,0.0911,0.0917,0.091,51207.0,4681.520022000001
1775669400,0.0911,0.0915,0.0916,0.091,44699.100000000006,4084.572928
