time,open,close,high,low,volume,turnover
1744588800,0.308,0.3187,0.3225,0.3045,3150301.82,983337.803597
1744632000,0.3187,0.2961,0.3205,0.2936,4926712.5,1491308.327453
1744675200,0.2963,0.2975,0.3063,0.2894,3067943.68,909177.575522
1744718400,0.2976,0.2739,0.3049,0.2725,2784745.94,792792.185454
1744761600,0.2735,0.2707,0.2781,0.268,1968499.15,536481.614433
1744804800,0.2707,0.2703,0.2791,0.2615,3779337.78,1025365.279739
1744848000,0.2701,0.2733,0.2795,0.2692,2267457.78,622508.319658
1744891200,0.2737,0.2761,0.2815,0.2675,4608315.77,1265106.317477
1744934400,0.276,0.2823,0.2882,0.275,2407113.6,676947.359705
1744977600,0.2822,0.2814,0.2889,0.278,2052642.51,579980.752817
1745020800,0.281,0.2806,0.2901,0.2797,1716543.38,488510.536437
1745064000,0.2806,0.2852,0.2877,0.2799,1566420.07,445683.113847
1745107200,0.2854,0.2766,0.2913,0.2747,2384498.96,678602.927418
1745150400,0.2765,0.286,0.2906,0.276,1412239.27,400164.694684
1745193600,0.286,0.2984,0.303,0.2851,3631912.88,1081849.793984
1745236800,0.2985,0.2874,0.3051,0.2849,3680363.07,1081989.459524
1745280000,0.2874,0.2967,0.2988,0.2796,2966458.94,863711.701726
1745323200,0.2966,0.3213,0.3234,0.2962,6149649.24,1900631.090972
1745366400,0.3216,0.3453,0.3484,0.3211,6205588.36,2093873.812662
1745409600,0.3456,0.3406,0.3575,0.3291,12364819.55,4274681.085145
1745452800,0.3404,0.3403,0.3435,0.3265,3989358.64,1328372.833517
1745496000,0.3404,0.3567,0.3665,0.3375,7642333.19,2707349.395899
1745539200,0.3565,0.3666,0.3776,0.3491,7152084.98,2605734.107781
1745582400,0.3667,0.3632,0.3727,0.3565,7211757.413135,2618978.100164831
1745625600,0.3631,0.3575,0.3795,0.3557,4580271.23,1686014.933847
1745668800,0.358,0.3648,0.3664,0.351,2362880.79,849848.10948
1745712000,0.3649,0.3533,0.3679,0.3455,1956827.05,693668.585334
1745755200,0.3533,0.344,0.3614,0.3428,3159486.53,1105770.869816
1745798400,0.3442,0.355,0.3597,0.3314,5618507.01139779,1957880.680221098324
1745841600,0.3551,0.3349,0.3554,0.3256,5806635.51,1964372.011456
1745884800,0.3354,0.3265,0.3398,0.3221,4414930.51,1467453.160139
1745928000,0.3269,0.3106,0.3311,0.3034,4877184.43,1558113.851458
1745971200,0.3107,0.3207,0.3224,0.3072,3023634.8,956363.749705
1746014400,0.3205,0.3196,0.3217,0.3025,4375519.23,1364562.111386
1746057600,0.3197,0.3331,0.3366,0.3145,5195960.64,1692705.243827
1746100800,0.3333,0.3223,0.3419,0.3192,6009910.8,1987628.959844
1746144000,0.3222,0.3076,0.329,0.3045,4548468.86847262,1421166.246147999226
1746187200,0.3076,0.3075,0.3175,0.3031,6712603.78,2081781.127953
1746230400,0.307,0.2943,0.3078,0.2933,2959988.99,894126.424989
1746273600,0.2948,0.2915,0.3,0.2878,2999503.87,882935.522699
1746316800,0.2916,0.2907,0.2964,0.2875,3769142.82,1098497.856536
1746360000,0.2906,0.2861,0.2918,0.2828,4312749.67,1241130.870084
1746403200,0.286,0.2805,0.2975,0.2781,5670300.22,1633688.561939
1746446400,0.2806,0.2622,0.2838,0.2604,7295123.68,2016292.329642
1746489600,0.2624,0.2619,0.2704,0.2593,4925255.38,1301935.163006
1746532800,0.2619,0.2698,0.2709,0.2565,4724179.5,1241726.500297
1746576000,0.2703,0.2715,0.2752,0.2673,3465088.52,939764.92836
1746619200,0.2716,0.2673,0.2716,0.2617,3883030.89,1034624.750447
1746662400,0.2676,0.3057,0.3102,0.2673,9961869.15,2944433.313306
1746705600,0.3058,0.3406,0.3516,0.3006,14074244.23,4570880.571196
1746748800,0.3407,0.3752,0.3931,0.3336,24336573.88,8824307.648461
1746792000,0.375,0.3675,0.3956,0.3585,9113536.53,3402143.36865
1746835200,0.3676,0.3698,0.3889,0.358,11131987.31,4181166.555736
1746878400,0.37,0.419,0.4272,0.37,14112380.19,5587577.825504
1746921600,0.4188,0.4142,0.4355,0.3877,13191572.2,5426026.203517
1746964800,0.4144,0.4082,0.4203,0.3932,10775286.85,4383387.471227
1747008000,0.4085,0.4057,0.4394,0.4039,16664677.84,6979956.769173
1747051200,0.4061,0.387,0.4183,0.3699,16979776.79,6775534.949712
