time,open,close,high,low,volume,turnover
1712016000,0.1333,0.774,0.9087,0.1333,77791188.50954401,54859209.028208344
1712102400,0.7759,1.1336,1.346,0.7027,72289151.78966156,72432020.18186536311
1712188800,1.133,0.9715,1.1657,0.91,45003931.71672373,46902338.847183475991
1712275200,0.9714,1.0194,1.0673,0.862,28000246.75709092,26828518.469096379042
1712361600,1.0161,1.0887,1.1945,0.963,20500514.49510394,22287014.543386523555
1712448000,1.0898,1.1874,1.2699,1.0618,20447756.60771427,24208933.305881813137
1712534400,1.1863,1.2933,1.3577,1.0747,22946612.77009294,28405922.054296045328
1712620800,1.294,1.2433,1.4041,1.1938,22356622.70723337,29024931.790159060026
1712707200,1.2402,1.4597,1.5052,1.2251,23933122.94844828,33075321.287721930904
1712793600,1.4601,1.371,1.5207,1.3522,12834352.31982077,18525134.760803143944
1712880000,1.3715,1.2761,1.4804,0.9573,25381663.34444061,32287147.972895984927
1712966400,1.2765,1.0468,1.3402,0.9054,25208382.7392358,28159228.669836421297
1713052800,1.0474,1.2079,1.2209,0.9861,15792224.87354084,17604505.38453437214
1713139200,1.2084,1.0554,1.2084,1.0219,21662350.2496786,24458805.63461004058
1713225600,1.0564,0.9793,1.0775,0.8953,11783795.44570944,11605358.753482415494
1713312000,0.9797,0.9247,1.0561,0.9048,9246229.95586163,9018609.485477767547
1713398400,0.9248,0.9121,0.9497,0.8167,13158267.7296819,11776046.95848385696
1713484800,0.9122,0.9684,1.0429,0.8173,11459966.52573314,10942075.853754501198
1713571200,0.9684,1.0829,1.12,0.949,9171873.33,9484513.539801
1713657600,1.0822,1.0506,1.107,1.0265,4449706.44650061,4758534.190386736182
1713744000,1.0507,1.0488,1.1002,1.0272,4928517.06496742,5226019.387318803898
1713830400,1.049,0.9382,1.0666,0.9316,6509485.64998534,6477709.318501769538
1713916800,0.9383,0.8734,0.9841,0.8606,6435613.53772599,5934321.839651181677
1714003200,0.874,0.8715,0.9054,0.8321,6128500.42,5293382.745938
1714089600,0.8712,0.8243,0.8859,0.8114,5445864.43760271,4589840.58921004388
1714176000,0.8244,0.8397,0.8466,0.7677,8286262.2,6741845.43902
1714262400,0.8403,0.849,0.8951,0.8321,6670742.34,5738117.517657
1714348800,0.849,0.9265,0.9431,0.7758,14005061.53952972,11907194.96464730834
1714435200,0.9266,0.8149,0.9388,0.7919,7719932.02989626,6456605.527501491054
1714521600,0.8139,0.7996,0.8315,0.7328,8990397.1,7077318.431678
1714608000,0.7997,0.7976,0.8317,0.7661,4087715.09,3305169.38961
1714694400,0.7977,0.8517,0.8772,0.783,4521678.09983094,3739121.938802010873
1714780800,0.8515,0.8278,0.8746,0.8231,3348224.92,2818898.086497
1714867200,0.8281,0.8135,0.832,0.795,1766260.51,1427860.549329
1714953600,0.8135,0.8925,0.9344,0.8115,6715395.91589515,5982047.620028792215
1715040000,0.8924,0.9186,1.0048,0.8558,7593687.78999474,7017856.788470235492
1715126400,0.9188,0.8735,0.9525,0.8549,5997519.84983201,5417749.007785253714
1715212800,0.8734,0.8929,0.9097,0.8518,3312725.43,2906706.711405
1715299200,0.8934,0.8474,0.9378,0.8245,3864864.6,3407758.084383
1715385600,0.8474,0.8412,0.871,0.8379,1482794.34,1264564.764069
1715472000,0.8407,0.8302,0.853,0.819,849756.17,712564.728268
1715558400,0.831,0.7671,0.8356,0.7554,3974983.41988009,3152653.460255379019
1715644800,0.7662,0.6937,0.773,0.6721,4287899.19814607,3075283.665157123329
1715731200,0.6936,0.7349,0.7485,0.6662,5357904.48,3818067.836456
1715817600,0.7343,0.6713,0.7545,0.6537,4489659.47,3152085.442579
1715904000,0.6713,0.7201,0.7482,0.6691,4368956.86178035,3134197.7455764415
1715990400,0.7201,0.7546,0.7948,0.71,7216709.96956143,5457228.868181952844
1716076800,0.754,0.7129,0.7571,0.6981,1090850.18,789501.708682
1716163200,0.713,0.8324,0.8484,0.691,3598039.39814167,2729581.876216071022
1716249600,0.8314,0.8869,0.9001,0.8212,4992817.29836127,4309522.068750331384
1716336000,0.8866,0.8533,0.896,0.8043,3381928.44118115,2847875.649135321804
1716422400,0.8534,0.8682,0.9665,0.8313,11086248.53120627,9733265.666538875691
1716508800,0.8673,0.8504,0.9199,0.8334,4209269.67337883,3651675.990054152297
1716595200,0.85,0.9129,0.9527,0.8459,3233101.06530434,2970026.735980437007
1716681600,0.9121,0.9198,0.9716,0.9021,2375600.06594814,2208227.244209163521
1716768000,0.9209,0.9208,0.9552,0.8928,3954861.76417583,3646922.149604037614
1716854400,0.9204,0.8939,0.9266,0.866,2857451.58090566,2559785.345377687268
1716940800,0.8949,0.8365,0.9077,0.8332,2627847.78681891,2257301.657533179264
1717027200,0.8373,0.871,0.9007,0.8143,2568434.84,2212989.475069
1717113600,0.8716,0.8783,0.9094,0.8606,3203766,2831528.786395
1717200000,0.8787,0.91,0.9389,0.874,3084840.61,2776040.072466
1717286400,0.9098,0.92,0.935,0.8795,3641893.93,3325373.269876
1717372800,0.9207,1.0258,1.0411,0.904,6889693.30686198,6700830.844328739888
1717459200,1.0253,0.9778,1.08,0.9388,7546770.65,7459594.122313
1717545600,0.9775,0.9781,0.9965,0.9347,4739555.75,4585824.362239
1717632000,0.9794,0.9509,1.0071,0.9387,3908703.41,3807582.563702
1717718400,0.9513,0.8852,0.9656,0.78,6551474.1608819,5863361.30162820153
1717804800,0.8851,0.831,0.89,0.8147,2265822.9,1933433.081996
1717891200,0.8291,0.8308,0.8394,0.8115,1221045.98,1007481.113027
1717977600,0.8309,0.7703,0.8309,0.7692,2888216.19,2309299.273122
1718064000,0.7705,0.7093,0.7754,0.7014,6341564.91140375,4618187.717048896625
1718150400,0.7097,0.7303,0.8094,0.6845,7026611.62,5173330.595518
1718236800,0.7298,0.6971,0.73,0.6767,3666117.43,2573806.244244
1718323200,0.6971,0.7111,0.7342,0.6575,3348945.88,2353951.02209
1718409600,0.7085,0.7477,0.7495,0.6945,1347178.55476726,980620.143644687124
1718496000,0.7485,0.7669,0.7753,0.7241,2262034.78,1698613.036783
1718582400,0.7669,0.6757,0.7729,0.6649,4324115.97,3061574.436841
1718668800,0.6751,0.6278,0.6751,0.5478,9108862.51596394,5486393.654160731546
1718755200,0.6276,0.6338,0.6865,0.6223,3795660.83,2465806.676071
1718841600,0.634,0.6122,0.6677,0.6008,3947563.63951501,2494651.158297839689
1718928000,0.6122,0.5997,0.6261,0.5945,4813775.07644229,2918702.410308546854
1719014400,0.5997,0.6018,0.6101,0.5856,1148952.70002745,686354.58582856882
1719100800,0.6001,0.5682,0.6118,0.5569,1138368.16,662901.563199
1719187200,0.5683,0.5588,0.5729,0.5119,2855248.65,1564453.504598
1719273600,0.558,0.5726,0.5891,0.5477,2015710.01,1147918.762641
1719360000,0.572,0.559,0.5931,0.5427,2986322.81,1699754.42445
1719446400,0.559,0.5603,0.5925,0.5429,2160583,1225677.190064
1719532800,0.5599,0.5117,0.574,0.5067,2685331.94,1456035.725658
1719619200,0.512,0.4887,0.529,0.4872,1773704.12,898146.558998
1719705600,0.4882,0.5334,0.5406,0.483,1428225.29,726099.979578
1719792000,0.5335,0.505,0.5558,0.5028,1788849.76,942176.320715
1719878400,0.505,0.5131,0.5544,0.4957,2869184.89,1452301.867628
1719964800,0.5128,0.4602,0.5165,0.4529,4557648.33,2162768.771343
1720051200,0.4605,0.4061,0.4686,0.4009,4712246.25,2068852.515731
1720137600,0.4065,0.378,0.4068,0.335,9019977.03,3334022.61811
1720224000,0.3781,0.4123,0.4186,0.368,3052522.07822829,1180737.474981218687
1720310400,0.4123,0.3771,0.4263,0.376,4647359.03956164,1865301.58564543682
1720396800,0.3777,0.4041,0.413,0.349,7553765.81,2920843.253378
1720483200,0.4031,0.4225,0.4251,0.3962,5061067.45,2070713.718174
1720569600,0.4227,0.4152,0.4578,0.4074,5063409.34,2129817.34172
1720656000,0.4147,0.3937,0.4333,0.3908,4277952.87,1763269.045756
1720742400,0.3939,0.3965,0.4019,0.3746,5711326.23,2227714.502716
1720828800,0.3968,0.3994,0.4063,0.3875,3099585.65,1232334.372079
1720915200,0.3995,0.3997,0.4046,0.3801,3413318.7,1341925.334818
1721001600,0.3992,0.4804,0.4946,0.3976,6216758.16,2722349.857809
1721088000,0.4805,0.4635,0.4964,0.4456,5348042.47,2484013.780675
1721174400,0.4637,0.4577,0.4867,0.4522,5008319.82238275,2353978.340435404625
1721260800,0.4576,0.4898,0.4964,0.4512,5186911.24,2444935.436052
1721347200,0.4887,0.4873,0.5134,0.4574,4197404.57,2011350.226235
1721433600,0.4874,0.5016,0.5082,0.4782,3420397.581,1694539.6485457
1721520000,0.5015,0.491,0.5015,0.4544,2927116.21,1410651.405364
1721606400,0.4909,0.4334,0.4943,0.4288,4249740.75,1938406.943443
1721692800,0.4335,0.4562,0.4572,0.4139,8955739.63,3926186.942366
1721779200,0.4559,0.4541,0.5169,0.4426,7054605.47548633,3402998.281876745812
1721865600,0.4538,0.429,0.4646,0.4136,4600342.54184336,1990069.794788008704
1721952000,0.4279,0.4641,0.4896,0.4234,2554065.36,1148306.280576
1722038400,0.4642,0.4683,0.496,0.445,3081869.92,1410630.893995
1722124800,0.4686,0.4484,0.4686,0.4409,1753098.43,793487.482081
1722211200,0.4485,0.4397,0.4756,0.4375,2867065,1312535.116429
1722297600,0.4397,0.4115,0.4477,0.4062,2541941.15,1090207.68146
1722384000,0.4115,0.3996,0.4183,0.3921,3420797.43,1393239.333103
1722470400,0.3994,0.3961,0.4061,0.364,3832524.51,1491587.801051
1722556800,0.3961,0.3519,0.3989,0.3494,4501865.56,1646421.316785
1722643200,0.3518,0.3127,0.3557,0.3106,5733822.77,1932779.294536
1722729600,0.3129,0.2918,0.3244,0.2764,6548626.07,1991103.745922
1722816000,0.292,0.2603,0.2946,0.2261,15291009.91,3862721.753587
1722902400,0.2598,0.2753,0.2897,0.2598,7514522.31,2084653.001074
1722988800,0.2753,0.2613,0.287,0.2567,9700639.21,2642245.857269
1723075200,0.2614,0.3119,0.3142,0.258,6414053.84,1828283.539354
1723161600,0.3119,0.3117,0.3144,0.2991,4707267.31,1444887.909411
1723248000,0.3107,0.3196,0.3349,0.3026,3878697.49,1209080.065129
1723334400,0.3197,0.2933,0.3269,0.2923,3719020.23,1155877.41819
1723420800,0.2936,0.3293,0.3439,0.292,5933478.18,1880079.016484
1723507200,0.3283,0.3403,0.3471,0.3108,3700246.3,1201598.105855
1723593600,0.3404,0.3246,0.3438,0.3183,2435267.14,808308.363272
1723680000,0.3244,0.3041,0.3353,0.2963,2296442.7,722012.432625
1723766400,0.3034,0.2995,0.3099,0.2867,2196121.25506818,656477.309602663112
1723852800,0.2997,0.2986,0.3045,0.2902,2983237.54,887978.674165
1723939200,0.2982,0.2913,0.3056,0.29,4605993.47,1369209.04069
1724025600,0.2913,0.2883,0.2962,0.2726,4981343.83,1424138.247734
1724112000,0.2878,0.2936,0.3048,0.2841,4305653.13,1271069.602512
1724198400,0.2936,0.3036,0.3081,0.2828,4197461.2,1240342.2615
1724284800,0.3039,0.3045,0.3093,0.2968,3742785.49,1133672.758316
1724371200,0.3046,0.3597,0.3647,0.3043,6169341.23,2048695.849633
1724457600,0.3606,0.3695,0.3844,0.3569,4245282.64,1567003.864608
1724544000,0.3693,0.3481,0.37,0.3476,3870761.56,1381553.958903
1724630400,0.349,0.3121,0.3546,0.31,3821728.1,1263331.636265
1724716800,0.3123,0.2723,0.3186,0.266,6008407.81,1766505.956467
1724803200,0.2724,0.2542,0.2859,0.2486,6776929.84,1801178.267132
1724889600,0.2547,0.2415,0.2602,0.2367,7084048.24,1768534.477032
1724976000,0.2414,0.2415,0.2456,0.2258,6756363.80063946,1614934.409922168344
1725062400,0.2415,0.2375,0.2458,0.2323,5319499.06,1275771.533108
1725148800,0.2371,0.2222,0.2403,0.2184,7292976.92,1699867.329476
1725235200,0.2222,0.2384,0.2431,0.2179,8538447.15,1974574.040675
1725321600,0.2383,0.2192,0.2441,0.2184,7964382.23,1836986.323161
1725408000,0.2194,0.2215,0.2277,0.2045,10317660.24,2233048.809621
1725494400,0.2213,0.2075,0.2246,0.2052,10935239.78,2323356.356184
1725580800,0.2076,0.2045,0.2169,0.1939,12026971.12,2501571.039478
1725667200,0.2043,0.2108,0.213,0.2034,9488148.95,1978673.213561
1725753600,0.2105,0.2201,0.2251,0.2095,8379980.18,1801032.494963
1725840000,0.2206,0.2344,0.2376,0.2152,11527153.72578987,2594604.494442356411
1725926400,0.2346,0.2281,0.2352,0.2256,8998656.29,2070050.395756
1726012800,0.2281,0.2116,0.2286,0.2068,4464631.23,958843.310707
1726099200,0.2116,0.2119,0.2177,0.2023,3985604.16,831420.069544
1726185600,0.212,0.2195,0.2234,0.2057,3031634.10280469,650542.911405460679
1726272000,0.22,0.2222,0.2269,0.2184,1743436.42,388698.004784
1726358400,0.222,0.2122,0.2303,0.2098,1779894.59,396747.06009
1726444800,0.2121,0.2097,0.218,0.2064,1848493.25,390498.530091
1726531200,0.2093,0.2278,0.2306,0.2055,2964556.72,644926.934915
1726617600,0.2279,0.2422,0.2424,0.2183,3246568.73,741399.909917
1726704000,0.2425,0.2485,0.255,0.2408,3379423.7,841854.296883
1726790400,0.249,0.26,0.2659,0.2419,3356485.9,866116.696984
1726876800,0.2603,0.2883,0.2896,0.2517,2831315.73112208,760518.520562559488
1726963200,0.2883,0.2741,0.3044,0.2611,3416215.63,947575.898657
1727049600,0.2747,0.2808,0.296,0.2662,2973020.37,837269.248247
1727136000,0.2812,0.3219,0.3298,0.2739,5075306.06,1548457.423516
1727222400,0.3224,0.3132,0.3414,0.3066,5207039.69,1659855.673094
1727308800,0.313,0.3638,0.3784,0.3078,15363068.24,5426455.173872
1727395200,0.3639,0.3593,0.3765,0.3462,5247902.96,1885124.201668
1727481600,0.3599,0.3689,0.3736,0.3478,3608870.83,1299676.861101
1727568000,0.3687,0.3884,0.3984,0.3488,7587020.45,2846669.392032
1727654400,0.3884,0.3668,0.422,0.3647,10204853.75,4017388.540321
1727740800,0.3671,0.3542,0.3967,0.3405,11103569.3,4079344.183129
1727827200,0.3539,0.321,0.3828,0.3201,9379761.28,3283333.966326
1727913600,0.3204,0.2794,0.3336,0.2735,8213201.47,2440515.13058
1728000000,0.2794,0.3097,0.3214,0.278,7615162.08,2261671.25126
1728086400,0.3096,0.2861,0.3217,0.2742,5612796.16917954,1667578.765170814626
1728172800,0.2862,0.2947,0.3024,0.2827,4292833.53,1250319.442848
1728259200,0.2943,0.2845,0.3133,0.2828,7945515.94,2369861.232003
1728345600,0.2848,0.2827,0.2909,0.2687,6588286.49,1852878.517175
1728432000,0.2826,0.2674,0.2895,0.2642,7821189.65989795,2170302.32271211985
1728518400,0.2673,0.2712,0.2794,0.256,6550362.09,1765233.556684
1728604800,0.2709,0.343,0.3468,0.2682,14714808.52,4636837.932671
1728691200,0.3429,0.3292,0.3486,0.323,7530153.81,2512411.039298
1728777600,0.3294,0.3567,0.3685,0.3229,10757763.94,3723947.106118
1728864000,0.3573,0.4102,0.4352,0.3473,15333952.76,6099948.751766
1728950400,0.4102,0.4283,0.4633,0.4017,23039264.28,9931276.397084
1729036800,0.4282,0.398,0.4506,0.3822,12781085.0179576,5286488.54571063512
1729123200,0.3981,0.376,0.4096,0.3737,10449994.94,4107809.744043
1729209600,0.3755,0.4137,0.4406,0.3655,13773043.43,5620541.948693
1729296000,0.4131,0.4014,0.4224,0.3932,7017368.86,2850410.642045
1729382400,0.4016,0.4124,0.4163,0.3872,8700664.50953956,3502995.860865633996
1729468800,0.4122,0.3902,0.4346,0.3877,10230364.49,4189896.990117
1729555200,0.3902,0.3868,0.3969,0.3753,6966660.46333181,2693259.060029753248
1729641600,0.3868,0.3687,0.3896,0.3546,5607007.58,2077641.380313
1729728000,0.3688,0.3911,0.3992,0.3657,7481440.46,2875826.502814
1729814400,0.3916,0.3514,0.395,0.3251,14248294.25,5268231.921231
1729900800,0.3514,0.3578,0.3639,0.3433,5496531.81,1951229.022597
1729987200,0.3581,0.3624,0.3736,0.3455,4212620.38,1496750.560284
1730073600,0.3624,0.3717,0.3776,0.3303,12450820.02,4285516.525549
1730160000,0.3718,0.381,0.3962,0.3671,11405886.99,4384142.836061
1730246400,0.3809,0.3622,0.4059,0.361,11248692.16710187,4318062.09097648816
1730332800,0.3622,0.3626,0.3808,0.3466,9336255.74,3377050.454353
1730419200,0.3623,0.3695,0.3956,0.3487,11976513.59,4444844.79957
1730505600,0.3691,0.3622,0.3834,0.3538,4324136.66,1577126.865388
1730592000,0.362,0.3369,0.3691,0.3166,12728992.16,4329890.508995
1730678400,0.3367,0.3295,0.3586,0.3226,8136840.15,2773335.642584
1730764800,0.3292,0.3514,0.3627,0.3224,7877186.62,2721866.126403
1730851200,0.3515,0.4856,0.4887,0.3515,21081382.39,8715579.152873
1730937600,0.4855,0.5083,0.5508,0.4819,20306090.21174206,10330929.391222843942
1731024000,0.5084,0.4964,0.5374,0.475,13615691.68967263,6835959.559646672064
1731110400,0.4963,0.5491,0.5689,0.4862,16810855.54,8818171.255804
1731196800,0.5491,0.5548,0.5878,0.524,23779186.12,13280107.679462
1731283200,0.5548,0.6352,0.6735,0.5456,36107692.66296121,22136718.033851366498
1731369600,0.6351,0.5916,0.6355,0.555,20704086.06,12395347.366808
1731456000,0.5916,0.5895,0.6498,0.521,20288105.92896386,11495272.33691150862
1731542400,0.59,0.5388,0.6046,0.5282,7650627.44,4255596.569514
1731628800,0.5384,0.5362,0.6018,0.524,19577527.05,10850374.528967
1731715200,0.5358,0.5537,0.577,0.5235,10421858.63,5731671.911879
1731801600,0.5537,0.5538,0.6071,0.5445,15201171.42,8692994.234561
1731888000,0.5542,0.5798,0.6318,0.5467,18674056.32,10884748.206358
1731974400,0.5797,0.5345,0.5809,0.5285,7760076.78,4305161.814616
1732060800,0.5343,0.5159,0.5469,0.5002,8668666.39,4551966.480995
1732147200,0.5156,0.5911,0.6058,0.4966,14111099.98,7887443.895246
1732233600,0.592,0.5956,0.6299,0.5734,12413030.07,7446751.154148
1732320000,0.5959,0.6675,0.6833,0.5888,21658202.56,13989419.929303
1732406400,0.6675,0.6803,0.6871,0.5844,15170503.92,9682671.21223
1732492800,0.6806,0.6309,0.7169,0.611,18419744.88,12176925.707855
1732579200,0.6307,0.6009,0.6494,0.557,17394702.506231,10442333.06308592294
1732665600,0.6004,0.7084,0.738,0.5916,13903813.30992863,9053329.283091155192
1732752000,0.7084,0.7083,0.7635,0.6843,8216763.38,5902971.028163
1732838400,0.7087,0.7893,0.7959,0.6874,4383376.66,3288866.447549
1732924800,0.7881,0.8425,0.8593,0.7712,4934171.86134759,3982301.726063363922
1733011200,0.8419,0.823,0.888,0.8057,4986532.87,4200440.732553
1733097600,0.8236,0.8399,0.8878,0.7841,9700605.82043579,8189942.628052992217
1733184000,0.8378,0.8075,0.8817,0.7554,11671819.14,9510010.663214
1733270400,0.8082,0.9071,0.9686,0.8003,18170993.0534518,16300879.9526576107
1733356800,0.9075,0.9633,0.9987,0.8552,18415442.41,17207181.139251
1733443200,0.9629,1.046,1.0755,0.9525,11498017.21923321,11770469.919493452552
1733529600,1.0469,1.0493,1.147,1.0266,3027123.04996003,3267180.432072769198
