time,open,close,high,low,volume,turnover
1775873400,8.464,8.4751,8.4751,8.4632,98.59949499999999,835.1690905965
1775874000,8.4742,8.4675,8.4742,8.4651,160.240527,1357.0811047619
1775874600,8.4697,8.4582,8.479,8.4581,304.021338,2575.5355215071
1775875200,8.4582,8.4494,8.4582,8.4494,34.282798,289.7319161461
1775875800,8.4492,8.4464,8.4492,8.4441,39.686073,335.2443302043
1775876400,8.4464,8.4498,8.4554,8.4464,83.23630899999999,703.1897389651999
1775877000,8.4539,8.4737,8.4737,8.4539,15.743446,133.3055122402
1775877600,8.4645,8.4612,8.4645,8.4612,31.502608000000002,266.6186433604
1775878200,8.4549,8.4519,8.4549,8.4442,146.491166,1237.7810399256
1775878800,8.4559,8.4624,8.4677,8.4559,22.100529,187.0469840083
1775879400,8.459,8.4563,8.459,8.4486,66.95212,566.0979674161
1775880000,8.4507,8.4554,8.4554,8.442,64.240517,542.6078222332
1775880600,8.4518,8.4153,8.4518,8.4153,89.07149,750.5157550844001
1775881200,8.4203,8.4166,8.4203,8.4166,1.337631,11.259975693300001
1775881800,8.421,8.4448,8.4448,8.421,214.509029,1807.9464193923
1775882400,8.4448,8.4448,8.4448,8.4448,0.0,0.0
1775883000,8.4346,8.4342,8.4346,8.4342,28.06047,236.6788215064
1775883600,8.428,8.4027,8.4282,8.4027,215.24771,1810.7562950735
1775884200,8.4036,8.3786,8.4037,8.3628,454.316237,3807.5348516976
1775884800,8.3778,8.3763,8.3778,8.3746,65.976358,552.6124646944
1775885400,8.3844,8.3788,8.3949,8.3788,36.082833,302.48150306089997
1775886000,8.3864,8.3722,8.3908,8.3722,84.929364,712.1500695338
1775886600,8.3753,8.347,8.3753,8.3336,637.42822,5324.8946987946
1775887200,8.3457,8.3404,8.3496,8.3369,280.737776,2341.8076201232
1775887800,8.3404,8.3533,8.3533,8.3404,32.674934,272.9182009863
1775888400,8.3533,8.3536,8.3536,8.3533,0.2824,2.35905664
1775889000,8.3574,8.3621,8.3621,8.3574,6.113275,51.1048037413
1775889600,8.3621,8.3636,8.3636,8.3621,8.55,71.50878
1775890200,8.3628,8.3692,8.3746,8.3628,115.446075,965.737331717
1775890800,8.3671,8.3638,8.3671,8.3611,140.338727,1173.6977691441998
1775891400,8.3597,8.3574,8.3597,8.3574,2.990351,24.9946343174
1775892000,8.3609,8.3669,8.3669,8.3609,19.96821,167.040279833
1775892600,8.3643,8.3592,8.3643,8.3592,108.372591,906.0730957606
1775893200,8.3636,8.3669,8.3669,8.3628,29.033788,242.8107816778
1775893800,8.3599,8.3653,8.3653,8.3591,15.315072,128.0247200256
1775894400,8.3609,8.3686,8.3686,8.3609,1.5625719999999998,13.074698014400001
1775895000,8.37,8.376,8.376,8.37,4.859398,40.691047398
1775895600,8.364,8.364,8.364,8.364,1.07,8.94948
1775896200,8.364,8.364,8.364,8.364,0.0,0.0
1775896800,8.3616,8.3668,8.3668,8.3616,19.510784,163.18420457119998
1775897400,8.3594,8.3587,8.3594,8.3573,10.786579999999999,90.16609591359999
1775898000,8.3576,8.3501,8.3576,8.3501,30.358702,253.5025052925
1775898600,8.3501,8.3704,8.3803,8.3501,22.09709,185.0146141809
1775899200,8.3702,8.362,8.3702,8.362,25.953795,217.2052112816
1775899800,8.3596,8.3543,8.3596,8.35,10.689619,89.30737581439999
1775900400,8.3543,8.3555,8.3555,8.3543,0.802313,6.7037262715
1775901000,8.3585,8.3629,8.3636,8.3585,71.888392,601.1652765796
1775901600,8.367,8.3629,8.367,8.3628,37.470063,313.3724368687
1775902200,8.3598,8.3517,8.3598,8.3517,5.589144,46.6990141392
1775902800,8.348,8.348,8.348,8.348,1.204579,10.055825492
1775903400,8.3523,8.3499,8.355,8.3499,133.014495,1111.1822028796
1775904000,8.3508,8.3548,8.3558,8.3508,4.122936,34.447497628799994
1775904600,8.3562,8.3603,8.3603,8.3562,43.38217,362.67137588879996
1775905200,8.3572,8.3609,8.3611,8.3572,17.146317000000003,143.3270160687
1775905800,8.3633,8.3663,8.3663,8.3633,9.812622000000001,82.0696894386
1775906400,8.3663,8.3695,8.3695,8.3663,2.916294,24.4052452401
1775907000,8.3623,8.3618,8.3629,8.3575,115.041966,961.5627431053
1775907600,8.3655,8.3649,8.3874,8.3649,602.4121739999999,5046.604153678801
1775908200,8.369,8.3607,8.369,8.3557,60.704785,507.5145113686
1775908800,8.3598,8.3598,8.3598,8.3598,1.295785,10.832503443
1775909400,8.365,8.3581,8.365,8.3581,32.394794,270.886632257
1775910000,8.3481,8.342,8.3481,8.342,7.093667,59.1975564545
1775910600,8.3432,8.3501,8.3504,8.3432,130.402266,1088.4568883136
1775911200,8.3501,8.3124,8.3501,8.3,383.357082,3186.1839141064
1775911800,8.3141,8.2964,8.3305,8.2956,78.055833,648.8901608565
1775912400,8.3027,8.3206,8.3206,8.3027,48.94199,406.9865541957
1775913000,8.3141,8.3143,8.3143,8.2931,84.921622,705.3860124966
1775913600,8.3143,8.3039,8.3143,8.3037,9.103238,75.606091424
1775914200,8.2886,8.2885,8.2929,8.2748,131.186113,1087.0148006315999
1775914800,8.2899,8.3105,8.3105,8.2899,57.401233,476.5862521028
1775915400,8.3112,8.3183,8.3183,8.3112,4.908741,40.8179786652
1775916000,8.3055,8.3168,8.3168,8.3022,14.864819,123.5011513982
1775916600,8.325,8.3116,8.3258,8.3116,33.54106,279.1071686632
1775917200,8.3192,8.3278,8.3278,8.3192,6.636271000000001,55.235834748200006
1775917800,8.3233,8.3137,8.3233,8.3085,172.484932,1433.9277695667
1775918400,8.3141,8.3149,8.3149,8.3141,4.094627,34.0451105647
1775919000,8.3196,8.3272,8.3272,8.3196,23.014998,191.59966839199998
1775919600,8.3296,8.3404,8.3404,8.3296,8.376556,69.8178994102
1775920200,8.3404,8.329,8.3511,8.329,191.610195,1597.2933585279
1775920800,8.3416,8.3433,8.3433,8.3416,22.292869,185.9607973071
1775921400,8.3418,8.337,8.3418,8.3365,135.296066,1128.1367433132
1775922000,8.337,8.337,8.337,8.337,0.0,0.0
1775922600,8.337,8.337,8.337,8.337,0.0,0.0
1775923200,8.3364,8.3272,8.3364,8.322,5.353053,44.567974262300005
1775923800,8.3289,8.3416,8.3418,8.3289,11.450836,95.4889817402
1775924400,8.3416,8.3416,8.3416,8.3416,0.0,0.0
1775925000,8.3293,8.3358,8.3358,8.3293,4.572119,38.0995276492
1775925600,8.3357,8.372,8.3901,8.3357,123.896665,1036.9097501578
1775926200,8.3728,8.3625,8.3728,8.3625,5.854531,48.9780081999
1775926800,8.3719,8.3533,8.375,8.3525,162.296059,1356.5895845209002
1775927400,8.3443,8.3392,8.3443,8.3392,77.109023,643.4068674307
1775928000,8.3417,8.3572,8.3572,8.3417,32.860744,274.5042956511
1775928600,8.3622,8.3934,8.3974,8.3612,138.881619,1165.5089465960998
1775929200,8.3853,8.3769,8.3905,8.3769,112.618236,944.5077623740001
1775929800,8.3834,8.3803,8.3869,8.3803,7.15489,59.9774898263
