time,open,close,high,low,volume,turnover
1744848000,1577.29,1593.29,1610.52,1574.75,24299.60630498,38719159.0373383658
1744891200,1593.32,1583.74,1616.69,1563.27,33380.1210303,53161503.6664920265
1744934400,1583.74,1590.62,1592.88,1573.66,17443.85394943,27620732.3947738532
1744977600,1590.63,1588.8,1600.59,1579.25,18618.53093876,29615441.313029303
1745020800,1588.8,1596.96,1613.37,1585.17,17426.76636561,27862531.7169242061
1745064000,1596.97,1613.16,1631.64,1595.3,22148.88322123,35692800.8918279587
1745107200,1613.15,1572.66,1619.4,1565.8,23912.28096061,38127196.8670913679
1745150400,1572.63,1587.4,1600.78,1571.11,20129.3623526,31839851.8833507722
1745193600,1587.4,1626.51,1659.28,1586.03,44102.45701186,72064266.9993339718
1745236800,1626.5,1579.52,1641.72,1563.57,39527.89299541,63155813.8830112419
1745280000,1579.52,1631.09,1638.35,1538.01,42706.16946002,68123084.3672799428
1745323200,1631.08,1756.41,1778.32,1626.77,66410.6983045,112855450.8791903381
1745366400,1756.42,1797.25,1818.09,1745.38,46736.96452275,83559360.2576008502
1745409600,1797.25,1795.22,1835.51,1761.61,50860.3390604,91393823.9936660605
1745452800,1795.22,1755.01,1802.79,1723.01,35816.97677601,63091037.5261141276
1745496000,1755.01,1769.49,1777.68,1744.65,35399.94634038,62374347.6523380649
1745539200,1769.56,1790.32,1793.3,1738.89,27474.52892594,48627325.4810640687
1745582400,1790.32,1784.56,1827,1757.15,43477.00981146,78053958.6250899574
1745625600,1784.66,1785.64,1841.16,1778.93,31410.08712331,56654863.6407259692
1745668800,1785.76,1820.82,1831.3,1780.3,24975.02464606,45050863.842237313
1745712000,1820.83,1806.03,1857.37,1790.29,42353.33345083,76746524.0945698423
1745755200,1806.02,1791.32,1808.8,1782.1,45143.28140506,81141681.1018351022
1745798400,1791.32,1815.93,1827.75,1752.3,76848.31853854,137820263.4130376499
1745841600,1815.94,1799.77,1816.9,1744.46,71151.67702176,126961803.006972677
1745884800,1799.78,1829.72,1842.88,1788,60590.75923436,109832800.6026235556
1745928000,1829.72,1798.09,1833.18,1780.62,67525.91629338,122474558.4185323398
1745971200,1797.7,1815.64,1816.54,1789.01,48118.32633155,86789969.468766738
1746014400,1815.64,1793.66,1816.31,1732.02,66583.91615427,118310869.6734059253
