time,open,close,high,low,volume,turnover
1775641200,0.2571,0.258,0.2581,0.2562,39341.31,10115.19466181
1775641800,0.2579,0.256,0.2583,0.2559,102415.9993,26333.41955212
1775642400,0.2564,0.2573,0.2581,0.2561,152534.299,39191.830168889996
1775643000,0.2572,0.2551,0.2578,0.2544,73768.3505,18878.31057421
1775643600,0.2552,0.254,0.2552,0.2539,13828.8642,3519.97123948
1775644200,0.2541,0.2528,0.2541,0.2525,127414.0235,32256.29624834
1775644800,0.2528,0.2531,0.2535,0.2526,88523.4062,22401.603590259998
1775645400,0.2531,0.2511,0.2535,0.2511,104195.5062,26292.92497298
1775646000,0.251,0.2506,0.251,0.2494,163297.6066,40845.67458636
1775646600,0.2504,0.2522,0.2524,0.2502,112961.04440000001,28382.206587959998
1775647200,0.2519,0.2526,0.2526,0.2515,93107.93029999999,23496.66499517
1775647800,0.2523,0.2508,0.2525,0.25,65331.95969999999,16415.60791472
1775648400,0.2507,0.2507,0.2511,0.25,53039.5833,13289.53301019
1775649000,0.2507,0.2508,0.2511,0.2505,113247.5586,28412.39306566
1775649600,0.2509,0.2515,0.2518,0.2505,85852.8383,21570.85356278
1775650200,0.2513,0.2521,0.2526,0.2509,85041.2688,21427.04293141
1775650800,0.2521,0.2528,0.2537,0.2515,142388.3837,35994.31089436
1775651400,0.2529,0.254,0.2544,0.2527,74992.201,19000.448919820003
1775652000,0.2537,0.2543,0.2551,0.2534,204926.8946,52065.9154429
1775652600,0.2544,0.2549,0.2557,0.2544,96610.7995,24650.98697491
1775653200,0.2549,0.2564,0.2575,0.2549,105601.8158,27061.88739568
1775653800,0.2563,0.2555,0.2563,0.2549,179451.8171,45820.01219692
1775654400,0.2556,0.2561,0.2561,0.255,96843.5329,24757.19690448
1775655000,0.2561,0.2526,0.2564,0.2526,216956.47739999997,55104.2232629
1775655600,0.2527,0.2533,0.2537,0.2521,154682.9249,39126.15345275
1775656200,0.2534,0.2522,0.2539,0.2516,174541.9381,44072.12410947
1775656800,0.2522,0.25,0.2522,0.2494,127624.33929999999,32022.69190298
1775657400,0.2498,0.2485,0.2517,0.2485,131330.7451,32870.54738415
1775658000,0.2486,0.2485,0.2491,0.2476,107017.45199999999,26588.95720021
1775658600,0.2487,0.2473,0.2487,0.246,305673.4343,75493.87355306
1775659200,0.2474,0.2481,0.2485,0.2473,101744.29149999999,25224.082754119998
1775659800,0.2482,0.2474,0.2482,0.2464,138620.36479999998,34277.97970413
1775660400,0.2471,0.2482,0.249,0.2471,121585.1763,30207.75820616
1775661000,0.2479,0.2496,0.2498,0.2478,68804.7967,17102.33153633
1775661600,0.2494,0.2486,0.2494,0.2485,75597.19750000001,18832.17381222
1775662200,0.2485,0.2498,0.2501,0.2483,72427.67,18059.19469304
1775662800,0.25,0.2494,0.25,0.2485,38211.4937,9519.59707233
1775663400,0.2495,0.2486,0.2497,0.2484,72649.30529999999,18068.1997652
1775664000,0.2492,0.2506,0.2508,0.2491,93358.8509,23347.43924483
1775664600,0.2507,0.2504,0.2507,0.2494,128716.125,32177.05036321
1775665200,0.2504,0.2496,0.2506,0.2495,93418.9124,23364.26492904
1775665800,0.2494,0.2482,0.2495,0.248,133655.1742,33250.01143608
1775666400,0.2484,0.2483,0.249,0.2479,222898.8689,55375.85388035
1775667000,0.2482,0.2499,0.2501,0.248,113601.5799,28323.66818401
1775667600,0.2499,0.2483,0.2501,0.2483,146870.7919,36584.82678771
1775668200,0.2485,0.2473,0.249,0.2472,95322.43729999999,23663.893515210002
1775668800,0.2473,0.2463,0.2473,0.2459,100913.8367,24892.38240909
1775669400,0.2463,0.2467,0.2478,0.246,113854.8908,28069.68810408
1775670000,0.2468,0.2466,0.2471,0.2461,196453.8581,48446.69726357
