time,open,close,high,low,volume,turnover
1676851200,0.38,0.4183,0.4264,0.38,387749.6525,162548.68453951
1676937600,0.4186,0.4335,0.5457,0.415,4437542.5336,2047676.10440981
1677024000,0.4345,0.4386,0.4599,0.38,1382331.3333,582151.14741876
1677110400,0.4388,0.4373,0.483,0.4266,1034881.5473,462594.01056263
1677196800,0.4372,0.477,0.485,0.4303,2292947.2633,1051437.83542057
1677283200,0.4767,0.4268,0.4823,0.4053,1447128.6348,629006.92508867
1677369600,0.4261,0.4338,0.4371,0.417,913602.2898,391237.04692422
1677456000,0.4341,0.4355,0.4837,0.4214,1004137.1382,439142.46720583
1677542400,0.4371,0.4392,0.4914,0.4321,3294764.22583,1496143.195313042
1677628800,0.4392,0.4837,0.4935,0.4392,2807483.6625,1329661.66283877
1677715200,0.4841,0.4687,0.4874,0.4487,1728009.18867221,801817.706413127672
1677801600,0.4689,0.4395,0.4698,0.4008,2844768.9342,1217731.25315567
1677888000,0.4403,0.4297,0.4524,0.4082,1472860.8567,634244.7321216
1677974400,0.4298,0.4314,0.4445,0.4239,1100938.0428,477845.52599252
1678060800,0.4304,0.4194,0.4315,0.4116,649328.6224,273582.27605315
1678147200,0.4193,0.3999,0.4263,0.3858,1526758.5947,616960.94811627
1678233600,0.4008,0.3477,0.405,0.3393,1323103.8668,489880.54358805
1678320000,0.3474,0.3201,0.3723,0.3131,3253384.0669,1109039.27976954
1678406400,0.3198,0.3342,0.3378,0.2961,4616162.0187,1492714.39633905
1678492800,0.3341,0.3151,0.3417,0.3024,2762580.6054,879547.09963258
1678579200,0.3148,0.38,0.3856,0.3083,2706995.248,903639.3841644
1678665600,0.3799,0.3892,0.4,0.3539,4922486.2301,1878942.86782649
1678752000,0.389,0.4503,0.4824,0.3745,9461916.8923,4135633.60366158
1678838400,0.4496,0.4101,0.48,0.3771,11097469.1951,4774011.94544777
1678924800,0.4101,0.4214,0.4372,0.3958,6385916.365,2686595.60626576
1679011200,0.4213,0.4508,0.4508,0.4103,5825309.9965,2519108.88116324
1679097600,0.4507,0.4165,0.4648,0.4126,7760901.4663,3422789.20346898
1679184000,0.4169,0.4196,0.435,0.4121,3672529.3151,1552765.8967335
1679270400,0.4196,0.3923,0.422,0.3827,4231035.7527,1696827.03092956
1679356800,0.3923,0.3967,0.4147,0.3791,2373146.7417,938481.7449773
1679443200,0.3963,0.3794,0.4033,0.3594,4163172.1071,1603695.08248907
1679529600,0.3793,0.3869,0.3929,0.3734,2131206.787,816490.4587106
1679616000,0.3882,0.3678,0.3882,0.3588,1801917.4749,669409.78556213
1679702400,0.3676,0.3637,0.3772,0.3573,882607.38408763,322850.430082436488
1679788800,0.3635,0.3724,0.3783,0.3608,887371.713,329392.75612032
1679875200,0.3724,0.3467,0.3737,0.3338,1891633.3333,663684.37019351
1679961600,0.3461,0.3555,0.3588,0.333,1854084.6516,641131.56370354
1680048000,0.3552,0.3848,0.4008,0.354,4120982.198,1559867.58506672
1680134400,0.3852,0.3646,0.3898,0.3556,2205249.3755,820145.18364174
1680220800,0.3652,0.3667,0.3706,0.3543,1375976.8793,500528.91018775
1680307200,0.3669,0.3627,0.3763,0.3583,771493.3842,281121.43901715
1680393600,0.3631,0.349,0.364,0.3433,767010.5508,271225.06883218
1680480000,0.3493,0.3511,0.3602,0.3368,2575576.9006,901281.7945198
1680566400,0.3512,0.3611,0.3633,0.3449,2723184.9373,967554.12369062
1680652800,0.3606,0.364,0.375,0.3526,2722742.4283,990186.16202526
1680739200,0.364,0.3523,0.3648,0.3488,1189794.9805,423237.70319591
1680825600,0.3525,0.3446,0.3537,0.3417,950374.6818,328655.19317044
1680912000,0.3447,0.3391,0.3478,0.3355,1659631.5185,564278.93911822
1680998400,0.3393,0.3438,0.3521,0.3255,1869504.6833,634236.56367891
1681084800,0.3437,0.3557,0.3577,0.3364,2349433.1357,812605.44511668
1681171200,0.3558,0.3524,0.3643,0.3507,2923830.3276,1043169.68850677
1681257600,0.353,0.3416,0.3539,0.3321,2648448.8499,903359.82420136
1681344000,0.3418,0.3617,0.3644,0.3379,7246813.1951,2559697.28394467
1681430400,0.3617,0.405,0.4145,0.3608,22923804.2092,8913326.3779803
1681516800,0.405,0.4071,0.4254,0.3913,12742441.4407,5230854.03697514
