time,open,close,high,low,volume,turnover
1770692400,0.1611,0.1596,0.1611,0.1583,148477.714,23676.87019549
1770696000,0.1595,0.1603,0.1604,0.1595,40865.3763,6539.61189754
1770699600,0.1603,0.1585,0.1603,0.158,51183.5111,8140.01232426
1770703200,0.1584,0.1564,0.1588,0.1562,181932.8719,28640.94919073
1770706800,0.1566,0.1566,0.1576,0.1563,88408.4509,13856.6002063
1770710400,0.1567,0.1577,0.158,0.1567,63449.2706,9981.74816189
1770714000,0.1576,0.1574,0.1584,0.1571,64194.3579,10123.16235469
1770717600,0.1575,0.1564,0.1577,0.1562,99314.1706,15563.6052162
1770721200,0.1564,0.1567,0.1576,0.1563,496300.8418,77823.81419852
1770724800,0.1567,0.156,0.1571,0.1558,43909.3564,6872.12710034
1770728400,0.1559,0.1562,0.1569,0.1556,87959.7383,13740.47297431
1770732000,0.1564,0.1558,0.1577,0.1548,251444.3674,39386.74956774
1770735600,0.1557,0.1565,0.1574,0.1551,62605.4652,9804.05765507
1770739200,0.1566,0.157,0.1578,0.1558,59200.5831,9261.89804668
1770742800,0.157,0.1576,0.1584,0.1565,116909.8328,18379.05845085
1770746400,0.1579,0.1557,0.1581,0.155,92234.33802746,14487.003238995522
1770750000,0.1557,0.156,0.1564,0.155,242607.8877,37791.17589645
1770753600,0.156,0.1568,0.1571,0.1557,34771.8009,5440.11501875
1770757200,0.1567,0.1564,0.157,0.1558,23213.2613,3635.06680419
1770760800,0.1564,0.1568,0.1577,0.1563,42235.6563,6630.23254365
1770764400,0.1567,0.1567,0.157,0.1562,83464.6589,13058.74640867
1770768000,0.1569,0.1581,0.1584,0.1568,79335.4984,12495.6002879
1770771600,0.158,0.1583,0.1583,0.1577,66263.8054,10462.87596203
1770775200,0.1584,0.157,0.1588,0.1569,63083.4956,9940.09279745
1770778800,0.1569,0.1563,0.1574,0.1553,74419.852,11639.73220925
1770782400,0.1563,0.154,0.1565,0.1532,476372.821,73494.18759235
1770786000,0.1542,0.1534,0.1546,0.1532,30735.6249,4728.65937992
1770789600,0.1533,0.1522,0.1536,0.1517,148455.3646,22609.43486128
