time,open,close,high,low,volume,turnover
1775839500,0.9103,0.9103,0.9113,0.91,22603.2178,20579.77110711
1775839800,0.9106,0.911,0.9113,0.91,17057.9508,15533.87088605
1775840100,0.9113,0.9101,0.9113,0.91,22878.9511,20834.08088316
1775840400,0.9102,0.9098,0.9102,0.9081,17203.261,15646.34910179
1775840700,0.9097,0.9093,0.9102,0.909,18352.8634,16693.00089666
1775841000,0.9096,0.9101,0.9102,0.9092,23511.0527,21387.91296355
1775841300,0.9096,0.909,0.91,0.9086,21920.0781,19937.38480169
1775841600,0.9092,0.909,0.9096,0.9086,16298.631,14815.64816845
1775841900,0.9087,0.9088,0.9092,0.9081,19534.76,17753.69393847
1775842200,0.9088,0.9087,0.9099,0.9082,46818.2846,42548.92236966
1775842500,0.9086,0.9075,0.9088,0.9058,49939.0911,45298.29336735
1775842800,0.9078,0.9084,0.9088,0.906,16496.1423,14971.73979808
1775843100,0.9084,0.9092,0.9092,0.9078,17911.4886,16271.98615984
1775843400,0.909,0.9098,0.9113,0.9087,17989.9445,16379.83051118
1775843700,0.9101,0.9099,0.9109,0.9098,8872.6259,8075.05345813
1775844000,0.9104,0.9095,0.9107,0.909,19891.6387,18099.55504495
1775844300,0.9095,0.9108,0.9108,0.9094,8538.27,7769.43983356
1775844600,0.9111,0.9137,0.9137,0.9109,24961.2192,22773.68031024
1775844900,0.9134,0.9124,0.9152,0.9124,50139.0774,45809.81271237
1775845200,0.9125,0.9125,0.9133,0.912,38319.7529,34973.77489487
1775845500,0.9126,0.9138,0.9144,0.9116,34457.7844,31454.24731159
1775845800,0.9137,0.9129,0.9149,0.9128,26168.5101,23918.81408517
1775846100,0.9128,0.9127,0.9139,0.9127,1574.0827,1437.37584283
1775846400,0.9123,0.9109,0.9123,0.91,8015.6862,7303.56181467
1775846700,0.912,0.9127,0.9127,0.912,96.1241,87.73172561
1775847000,0.9116,0.9136,0.9136,0.9116,1831.0722,1672.35456317
1775847300,0.914,0.9131,0.9143,0.913,35508.4547,32440.47842246
1775847600,0.9132,0.913,0.914,0.9123,50411.7229,46040.50398082
1775847900,0.9134,0.9144,0.9154,0.9131,47237.004,43199.19493244
1775848200,0.9144,0.9161,0.9166,0.914,43996.5426,40278.16519232
1775848500,0.9163,0.9141,0.9164,0.9138,45555.4025,41678.79675085
1775848800,0.914,0.9143,0.9145,0.9131,48988.7578,44777.03048673
1775849100,0.9143,0.9145,0.9153,0.9138,50773.9683,46436.89276795
1775849400,0.9145,0.9143,0.9152,0.9133,46336.142,42369.53031757
1775849700,0.9143,0.9138,0.9144,0.9133,45038.0838,41162.96012069
1775850000,0.9142,0.915,0.915,0.9138,42506.6099,38857.02457558
1775850300,0.9149,0.9147,0.915,0.9139,26586.5732,24315.56645586
1775850600,0.9147,0.9153,0.9159,0.9147,38976.6845,35679.31887183
1775850900,0.9151,0.916,0.9169,0.9149,38243.4855,35013.29703676
1775851200,0.9161,0.9165,0.9169,0.9156,33191.4797,30411.58870096
1775851500,0.9166,0.9172,0.9173,0.9156,29080.4788,26650.32460423
1775851800,0.9175,0.918,0.9183,0.9168,31881.2595,29248.61176167
1775852100,0.9178,0.9177,0.9184,0.9166,32441.734,29762.09635887
1775852400,0.9177,0.9158,0.9178,0.9155,27535.8153,25232.2378644
1775852700,0.9159,0.9158,0.9164,0.9156,30194.0212,27656.388654
1775853000,0.9157,0.9156,0.9168,0.9152,29182.279,26733.52018214
1775853300,0.9158,0.9121,0.9158,0.9114,39492.4784,36053.03556335
