time,open,close,high,low,volume,turnover
1760551200,1.6125,1.6048,1.6255,1.5772,101510.2561,162647.00924698
1760572800,1.6035,1.5924,1.6165,1.5815,31319.7552,50139.12416574
1760594400,1.5938,1.6005,1.6137,1.5322,312559.9220088,488658.861264684272
1760616000,1.5991,1.537,1.6117,1.514,244855.8462,380432.46014921
1760637600,1.5393,1.4944,1.5393,1.463,183167.2085,275209.40328711
1760659200,1.4914,1.4859,1.5153,1.4822,166571.8901,248757.12639286
1760680800,1.486,1.4437,1.4897,1.3762,531164.459,753838.25697028
1760702400,1.444,1.4658,1.4809,1.422,138536.6442,200840.05014105
1760724000,1.4655,1.4643,1.4853,1.451,95292.0751,139793.99864945
1760745600,1.4652,1.4837,1.5048,1.4639,69739.9248,103547.36784848
1760767200,1.4837,1.5007,1.5066,1.4741,71224.3018,106202.77830794
1760788800,1.5,1.4975,1.5105,1.4784,82591.6947,123701.9948055
1760810400,1.4962,1.4933,1.5014,1.4898,11977.7212,17897.73898332
1760832000,1.4946,1.4898,1.5134,1.48,30391.9716,45482.00521143
1760853600,1.4898,1.5145,1.5319,1.4698,146149.76459326,219152.634107977346
1760875200,1.5144,1.5352,1.5561,1.503,101337.1046,155415.95648543
1760896800,1.5364,1.5323,1.5534,1.5297,34212.5216,52777.75466488
1760918400,1.5335,1.5738,1.5808,1.5015,66790.792,102567.09522405
1760940000,1.5771,1.618,1.618,1.5746,54288.174,86721.09655424
1760961600,1.6171,1.576,1.6293,1.5622,137101.3186,218217.36775388
1760983200,1.5778,1.5803,1.6015,1.573,36876.9611,58641.33400212
1761004800,1.5796,1.5241,1.5845,1.5178,70149.8708,108843.15527277
1761026400,1.5247,1.5595,1.58,1.5217,86639.4953,134558.78816547
1761048000,1.5553,1.6409,1.6522,1.5452,617783.4727,1003764.88499948
1761069600,1.6417,1.5638,1.6463,1.5549,86982.1352,139687.67736741
1761091200,1.5612,1.545,1.5748,1.5323,97902.8641,152359.27390634
1761112800,1.5427,1.5241,1.547,1.4937,82401.4416,125213.24271482
1761134400,1.5232,1.5295,1.5576,1.5218,85943.191,132121.17250939
1761156000,1.5284,1.5224,1.5399,1.4603,246990.2874,368177.50681094
1761177600,1.5183,1.5342,1.5419,1.5168,63590.5278,97100.08884668
1761199200,1.5357,1.5466,1.5554,1.5343,58583.5057,90705.47045151
1761220800,1.5428,1.5752,1.5782,1.5316,67794.4082,105622.48048979
1761242400,1.5762,1.5552,1.5762,1.5379,45726.1742,70881.17075876
1761264000,1.5567,1.5743,1.5813,1.5479,45489.3749,71017.55750099
1761285600,1.5725,1.5614,1.5792,1.5441,414503.0653,648963.60552407
1761307200,1.5621,1.5446,1.5961,1.5324,207863.2881,325397.81763285
1761328800,1.5449,1.5683,1.5753,1.543,42102.5794,66006.6305151
1761350400,1.569,1.5566,1.5783,1.5528,36601.1008,57314.34196125
1761372000,1.5573,1.5535,1.5611,1.5424,35152.4412,54617.03984463
1761393600,1.5524,1.5643,1.568,1.552,62858.4132,98126.71341405
1761415200,1.5618,1.5611,1.5725,1.5581,22438.3107,35107.10127278
1761436800,1.5566,1.5626,1.564,1.5432,36853.1542,57239.85998735
1761458400,1.5614,1.6282,1.632,1.5602,82624.805,132224.45640967
1761480000,1.6286,1.6368,1.6453,1.6213,209664.6408,342409.38395545
1761501600,1.6392,1.6504,1.6736,1.6275,176792.1339,290958.37572216
1761523200,1.6516,1.6705,1.6845,1.6478,53371.8223,88983.39141697
1761544800,1.6702,1.6369,1.6751,1.622,233787.2765,381955.80636931
1761566400,1.6378,1.6707,1.6762,1.6043,255600.8387,416662.83543354
1761588000,1.6741,1.641,1.6769,1.6287,98145.4477,162175.32331641
1761609600,1.6389,1.6204,1.6413,1.6041,55800.9806,90594.33401847
1761631200,1.6189,1.6269,1.6516,1.6189,40152.2172,65549.10028198
1761652800,1.6253,1.6285,1.6475,1.5889,128902.2116,208720.6759474
1761674400,1.6227,1.5592,1.6329,1.5321,214507.5748,336857.91764516
1761696000,1.5575,1.5681,1.5748,1.552,55772.6185,87125.16033929
1761717600,1.5691,1.6226,1.632,1.565,68696.0657,110203.058891
1761739200,1.627,1.6375,1.6444,1.5904,152704.8761,246906.87311744
1761760800,1.6366,1.586,1.6419,1.5404,646997.4491,1026206.67867707
1761782400,1.5831,1.566,1.6085,1.5166,130220.7804,201477.61316217
1761804000,1.5596,1.5409,1.5821,1.5371,28932.8008,45017.39972265
1761825600,1.5374,1.4296,1.5391,1.4142,303432.3031,446923.91739672
1761847200,1.4294,1.4647,1.4647,1.3985,197132.9962,280404.20348138
1761868800,1.4616,1.4972,1.5066,1.4571,95043.2708,140839.19569425
1761890400,1.5001,1.5182,1.5229,1.4928,111095.4001,167174.14340954
1761912000,1.5141,1.4762,1.5268,1.4629,155511.7147,233807.06170096
1761933600,1.4779,1.5151,1.519,1.4741,80996.6229,121369.45345809
1761955200,1.5141,1.5336,1.5447,1.5077,72698.251,111275.20538448
1761976800,1.5352,1.6343,1.6426,1.5293,262378.5701,419195.01950877
1761998400,1.6352,1.6817,1.7153,1.6352,860422.9507,1450829.81815407
1762020000,1.6785,1.6757,1.6986,1.6541,101336.2477,170009.77735629
1762041600,1.6673,1.7012,1.7075,1.6607,204685.8749,343935.46101072
1762063200,1.6998,1.6776,1.7951,1.6717,638404.4405,1105345.03238373
1762084800,1.6785,1.6367,1.6906,1.6114,337927.6234,557866.92154591
1762106400,1.6347,1.6696,1.6739,1.6195,187159.1348,307196.77977815
1762128000,1.6663,1.5185,1.6667,1.5183,404739.3025,642592.29489087
1762149600,1.5176,1.532,1.5467,1.4972,255601.31036511,387571.069239553958
1762171200,1.5338,1.5183,1.5639,1.4422,782236.3608,1167851.6619839
1762192800,1.5188,1.4421,1.5188,1.4054,323194.847,465361.25240182
1762214400,1.4428,1.4511,1.5574,1.4256,689463.3837,1036474.69411861
1762236000,1.4501,1.4733,1.5009,1.4371,503542.921,742929.36474361
1762257600,1.4725,1.3844,1.4903,1.3627,678431.19,965685.9235539
1762279200,1.3833,1.368,1.3844,1.2721,943543.3665,1255647.83829266
1762300800,1.3677,1.3934,1.4064,1.2978,445017.7701,605272.48937799
1762322400,1.3929,1.3726,1.3929,1.3441,335506.783,458516.38495114
1762344000,1.3726,1.3933,1.4162,1.3392,422865.6966,581835.87547466
1762365600,1.395,1.3981,1.417,1.3912,240619.8212,337926.42997938
1762387200,1.3976,1.3407,1.3976,1.3403,271571.49882742,372194.249910617664
1762408800,1.3418,1.3611,1.3752,1.3254,398789.2047,537782.11165982
1762430400,1.3606,1.5469,1.5469,1.34,1068035.46471174,1508890.772749000676
1762452000,1.5435,1.8885,2.45,1.5305,4012875.7969,7412890.23466445
1762473600,1.8856,2.1225,2.2538,1.8577,4939621.3891,10359892.64103239
1762495200,2.1217,2.0899,2.373,2.0454,4226722.1493,9274403.56037133
1762516800,2.0895,3.3971,3.4499,2.0225,7798858.41835367,20199444.669674904083
1762538400,3.3991,3.3582,3.9413,3.1508,5820832.1325,20066863.53553203
1762560000,3.357,3.1553,3.48,2.898,3472273.96315509,11097988.49655282738
1762581600,3.155,3.2776,3.6158,3.034,2715301.8542,8898986.63887454
1762603200,3.2774,2.7985,3.5142,2.7352,3152715.4794,9582501.21295189
1762624800,2.795,2.9544,3.1878,2.7532,1144376.5526,3353535.88618696
1762646400,2.9566,2.5495,2.9932,2.4956,1450546.7186,3888898.3886549
1762668000,2.5486,2.7524,2.7539,2.5153,1160714.64100162,3033632.57952519016
1762689600,2.7513,2.7181,2.8655,2.641,1316147.9992,3596874.96196584
1762711200,2.7193,2.7776,2.9578,2.6579,1100814.5813,3108403.33457862
1762732800,2.7801,2.72,2.9242,2.6272,806301.03976237,2216113.606218405114
1762754400,2.7267,2.6195,2.7373,2.5608,666012.15185262,1746111.132588154466
1762776000,2.6219,2.5266,2.6285,2.4651,696158.9731,1765347.28691288
1762797600,2.5286,2.5526,2.6321,2.4887,493741.2038,1261438.75604968
1762819200,2.5538,2.3871,2.6749,2.3645,1127801.82377767,2828103.971430365879
1762840800,2.386,2.3925,2.4354,2.3254,685425.7031,1625378.77596129
1762862400,2.3906,2.3642,2.437,2.3279,643774.3789903,1543327.98823862536
1762884000,2.3656,2.2277,2.3689,2.1985,613385.1619,1392971.20630176
1762905600,2.2288,2.2658,2.285,2.1777,515608.7106,1155632.90359892
1762927200,2.2606,2.3068,2.4562,2.2503,767872.3899,1785077.17613718
1762948800,2.3055,2.1739,2.3241,2.0828,752276.95439314,1654619.557469459946
1762970400,2.1723,2.1966,2.2394,2.1446,285371.6869,624325.15341815
1762992000,2.1926,2.2165,2.2352,2.1558,354203.69561679,776232.284087250743
1763013600,2.2187,2.1499,2.2248,2.1317,135567.2323,294429.88932417
1763035200,2.1505,2.0445,2.1929,2.0359,431463.7523,916563.6746259
1763056800,2.0445,2.0665,2.0899,1.9927,580278.1319,1175454.68844329
1763078400,2.0681,2.1045,2.138,2.0031,625331.6293,1298386.54377943
1763100000,2.1042,2.063,2.1708,2.0484,416587.982,873858.72017494
1763121600,2.0632,1.979,2.0931,1.9609,598856.2239,1225649.84627599
1763143200,1.9785,1.9982,2.0397,1.9329,252335.5337,503434.38286203
1763164800,1.9975,2.0802,2.1006,1.9758,358413.7074,735021.87016672
1763186400,2.0849,2.0461,2.2016,2.0059,594917.2237,1244541.78862012
1763208000,2.0447,2.12,2.1712,2.03,619243.8968,1305164.10471826
1763229600,2.1184,2.034,2.1187,2.023,240514.7633,496011.0153055
1763251200,2.0344,2.0549,2.0723,1.991,259387.17697077,529601.160938168627
1763272800,2.0546,1.9806,2.1356,1.9716,534678.5561,1095075.26304448
1763294400,1.9795,1.9069,2.0044,1.8681,735795.29527287,1428237.93006539686
1763316000,1.9039,1.9614,1.9715,1.8885,292371.9828,563404.58322005
1763337600,1.9609,1.9771,2.0008,1.9337,177257.943,350200.83128451
1763359200,1.9779,1.9933,2.0195,1.9659,409011.0128,815709.57452598
1763380800,1.9947,2.0515,2.0939,1.9186,1069331.804,2138950.27168007
1763402400,2.0495,2.0225,2.1688,1.9775,2075560.1684,4337154.96890779
1763424000,2.024,2.0953,2.2083,1.9848,1155181.711,2426292.77641647
1763445600,2.095,1.9432,2.1204,1.9321,710722.3581,1421114.47523809
1763467200,1.9449,1.9789,2.0356,1.8985,962966.8703,1887514.14057833
1763488800,1.9797,1.9865,2.0121,1.9382,474592.7555,938557.32556079
1763510400,1.9866,1.8299,2.025,1.8156,800075.95598812,1535501.854601188032
1763532000,1.8304,1.911,1.9406,1.785,724194.2967,1355871.32742712
1763553600,1.9111,1.8163,1.9285,1.8014,603897.1853,1124908.89780932
1763575200,1.816,1.8802,1.8908,1.7598,430240.3395,779793.57776315
1763596800,1.8811,1.8707,1.9055,1.8543,152048.57539871,284205.943411050543
1763618400,1.8704,1.8685,1.8913,1.8492,268297.3905,501806.38618115
1763640000,1.8688,1.7885,1.9011,1.766,367980.5457,676978.13853991
1763661600,1.7891,1.8178,1.8407,1.7558,187970.7761,336220.10416709
1763683200,1.8199,1.7558,1.8664,1.7394,158938.9981,285307.87302651
1763704800,1.7562,1.6017,1.7624,1.5372,981547.44691154,1618100.883772950622
1763726400,1.6024,1.679,1.7131,1.5734,783171.12548704,1292066.058511787328
1763748000,1.6795,1.6594,1.7073,1.6092,361171.4259,601052.78125741
1763769600,1.6599,1.6181,1.6687,1.6073,166709.4254,272818.1511409
1763791200,1.6181,1.6218,1.6415,1.5934,234541.5196,377739.65386111
1763812800,1.6219,1.6031,1.6325,1.5921,268342.4322,432341.12073203
1763834400,1.603,1.6135,1.6456,1.5691,154490.4462,246492.91971668
1763856000,1.6144,1.6825,1.6841,1.6037,128126.5602,211789.61237956
1763877600,1.6824,1.6433,1.6845,1.6313,71769.4261,119110.85285946
1763899200,1.6435,1.6192,1.6667,1.6142,98588.38420116,161448.5146001311
1763920800,1.6204,1.6113,1.6519,1.6068,125547.5579,205008.72314562
1763942400,1.6116,1.642,1.6563,1.5947,68280.9647,111200.35163625
1763964000,1.6419,1.6132,1.6521,1.5945,125404.5936,204426.02284685
1763985600,1.612,1.6736,1.6758,1.5878,129841.2245,212993.19666388
1764007200,1.6736,1.6419,1.6806,1.6381,71461.0355,118946.81834448
1764028800,1.6422,1.6187,1.6535,1.6105,61889.45073206,100835.13147051087
1764050400,1.6189,1.5955,1.6215,1.59,211794.5504,339527.67817018
1764072000,1.596,1.688,1.7394,1.5667,473780.7613,771520.99825365
1764093600,1.6881,1.6724,1.7232,1.6189,348741.3307,580083.64007551
