time,open,close,high,low,volume,turnover
1631577600,0.3,0.4562,0.51675,0.3,12130634.55447148,5664238.530736998576
1631664000,0.45704,0.50597,0.5728,0.4515,17244524.2367112,9077137.7303554948934
1631750400,0.50565,0.47614,0.5771,0.46,12667111.04371417,6416356.4984650163276
1631836800,0.4755,0.42553,0.4763,0.41476,6898632.09637896,3052499.2703687187048
1631923200,0.42559,0.42919,0.46503,0.40928,8429718.77302014,3650552.205959257604
1632009600,0.43016,0.3965,0.43016,0.38815,4688426.48196973,1925815.3091721033994
1632096000,0.39654,0.339,0.41,0.31352,15126257.3283703,5375679.6026979911124
1632182400,0.33896,0.30452,0.35514,0.288,8325985.81248783,2704201.9686777917155
1632268800,0.30543,0.36711,0.38079,0.29907,6634241.36606071,2285356.7622172579704
1632355200,0.36611,0.38286,0.39299,0.35773,6099125.23270027,2307515.1071408571236
1632441600,0.38232,0.34941,0.38446,0.31692,6142629.90776203,2160292.5333291129971
1632528000,0.35043,0.3413,0.35712,0.32539,2572589.35965691,876727.0707287913842
1632614400,0.3413,0.33499,0.34552,0.30611,3279087.54430775,1088475.2683154453766
1632700800,0.33369,0.31924,0.35261,0.31571,3342709.98961139,1130270.9980005703214
1632787200,0.3192,0.30291,0.32652,0.30231,3152454.63662189,990227.7440750339033
1632873600,0.30363,0.31103,0.32699,0.30002,3640677.7021108,1147343.3835005597513
1632960000,0.30995,0.33864,0.34379,0.30883,3351885.46617531,1098052.2802330758289
1633046400,0.33782,0.36499,0.36956,0.32718,4634439.23999019,1630217.5281471103027
1633132800,0.36499,0.38575,0.41757,0.35726,7597733.51834774,2993077.5486120915552
1633219200,0.38574,0.39917,0.41919,0.37402,5909974.44947505,2364897.8707525799233
1633305600,0.3981,0.4039,0.42923,0.37309,7467637.44570231,2976771.378225608985
1633392000,0.40437,0.40195,0.43156,0.38642,5650952.89919846,2287253.066193871996
1633478400,0.40391,0.38072,0.40863,0.36192,6386947.32639922,2445926.8934878208845
1633564800,0.38062,0.37869,0.39294,0.36476,5482414.33788392,2067223.0291194721468
