time,open,close,high,low,volume,turnover
1775654400,39.7,39.718,39.781,39.688,1009.18,40101.07151
1775655000,39.75,39.337,39.785,39.337,2044.08,80751.45376
1775655600,39.344,39.47,39.483,39.224,2151.65,84670.3941
1775656200,39.473,39.245,39.493,39.202,1849.3000000000002,72698.39207
1775656800,39.264,39.029,39.36,38.997,1487.11,58226.972729999994
1775657400,39.019,38.881,39.11,38.881,2077.2,81073.06909
1775658000,38.885,38.964,39.039,38.885,2284.79,89047.1961
1775658600,38.988,38.799,38.988,38.643,2056.88,79709.52945
1775659200,38.791,38.805,38.862,38.618,1473.12,57103.20822
1775659800,38.803,38.617,38.833,38.528,4079.34,157827.14633999998
1775660400,38.625,38.7,38.774,38.569,1556.08,60207.741429999995
1775661000,38.7,38.738,38.756,38.669,1766.6699999999998,68391.39715
1775661600,38.732,38.67,38.783,38.638,1941.4899999999998,75169.18486000001
1775662200,38.677,38.775,38.882,38.653,1853.41,71833.70688
1775662800,38.717,38.726,38.745,38.62,2122.48,82075.11168
1775663400,38.711,38.863,38.926,38.676,1479.33,57404.06601
1775664000,38.868,38.814,38.959,38.8,1697.25,66006.89341
1775664600,38.809,38.752,38.809,38.626,1735.69,67209.27892000001
1775665200,38.76,38.672,38.789,38.645,3336.26,129061.76727
1775665800,38.673,38.519,38.684,38.47,2599.14,100158.56013
1775666400,38.521,38.725,38.725,38.471,2353.6400000000003,90820.34836
1775667000,38.725,38.587,38.956,38.578,4157.79,161607.75902
1775667600,38.583,38.749,38.812,38.546,2597.8500000000004,100549.04648
1775668200,38.751,38.75,38.818,38.727,644.0699999999999,24977.51186
1775668800,38.721,38.666,38.768,38.603,1066.51,41281.4161
1775669400,38.664,38.785,38.926,38.657,1351.17,52369.43171999999
1775670000,38.779,38.782,38.821,38.722,992.5,38484.2854
1775670600,38.781,38.64,38.781,38.64,1307.99,50636.67809
1775671200,38.645,38.527,38.645,38.511,2025.1,78111.4844
1775671800,38.523,38.291,38.531,38.291,1908.3700000000001,73290.57839
1775672400,38.3,38.174,38.363,38.171,3437.21,131359.1043
1775673000,38.19,38.158,38.298,38.147,1227.2,46885.56647
1775673600,38.156,38.05,38.156,37.956,2792.73,106212.65768
1775674200,38.041,37.826,38.13,37.785,3742.11,141851.63894
1775674800,37.827,37.974,38.089,37.813,2368.77,89947.88637
1775675400,37.978,37.806,38.04,37.806,1053.51,39938.86836
1775676000,37.81,37.799,37.907,37.784,613.0899999999999,23201.83007
1775676600,37.801,37.913,37.959,37.771,3276.21,124010.24716
1775677200,37.907,38.048,38.1,37.832,2234.63,84816.89142
1775677800,38.075,38.096,38.1,38.012,1357.04,51633.031579999995
1775678400,38.104,38.112,38.153,38.074,1700.69,64816.40001
1775679000,38.111,38.237,38.24,38.111,1219.1399999999999,46531.46827
1775679600,38.191,38.072,38.199,38.051,1300.39,49549.67623
1775680200,38.055,38.026,38.102,37.997,809.81,30821.06357
1775680800,38.065,38.074,38.086,37.947,894.19,33994.1413
1775681400,38.072,38.229,38.229,38.069,2234.92,85331.06865
1775682000,38.219,38.859,38.926,38.217,8318.77,322126.52318
1775682600,38.868,39.322,39.403,38.868,4702.9,184263.76506
1775683200,39.311,39.344,39.421,39.24,2253.19,88641.90098
1775683800,39.335,39.421,39.464,39.188,1724.83,67866.54276000001
1775684400,39.425,39.507,39.516,39.35,1395.28,55015.617410000006
1775685000,39.495,39.561,39.717,39.495,2168.91,85899.93998
1775685600,39.569,39.351,39.569,39.3,933.61,36807.64592
