time,open,close,high,low,volume,turnover
1733529600,10,14.173,17.3,10,88469.4,1293573.72669
1733616000,14.17,14.043,15.3,12.9,49322.22,692805.51141
1733702400,14.064,13.514,14.379,12.15,65721.25,863199.5945
1733788800,13.513,13.615,14.817,11.997,76439.21,1036849.49382
1733875200,13.617,16.151,16.998,13.125,104041.09,1587792.26283
1733961600,16.171,18.106,42.252,15.687,341053.34,6309725.26766
1734048000,18.106,19.461,20.4,17,200823.41,3688875.99419
1734134400,19.462,24.3,26.77,19.1,367591.23,8143000.72767
1734220800,24.301,23.989,25.476,21.151,340727.7,8034576.63459
1734307200,23.972,27.263,28.99,22.6,497572.66,13276197.6249
1734393600,27.214,25.658,29.6,23.805,358243.74,9709109.88893
1734480000,25.659,23.267,27.7,22.605,440367.62010556,11137349.46170359958
1734566400,23.265,24.888,28.443,20.901,626668.27998715,15500246.33380313725
1734652800,24.889,29.748,32.078,22.801,1195344.50491454,33181349.73091913666
1734739200,29.76,32.123,35.73,28.894,799119.58631197,26043821.07885955049
1734825600,32.11,28.504,35.251,27.4,975564.42992613,30028247.68626780149
1734912000,28.505,28.571,29.905,25.1,2010077.41938753,55284396.44452843188
1734998400,28.615,29.799,31.769,27.4,954926.28993205,27972379.67923501978
1735084800,29.8,26.579,30.489,26.222,707946.43388771,19985725.07637623597
1735171200,26.586,27.217,27.22,23.911,872181.67999994,22375440.77792842056
1735257600,27.223,27.114,28.939,25.734,612494.4099907,16709874.50521302565
1735344000,27.142,29.289,29.367,25.843,429936.33999765,11899078.1922842
1735430400,29.303,27.499,29.496,26.66,362470.8999996,10031874.7356189804
1735516800,27.501,27.005,29.367,26.407,491917.75572152,13552410.75524921816
1735603200,27.019,24.039,27.166,23.079,602065.14,15262037.38717
1735689600,24.053,26.359,26.57,23.47,465569.22,11547555.90642
1735776000,26.344,23.205,26.826,22.565,681966.14063314,16682099.76690067167
1735862400,23.177,24.46,24.785,21.54,840979.11992339,19738411.29862630494
1735948800,24.462,25.009,25.499,23.161,525094.99998567,12695413.45627225789
1736035200,25.022,24.393,25.8,24.148,376076.78991629,9403960.17615209064
1736121600,24.409,25.208,26.293,23.856,457930.43954137,11547862.00885303861
1736208000,25.207,23.492,26.302,22.763,648960.47999971,15947652.68699313628
1736294400,23.494,22.547,23.992,20.133,1132783.87979064,24959137.69265557064
1736380800,22.54,20.271,24.004,18.5,1573531.65,32428290.31872
1736467200,20.272,20.657,22.6,19.763,1356466.49999982,28501989.97865608014
1736553600,20.699,20.881,21.299,19.619,500083.74972393,10186304.4140678043
1736640000,20.876,21.142,22,19.958,534381.80999365,11306714.4219247323
1736726400,21.127,21.627,23.311,18.84,1526449.88999897,31288980.61174782925
1736812800,21.635,23.005,23.556,21.222,976364.74999081,21981991.41999848168
