time,open,close,high,low,volume,turnover
1770692400,31.005,30.807,31.021,30.608,18487.16,570212.0424
1770696000,30.804,30.891,31.03,30.553,9250.28,284594.14211
1770699600,30.874,30.435,30.893,30.281,12419.16,379306.53181
1770703200,30.433,30.019,30.524,29.724,31857.67,955562.57782
1770706800,30.018,30.027,30.157,29.897,13833.56,415206.93542
1770710400,30.027,29.92,30.131,29.748,15853.2,474492.60562
1770714000,29.922,30.085,30.302,29.915,12358.79,372122.36274
1770717600,30.086,29.599,30.208,29.55,18511.9,552492.93923
1770721200,29.597,29.556,29.9,29.525,13899.79,412500.05719
1770724800,29.546,29.409,29.655,29.294,19370.01,571246.23717
1770728400,29.401,29.94,30.029,29.324,14533.76,431244.09927
1770732000,29.941,29.588,30.071,29.241,28283.76,837473.7799
1770735600,29.598,29.814,29.938,29.522,15704.62640547,467334.13179125215
1770739200,29.816,30.216,30.323,29.752,21387.3,642499.87739
1770742800,30.228,30.389,30.547,30.028,15803.45,479861.78988
1770746400,30.389,29.914,30.426,29.673,12992.41,390371.03949
1770750000,29.912,29.842,29.935,29.583,8159.81,243036.52388
1770753600,29.843,29.563,29.902,29.56,10257.8,304996.3253
1770757200,29.562,29.523,29.623,29.141,13936.61,410152.87086
1770760800,29.525,29.089,29.571,29.063,14111.81,414719.8978
1770764400,29.077,28.843,29.2,28.773,23022.47,666891.20724
1770768000,28.843,29.199,29.252,28.683,14104.31,408927.94169
1770771600,29.199,29.134,29.232,28.902,10851.8,315942.37546
1770775200,29.13,28.869,29.259,28.856,10951.16,318803.13601
1770778800,28.871,28.797,28.976,28.689,13382.85,385289.92144
1770782400,28.794,29.089,29.11,28.566,15435.3,444061.72419
1770786000,29.102,29.027,29.365,29.01,12569.7,366930.84635
1770789600,29.028,28.953,29.419,28.94,13415.87,391611.00373
1770793200,28.953,28.748,28.995,28.651,16615.39,478433.18269
1770796800,28.748,28.874,29.041,28.589,12387.56,356918.92263
1770800400,28.873,28.568,28.974,28.469,12155.98,349145.02428
1770804000,28.564,28.527,28.609,28.366,14136.65,402630.68981
1770807600,28.516,29.103,29.264,28.47,16900.7,486757.69518
1770811200,29.096,28.954,29.326,28.932,13352.32,388884.19215
1770814800,28.952,29.146,29.187,28.836,9967.7,289290.30714
1770818400,29.146,28.804,29.374,28.67,27793.41,806465.97091
1770822000,28.8,28.926,28.978,28.295,27948.74,802872.07019
1770825600,28.909,29.309,29.53,28.909,21985.13,643078.87618
1770829200,29.307,29.468,29.759,29.123,19297.67,570352.94123
1770832800,29.47,29.772,29.806,29.277,11349.49,335514.42433
1770836400,29.765,29.524,29.79,29.419,11389.47,336518.82779
1770840000,29.52,30.074,30.182,29.487,12206.69,364600.44886
1770843600,30.071,29.985,30.208,29.882,13747.08,412871.12506
1770847200,29.985,29.547,29.993,29.54,10761.48,320418.42984
1770850800,29.551,29.392,29.569,29.208,13171.64,387069.4728
1770854400,29.399,29.91,29.98,29.387,8926.52,265284.63103
1770858000,29.919,30.434,30.447,29.878,10753.82,324256.80472
1770861600,30.427,30.829,30.949,30.291,17349.05,531294.1379
1770865200,30.825,30.547,30.904,30.54,13115.2,402397.71377
1770868800,30.554,30.338,30.711,30.242,9755.71,297228.96629
1770872400,30.343,30.345,30.428,30.14,8944.47,270816.26047
1770876000,30.351,30.5,30.637,30.246,11233.66,342045.70018
1770879600,30.487,30.253,30.538,30,11094.39,336313.72002
1770883200,30.246,30.436,30.445,30.141,13579.16,411969.24553
1770886800,30.44,30.766,30.861,30.382,12019.67,367734.0783
1770890400,30.789,30.799,30.89,30.623,14442.76,443874.42173
1770894000,30.801,31.638,31.8,30.737,23850.07,745947.84086
1770897600,31.647,31.008,31.824,30.961,13691.56,428606.57651
1770901200,31.003,31.366,31.368,30.66,16294.88,503916.17137
1770904800,31.365,31.376,31.463,30.881,21816.05,679776.51409
1770908400,31.383,30.794,31.541,30.771,15279.29,475382.48543
1770912000,30.795,29.999,30.913,29.7,34040.93,1031842.34251
1770915600,30.003,29.538,30.188,29.399,19876.88,592009.61296
1770919200,29.537,29.585,29.675,29.298,18013.12,531274.75649
1770922800,29.578,29.755,30.144,29.578,19728.03,588769.95091
1770926400,29.767,29.734,29.833,29.402,11001.34,325171.68024
1770930000,29.736,29.831,29.942,29.553,11377.09,339196.78413
1770933600,29.843,30.484,30.5,29.831,9881.77,297069.47956
