time,open,close,high,low,volume,turnover
1620691200,350,363.41,888,350,28897.63314149,11677063.1185243026
1620777600,363.24,255.99,389,253.77,50010.91832264,15738960.9484116776
1620864000,255.99,300.74,346.18,251.1,72650.22947762,21724371.8010634714
1620950400,300,303.86,340.96,292.17,27558.57372596,8746070.4627189943
1621036800,303.86,245.92,304.87,240,18987.25682276,5098662.8360274629
1621123200,246.08,225,263.41,205.06,26547.30622674,6269791.9387753531
1621209600,224.83,195.9,226.11,185,31846.96152946,6518632.6192958484
1621296000,196.02,163.64,205.56,160.62,32849.3283842,5952499.516787632
1621382400,163.64,122.93,179.4,93.5,53493.0248486,7146401.2999700802
1621468800,123.11,164.33,223.51,103.75,167186.23741905,28751912.6003545948
1621555200,163.98,146,186.09,119.75,91262.58882733,14326361.1428095874
1621641600,146,145.76,168,124.96,46031.26007331,6622340.3051593894
1621728000,146.03,143.9,165.2,120.73,49799.04888721,6964299.8422390371
1621814400,143.83,147.72,163.35,135.49,45498.74755201,6668808.8539597573
1621900800,147.35,133.93,156.47,122.63,28942.70417439,3974038.0627261057
1621987200,134.04,142.62,152.04,132,35253.05462432,4982476.2642478187
1622073600,142.62,132.07,145.92,129.63,28721.08195043,3888522.2609488805
1622160000,132.14,115.54,132.8,110.21,44859.27361344,5343139.7458470692
1622246400,115.84,110.59,119.61,105.74,28322.13534069,3173670.4696209098
1622332800,110.17,111.8,119.1,104.57,22808.37148001,2546175.6393575981
1622419200,111.8,114.67,115.23,105.36,23532.55631504,2605394.7944032212
1622505600,114.6,107.41,117.01,106.47,24093.72569196,2670375.7024305712
1622592000,107.91,107.92,113,102.03,28782.04234703,3080269.7737781125
1622678400,107.56,124.4,136.54,104.95,45335.66071284,5419355.6039446908
1622764800,124.46,108.75,124.46,105.33,45768.40432864,5204149.3116957609
1622851200,108.9,104.64,116.1,100,25482.78642729,2754989.7425369684
1622937600,104.63,104.49,109.87,102.55,14965.33995212,1576990.7588317559
1623024000,104.41,91.23,106.64,88.79,26097.46237275,2563368.9121620966
1623110400,91.28,81.43,94.3,76.84,53688.53710404,4568806.5874975301
1623196800,81.32,81.44,88.95,77.1,42255.95540621,3466180.4835121506
1623283200,81.54,66.43,83.62,65.5,76412.1621056,5490303.197749163
1623369600,66.55,58.48,72.22,56.16,66824.81262963,4299271.7341607703
1623456000,58.49,61.12,67.56,52.94,73075.38903571,4288955.1207232784
1623542400,61.05,64.44,66.46,57.2,66631.87436123,4118007.3848687707
1623628800,64.61,66.67,70.69,61.94,56583.17638814,3740965.5378045881
1623715200,66.64,60.33,68.84,58.34,63094.79660184,3945621.1934924613
1623801600,60.34,55.32,60.37,54.8,50987.88986692,2901683.9240451817
1623888000,55.33,54.01,60.16,51.13,42853.73871888,2365684.8204917936
1623974400,54.09,48.41,55.5,46.86,52016.29355577,2625337.9240747291
1624060800,48.42,48.64,54.94,46.36,55130.48344616,2774633.201388733
