time,open,close,high,low,volume,turnover
1776084000,2.418,2.418,2.418,2.417,125.3738,303.1039338
1776084300,2.421,2.421,2.421,2.421,104.9583,254.1040443
1776084600,2.423,2.429,2.429,2.423,748.6222,1815.9742814
1776084900,2.428,2.424,2.428,2.423,963.6008,2336.4223894
1776085200,2.425,2.425,2.425,2.423,1680.665,4074.8149201
1776085500,2.43,2.426,2.43,2.426,1900.9122,4614.2701099
1776085800,2.427,2.427,2.427,2.427,0.48,1.16496
1776086100,2.428,2.427,2.428,2.427,1616.4628,3924.0985047
1776086400,2.427,2.438,2.444,2.427,8691.8422,21187.2902666
1776086700,2.437,2.441,2.443,2.436,8542.8879,20840.2678735
1776087000,2.443,2.436,2.443,2.434,10059.5959,24525.4436789
1776087300,2.435,2.431,2.435,2.431,5842.8723,14218.3937407
1776087600,2.431,2.434,2.438,2.431,10572.2331,25744.862194
1776087900,2.434,2.45,2.45,2.433,9276.3107,22657.0626755
1776088200,2.45,2.448,2.452,2.444,5335.9179,13057.4224851
1776088500,2.45,2.456,2.456,2.449,3169.7889,7773.285137
1776088800,2.456,2.449,2.457,2.449,5526.8116,13562.5313488
1776089100,2.45,2.45,2.451,2.448,3388.3415,8298.8724687
1776089400,2.45,2.447,2.45,2.447,1544.186,3781.6682009
1776089700,2.447,2.443,2.449,2.441,5663.6128,13849.4606493
1776090000,2.442,2.443,2.444,2.436,3674.6101,8968.0598442
1776090300,2.444,2.444,2.445,2.444,1583.5688,3870.406298
1776090600,2.445,2.454,2.454,2.445,1121.77,2748.4036098
1776090900,2.454,2.456,2.456,2.454,4.8762,11.9686631
1776091200,2.454,2.455,2.455,2.45,2605.4693,6392.8870604
1776091500,2.454,2.457,2.459,2.454,1697.9498,4171.2280449
1776091800,2.455,2.458,2.458,2.453,1994.294,4896.7642968
1776092100,2.457,2.466,2.466,2.457,355.1044,875.1564098
1776092400,2.465,2.456,2.465,2.456,4501.9607,11078.6115468
1776092700,2.456,2.458,2.458,2.452,7462.2948,18325.448385
1776093000,2.455,2.454,2.458,2.454,1461.5728,3588.9737417
1776093300,2.456,2.454,2.457,2.454,1168.295,2867.9031829
1776093600,2.453,2.451,2.455,2.451,857.3461,2102.4315594
1776093900,2.45,2.45,2.452,2.449,614.1743,1505.1080918
1776094200,2.446,2.438,2.446,2.438,4547.5241,11101.7303997
1776094500,2.439,2.434,2.439,2.43,4070.8326,9908.1379421
1776094800,2.434,2.435,2.436,2.432,3384.9902,8236.8123991
1776095100,2.434,2.434,2.435,2.433,1075.3628,2616.99918
1776095400,2.432,2.433,2.433,2.432,228.7236,556.3269115
1776095700,2.433,2.443,2.447,2.433,10073.3132,24593.1856566
1776096000,2.443,2.442,2.444,2.442,702.4612,1716.4938317
1776096300,2.44,2.442,2.443,2.435,3046.4386,7430.5335502
1776096600,2.443,2.443,2.443,2.443,0.0472,0.1153096
1776096900,2.445,2.443,2.445,2.442,675.6972,1651.2648688
1776097200,2.443,2.443,2.445,2.441,483.3733,1180.7011991
1776097500,2.444,2.446,2.446,2.443,98.1225,239.732356
1776097800,2.449,2.449,2.45,2.448,271.3154,664.3166519
1776098100,2.448,2.45,2.45,2.447,364.513,892.5799487
1776098400,2.451,2.452,2.452,2.451,103.2891,253.2126776
1776098700,2.451,2.452,2.453,2.451,99.4955,244.0619436
1776099000,2.451,2.447,2.453,2.447,269.9039,661.2574117
1776099300,2.448,2.453,2.453,2.448,159.3424,390.2554193
1776099600,2.452,2.451,2.452,2.45,200.2916,490.871923
1776099900,2.445,2.446,2.446,2.443,44.5331,108.8833256
1776100200,2.448,2.447,2.452,2.447,2868.5944,7027.1531633
1776100500,2.447,2.447,2.447,2.447,0,0
1776100800,2.447,2.447,2.447,2.447,0.2635,0.6447845
1776101100,2.448,2.453,2.453,2.448,644.5854,1578.9887939
1776101400,2.454,2.458,2.458,2.454,1012.3315,2486.1250565
1776101700,2.456,2.449,2.456,2.449,2114.8287,5186.1735163
1776102000,2.448,2.45,2.452,2.448,2545.0368,6236.1073609
1776102300,2.449,2.444,2.449,2.444,2830.5901,6925.1479054
1776102600,2.442,2.439,2.442,2.438,3399.8667,8291.9149122
1776102900,2.438,2.438,2.438,2.438,651.7057,1588.8584966
1776103200,2.438,2.439,2.439,2.437,871.3338,2124.5999407
1776103500,2.439,2.439,2.441,2.437,4857.6333,11851.6397263
1776103800,2.439,2.44,2.44,2.437,1993.6154,4862.5292284
1776104100,2.44,2.439,2.441,2.439,1412.0232,3445.0452021
1776104400,2.442,2.437,2.444,2.437,1658.615,4048.7663297
1776104700,2.436,2.436,2.438,2.436,1618.1397,3942.078419
