time,open,close,high,low,volume,turnover
1760810400,3.062,3.048,3.074,3.044,21392.9719,65378.1362973
1760832000,3.049,3.029,3.062,3.013,22454.045,68147.5799168
1760853600,3.033,3.075,3.113,2.992,93965.9938,287583.1613212
1760875200,3.075,3.087,3.125,3.049,78190.6672,242485.4079765
1760896800,3.09,3.068,3.117,3.068,48411.3504,149677.5166629
1760918400,3.072,3.139,3.145,3.011,28996.8803,88936.7977253
1760940000,3.139,3.174,3.191,3.134,58292.6452,184471.292933
1760961600,3.177,3.13,3.192,3.09,68533.5184,215986.7230268
1760983200,3.134,3.193,3.224,3.12,70436.8196,223936.0198545
1761004800,3.191,3.07,3.191,3.061,46238.6671,143410.3016913
1761026400,3.069,3.082,3.093,3.035,86050.2369,264112.0331699
1761048000,3.08,3.229,3.288,3.076,129418.2678,415813.8700958
1761069600,3.231,3.042,3.237,3.038,74393.8902,232968.6728178
1761091200,3.045,3.029,3.071,3.007,42386.9033,129070.0159332
1761112800,3.027,3.015,3.05,2.965,90888.6053,272766.4993938
1761134400,3.016,2.967,3.054,2.956,67605.4503,203306.8202574
1761156000,2.969,2.976,3.012,2.87,126728.2393,373049.3488295
1761177600,2.98,2.998,3.014,2.977,20026.61677806,60027.4981403375
1761199200,3,3.001,3.043,2.995,14289.6843,43228.6397843
1761220800,2.993,3.073,3.172,2.975,74677.6587,226904.9735758
1761242400,3.076,3.038,3.076,2.993,41598.5523,125912.5962817
1761264000,3.042,3.11,3.115,3.029,38391.3427,118027.1964857
1761285600,3.109,3.101,3.14,3.075,44568.3073,138417.8824278
1761307200,3.101,3.076,3.16,3.041,75080.0819,231897.6360116
1761328800,3.074,3.147,3.16,3.074,51514.17669433,160938.04874590594
1761350400,3.145,3.13,3.192,3.12,37902.12638343,119692.82763752165
1761372000,3.13,3.124,3.135,3.1,24199.934,75457.2727126
1761393600,3.123,3.111,3.135,3.085,31807.96126075,98885.84514811475
1761415200,3.105,3.117,3.145,3.105,38053.857,119034.2675808
1761436800,3.119,3.124,3.126,3.084,13899.8867,43174.1133168
1761458400,3.124,3.222,3.231,3.121,154937.3722,496669.04998
1761480000,3.225,3.238,3.277,3.213,58508.7664,189757.5432847
1761501600,3.242,3.29,3.318,3.223,45570.8358,148944.5519343
1761523200,3.295,3.276,3.304,3.26,28374.5715,93117.3700159
1761544800,3.272,3.197,3.289,3.171,40783.2516,131628.9652601
1761566400,3.197,3.251,3.256,3.144,20196.1504,64360.26174
1761588000,3.248,3.174,3.261,3.15,48222.3948,154038.7301932
1761609600,3.174,3.154,3.197,3.138,186459.6462,589373.57101
1761631200,3.155,3.169,3.235,3.152,56805.1224,181060.0505886
1761652800,3.169,3.197,3.23,3.138,50416.5756,161083.4058646
1761674400,3.197,3.081,3.203,3.03,75382.893,233616.0459633
1761696000,3.074,3.061,3.083,3.043,22743.463,69681.8490758
1761717600,3.059,3.093,3.098,3.043,36510.1463,112357.9603858
1761739200,3.088,3.143,3.143,3.043,36029.9394,111175.1752493
1761760800,3.142,3.064,3.18,3.006,138847.4048,430146.9129992
1761782400,3.064,3.038,3.093,2.952,78352.6674,237644.2018933
1761804000,3.036,2.984,3.048,2.973,54112.1179,162344.1284351
1761825600,2.981,2.823,2.986,2.794,186169.7608,538030.4505041
1761847200,2.823,2.895,2.895,2.791,111150.4843,313882.3551522
1761868800,2.895,2.912,2.944,2.887,30852.0423,89846.707922
1761890400,2.915,2.971,2.972,2.896,81062.2075,237565.7941652
1761912000,2.968,2.9,2.974,2.875,60284.6069,175906.5319516
1761933600,2.901,2.941,2.976,2.894,40589.889,119386.0167603
1761955200,2.944,3.024,3.077,2.938,91983.8128,278191.9490864
1761976800,3.027,3.45,3.575,3.027,354595.0604,1180671.6789816
1761998400,3.453,3.401,3.695,3.33,615750.3773,2151279.1117869
1762020000,3.399,3.445,3.51,3.39,99280.8182,341836.9406761
1762041600,3.443,3.651,3.854,3.386,229902.1017,820650.6315181
1762063200,3.648,3.672,3.673,3.328,392911.1719,1387642.6156357
1762084800,3.674,4.022,4.13,3.663,789479.5234,3110288.2031366
1762106400,4.02,4.281,4.33,3.998,311644.6092,1283709.7721692
1762128000,4.285,3.982,4.288,3.82,399420.4695,1599102.9243598
1762149600,3.982,3.813,4.014,3.659,431433.7687,1638639.1172782
1762171200,3.809,3.957,4.051,3.65,625841.39411937,2400850.03157915433
1762192800,3.958,3.931,4.014,3.683,407729.75588392,1579648.4122870228
1762214400,3.931,4.766,5.27,3.867,1072348.03680402,5004245.42639555168
1762236000,4.765,5.189,5.468,4.763,1188064.3611,6080569.9264234
1762257600,5.196,5.636,5.912,4.924,1747296.0071,9477675.8675088
1762279200,5.641,5.187,6.622,4.989,2262215.1900041,12760160.3764833648
1762300800,5.187,5.022,5.38,4.813,706979.15701407,3572734.37545409259
1762322400,5.025,5.027,5.123,4.719,674226.5479,3323542.8675751
1762344000,5.021,5.18,5.383,4.897,635333.5128,3238174.4143327
1762365600,5.182,5.962,6.225,5.102,820841.49741661,4551307.51227002429
1762387200,5.966,5.755,6.164,5.585,582120.66198988,3416095.14097996728
1762408800,5.764,6.335,6.437,5.762,775509.71923882,4724234.3193076741
1762430400,6.33,7.207,7.281,6.232,1614072.2107,10923077.3372594
1762452000,7.203,6.711,7.252,6.512,748769.67880752,5146903.04924530384
1762473600,6.708,7.901,8.017,6.443,891856.02350138,6408735.87331569012
1762495200,7.901,8.11,8.888,7.691,1275106.6414,10565870.4302925
1762516800,8.115,7.659,8.143,7.246,1119877.08520734,8565828.74930689741
1762538400,7.666,8.213,8.5,7.372,786676.58582279,6098538.50028747924
1762560000,8.219,9.171,9.77,7.757,1237420.9966,10762639.9194186
1762581600,9.176,8.452,9.843,8.211,804668.2681,7256262.7326224
1762603200,8.448,8.727,9.6,8.209,1030609.1467,9242080.1315476
1762624800,8.742,8.966,9.45,8.647,639010.19799263,5791918.49083459171
1762646400,8.967,7.726,9.376,7.54,1016412.72877477,8342114.43365539036
1762668000,7.724,7.107,8.158,6.849,791736.77963515,5837646.79100531825
1762689600,7.108,7.599,7.721,6.99,634454.1702,4676916.1334725
1762711200,7.599,7.56,8.241,7.446,597001.90482191,4705076.79877958058
1762732800,7.566,7.019,7.606,6.895,266500.03085057,1921716.20668367623
1762754400,7.029,7.046,7.292,6.924,226570.0965,1611344.5387599
1762776000,7.045,6.759,7.302,6.58,466742.716,3196879.4076512
1762797600,6.765,6.811,7.083,6.682,204729.54565471,1401911.5056245191
1762819200,6.817,6.414,7.273,6.377,372255.40749254,2519093.71209511196
1762840800,6.418,6.34,6.553,6.217,238333.50169829,1513217.75857275805
1762862400,6.336,6.358,6.75,6.299,294889.0425,1914989.946704
1762884000,6.36,5.97,6.386,5.932,181252.79448724,1117892.84512315826
1762905600,5.975,6.218,6.286,5.772,254015.31042644,1535614.1305601976
1762927200,6.223,6.359,6.668,6.175,331392.5613,2133720.0146311
1762948800,6.351,6.124,6.47,5.838,299017.98011549,1829472.85969321316
1762970400,6.14,6.399,6.55,6.085,273323.8477,1729757.9785624
1762992000,6.397,6.192,6.663,6.042,254566.8268,1595894.8167236
1763013600,6.195,6.137,6.38,5.979,193209.7067,1187941.6726356
1763035200,6.138,5.83,6.27,5.83,266797.36055998,1613756.30841974936
1763056800,5.835,5.859,5.949,5.672,266285.903865,1546489.87023315
1763078400,5.86,6.104,6.145,5.768,168385.74486034,1003398.3908124043
1763100000,6.112,5.793,6.158,5.672,263372.6843,1553506.4316655
1763121600,5.784,5.469,5.824,5.433,331824.6346,1880477.7314985
1763143200,5.472,5.398,5.677,5.327,232874.99178625,1272662.46485678125
1763164800,5.399,5.388,5.535,5.252,166634.9789,900646.1400449
