time,open,close,high,low,volume,turnover
1769796000,0.005,0.021228,0.052,0.005,69809971,1531784.485224
1769817600,0.021186,0.0184,0.021186,0.017334,35693570,664763.66103
1769839200,0.018343,0.016061,0.019274,0.015882,45668801,775464.709352
1769860800,0.016066,0.015202,0.01867,0.015001,85013405,1404509.724253
1769882400,0.015203,0.015444,0.016457,0.014,48468995,734932.171204
1769904000,0.015403,0.014677,0.016359,0.014084,38700883,595720.214058
1769925600,0.014668,0.014872,0.015147,0.013397,45784918,646966.601726
1769947200,0.014854,0.014816,0.016554,0.014457,49724876,753706.433245
1769968800,0.014838,0.014145,0.015722,0.013755,39941570,582938.423934
1769990400,0.014143,0.013498,0.014556,0.013039,24997393,340370.934449
1770012000,0.013469,0.013396,0.013917,0.013115,30918350,418903.341073
1770033600,0.013384,0.013299,0.013534,0.012586,28378401,372244.520654
1770055200,0.013281,0.013142,0.013376,0.012843,26385999,345678.015344
1770076800,0.013127,0.013405,0.014082,0.012485,50482541,674257.892697
1770098400,0.013368,0.014536,0.015345,0.01328,60703452,887559.227848
1770120000,0.014517,0.013878,0.014702,0.013272,54110333,750155.136764
1770141600,0.013871,0.012894,0.014111,0.012846,55543072,747632.275784
1770163200,0.012886,0.012815,0.013334,0.012741,53252086,692496.503304
1770184800,0.012809,0.012863,0.013012,0.012289,47272066,599037.429481
1770206400,0.012873,0.01269,0.013356,0.012604,50412472,657592.492567
1770228000,0.012652,0.013097,0.013572,0.012648,50865150,665645.354334
1770249600,0.01306,0.013153,0.013507,0.012715,54241917,710128.556202
1770271200,0.01318,0.013457,0.01453,0.0129,64152352,880306.277713
1770292800,0.013449,0.012823,0.01358,0.01255,55161466,720371.342735
1770314400,0.01288,0.011467,0.013145,0.011228,62173665,756747.548165
1770336000,0.011508,0.011573,0.012156,0.011043,65565341,764192.535557
1770357600,0.011578,0.011277,0.011979,0.010957,58350605,663271.963628
1770379200,0.011329,0.012019,0.012293,0.011159,57219451,667544.145815
1770400800,0.012,0.011515,0.012583,0.011391,58463407,696623.815659
1770422400,0.011514,0.011783,0.012149,0.011382,67468985,793333.639704
1770444000,0.011786,0.011868,0.011961,0.011352,66422037,777505.389219
1770465600,0.011842,0.011968,0.012441,0.011465,59547679,713081.376336
1770487200,0.012012,0.012033,0.012296,0.011829,57559768,692560.293343
1770508800,0.012084,0.012378,0.012681,0.011905,58169062,714544.832127
1770530400,0.012377,0.012036,0.012417,0.011735,58552924,704040.637689
1770552000,0.012041,0.011956,0.012226,0.0118,50474584,606267.339334
1770573600,0.011978,0.01178,0.012098,0.01147,61412249,730235.935954
1770595200,0.01178,0.011525,0.011879,0.011479,56130970,657318.458286
