time,open,close,high,low,volume,turnover
1770692400,0.03136,0.03121,0.03138,0.03089,1137501.4023,35302.580714343
1770696000,0.03122,0.03173,0.03174,0.0312,1020758.4556,32228.403851674
1770699600,0.03173,0.03141,0.03177,0.03134,617861.2655,19459.189767081
1770703200,0.03136,0.03107,0.03146,0.03078,640361.7505,19986.944424535
1770706800,0.03108,0.03113,0.03131,0.031,590408.9633,18412.06545331
1770710400,0.03118,0.03119,0.03128,0.03103,357506.4046,11163.517728431
1770714000,0.03119,0.03092,0.03135,0.03082,918912.7663,28644.9390543
1770717600,0.03096,0.0308,0.03121,0.03077,642318.2507,19915.320156959
1770721200,0.03081,0.03081,0.0311,0.03077,650070.2688,20070.119669064
1770724800,0.03091,0.03078,0.03098,0.03061,604943.3611,18593.523788702
1770728400,0.03078,0.03094,0.03108,0.0307,2476175.6748,76324.815878311
1770732000,0.03096,0.03094,0.03131,0.03075,764482.1653,23759.593465996
1770735600,0.03092,0.03125,0.03166,0.03083,1417673.8605,44329.89494728
1770739200,0.03125,0.03104,0.0313,0.03095,688824.0531,21462.514042394
1770742800,0.03104,0.0309,0.03129,0.03087,1132487.4627,35197.225922147
1770746400,0.03096,0.03059,0.03105,0.03032,541225.2989,16568.498464655
1770750000,0.0306,0.03074,0.03086,0.03048,410862.2334,12630.630629431
1770753600,0.03071,0.03065,0.03076,0.03052,136220.0472,4174.790677351
1770757200,0.03066,0.03069,0.03078,0.03051,127656.4295,3915.41926905
1770760800,0.0307,0.03093,0.03096,0.0307,117876.0537,3634.718146715
1770764400,0.03095,0.03104,0.03107,0.03087,165997.5833,5146.409908918
1770768000,0.03106,0.03119,0.03122,0.03098,66716.8663,2074.569092937
1770771600,0.03115,0.03167,0.03184,0.03106,1225891.0842,38513.850198678
1770775200,0.03158,0.03179,0.03198,0.03154,392531.6025,12492.317699154
1770778800,0.03181,0.03198,0.03227,0.03152,1214284.5906,38855.024982717
1770782400,0.03197,0.03177,0.03204,0.03168,613812.7387,19578.420823412
1770786000,0.03182,0.03128,0.03193,0.03128,280954.0993,8881.764385308
1770789600,0.03128,0.03078,0.03128,0.03066,1915764.278,59059.844093533
1770793200,0.03078,0.03084,0.03098,0.03074,1090270.3965,33623.503566303
1770796800,0.03083,0.03093,0.03112,0.03075,467009.8109,14466.675884575
1770800400,0.03097,0.03112,0.03124,0.03096,1051561.9629,32727.851963735
1770804000,0.03115,0.0307,0.03115,0.03051,450596.966,13818.196158575
1770807600,0.03073,0.03149,0.03153,0.03073,520216.8697,16179.822683077
1770811200,0.03152,0.03152,0.0318,0.03142,1468610.4528,46378.699661249
1770814800,0.03152,0.03208,0.03208,0.03151,695579.5639,22081.881421406
1770818400,0.03209,0.03153,0.03289,0.0315,2026626.223,65703.833621645
1770822000,0.03156,0.0314,0.03173,0.03099,1829804.8481,57252.802081403
1770825600,0.03138,0.03122,0.03191,0.03117,1311298.1127,41201.384504515
1770829200,0.03119,0.0315,0.03178,0.03112,577388.3641,18182.779809052
1770832800,0.03151,0.03214,0.03232,0.03134,694384.9894,22246.547151164
1770836400,0.03217,0.03166,0.03265,0.03161,1167959.716,37486.769565873
1770840000,0.03168,0.03214,0.03231,0.03168,843327.1013,26904.989517977
1770843600,0.03213,0.0324,0.03261,0.03207,749204.7179,24187.296621598
1770847200,0.03243,0.0318,0.03245,0.03177,910607.4317,29170.924201769
1770850800,0.03182,0.03148,0.03188,0.0314,1482644.7105,46911.894715581
1770854400,0.03158,0.0321,0.0322,0.03158,838389.9947,26769.276501727
1770858000,0.03211,0.03225,0.03239,0.03209,996514.5907,32185.46130081
1770861600,0.03218,0.03234,0.0325,0.03205,724135.8033,23403.796022387
1770865200,0.03231,0.03218,0.03238,0.0321,507118.6793,16338.706442638
1770868800,0.03218,0.03201,0.03223,0.03201,229023.85,7358.285597467
1770872400,0.03203,0.03195,0.03213,0.0317,415023.8605,13229.557915109
1770876000,0.03197,0.03201,0.03214,0.03185,373218.1577,11929.279867875
1770879600,0.03204,0.03217,0.03217,0.03184,306900.3034,9819.799893163
1770883200,0.03218,0.03209,0.03233,0.03189,381854.1857,12233.022608503
1770886800,0.03209,0.03226,0.03236,0.03196,753725.1988,24249.644278109
1770890400,0.03225,0.03245,0.03255,0.03214,407864.3958,13231.405939855
1770894000,0.03241,0.03231,0.03258,0.03219,577184.9821,18641.95041926
1770897600,0.03233,0.03214,0.03233,0.032,748674.3065,24081.468408743
1770901200,0.03215,0.03248,0.03252,0.032,672095.5392,21620.569534656
1770904800,0.03252,0.03204,0.03252,0.032,516006.5059,16558.007628418
1770908400,0.0321,0.03182,0.03229,0.03176,946890.5756,30259.517489569
1770912000,0.03185,0.03135,0.0319,0.03116,1238331.6375,38954.909060033
1770915600,0.03142,0.03123,0.03159,0.03121,670628.8407,21029.74391146
1770919200,0.0312,0.03131,0.03147,0.03092,614988.4983,19171.82964634
1770922800,0.03133,0.03144,0.03177,0.03128,314283.5161,9918.443033904
